"Plot Title: Landing"
"#","Date Time, GMT-07:00","Ext. Line Event (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,11/23/11 04:00:00 PM,0.00,,
2,11/23/11 10:20:28 PM,0.00,,
3,11/23/11 10:20:29 PM,0.00,,
4,11/23/11 10:32:09 PM,0.00,,
5,11/23/11 10:41:47 PM,0.00,,
6,11/23/11 10:41:48 PM,0.00,,
7,11/23/11 10:47:45 PM,0.00,,
8,11/23/11 10:57:52 PM,0.00,,
9,11/23/11 11:03:24 PM,0.00,,
10,11/23/11 11:03:25 PM,0.00,,
11,11/23/11 11:09:43 PM,0.00,,
12,11/23/11 11:47:06 PM,0.00,,
13,11/24/11 03:29:05 AM,0.00,,
14,11/24/11 04:59:20 AM,0.00,,
15,11/24/11 05:23:59 AM,0.00,,
16,11/24/11 05:29:01 AM,0.00,,
17,11/24/11 05:33:40 AM,0.00,,
18,11/24/11 05:37:29 AM,0.00,,
19,11/24/11 05:50:26 AM,0.00,,
20,11/24/11 05:57:18 AM,0.00,,
21,11/24/11 06:20:10 AM,0.00,,
22,11/24/11 06:20:11 AM,0.00,,
23,11/24/11 06:54:24 AM,0.00,,
24,11/24/11 07:19:07 AM,0.00,,
25,11/24/11 07:25:19 AM,0.00,,
26,11/24/11 07:27:31 AM,0.00,,
27,11/24/11 07:29:32 AM,0.00,,
28,11/24/11 07:32:01 AM,0.00,,
29,11/24/11 07:32:02 AM,0.00,,
30,11/24/11 07:33:51 AM,0.00,,
31,11/24/11 07:35:59 AM,0.00,,
32,11/24/11 07:37:45 AM,0.00,,
33,11/24/11 07:40:37 AM,0.00,,
34,11/24/11 07:44:32 AM,0.00,,
35,11/24/11 07:48:33 AM,0.00,,
36,11/24/11 07:50:15 AM,0.00,,
37,11/24/11 07:54:59 AM,0.00,,
38,11/24/11 08:00:42 AM,0.00,,
39,11/24/11 08:06:36 AM,0.00,,
40,11/24/11 08:09:46 AM,0.00,,
41,11/24/11 08:12:36 AM,0.00,,
42,11/24/11 08:16:04 AM,0.00,,
43,11/24/11 08:20:28 AM,0.00,,
44,11/24/11 08:20:29 AM,0.00,,
45,11/24/11 08:23:55 AM,0.00,,
46,11/24/11 08:31:18 AM,0.00,,
47,11/24/11 09:05:03 AM,0.00,,
48,11/24/11 11:27:30 AM,0.00,,
49,11/24/11 11:50:04 AM,0.00,,
50,11/24/11 12:07:59 PM,0.00,,
51,11/24/11 12:50:08 PM,0.00,,
52,11/29/11 03:46:49 PM,0.00,Logged,Logged
