"Plot Title: RLSM"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592084, SEN S/N: 10592084, LBL: Rain)","Coupler Detached (LGR S/N: 10592084, SEN S/N: 10592084)","Coupler Attached (LGR S/N: 10592084, SEN S/N: 10592084)","Stopped (LGR S/N: 10592084, SEN S/N: 10592084)","End Of File (LGR S/N: 10592084, SEN S/N: 10592084)"
1,09/23/15 02:44:35 PM,0.00,,,,
2,09/23/15 02:44:46 PM,,Logged,,,
3,09/30/15 04:13:28 PM,0.01,,,,
4,10/15/15 01:01:08 AM,0.02,,,,
5,10/15/15 01:02:11 AM,0.03,,,,
6,10/15/15 01:11:06 AM,0.04,,,,
7,10/18/15 08:22:23 PM,0.05,,,,
8,10/18/15 10:15:15 PM,0.06,,,,
9,10/18/15 10:50:17 PM,0.07,,,,
10,10/18/15 11:29:44 PM,0.08,,,,
11,10/19/15 12:05:45 AM,0.09,,,,
12,10/19/15 12:13:57 AM,0.10,,,,
13,10/19/15 12:24:35 AM,0.11,,,,
14,10/19/15 12:42:30 AM,0.12,,,,
15,10/19/15 12:53:55 AM,0.13,,,,
16,10/19/15 02:00:59 AM,0.14,,,,
17,10/19/15 02:24:16 AM,0.15,,,,
18,10/19/15 03:02:56 AM,0.16,,,,
19,10/19/15 03:28:49 AM,0.17,,,,
20,10/19/15 03:54:59 AM,0.18,,,,
21,10/19/15 04:04:31 AM,0.19,,,,
22,10/19/15 04:42:03 AM,0.20,,,,
23,10/19/15 04:53:57 AM,0.21,,,,
24,10/19/15 05:02:31 AM,0.22,,,,
25,10/19/15 06:44:19 AM,0.23,,,,
26,10/28/15 10:50:42 AM,0.24,,,,
27,11/01/15 11:50:27 PM,0.25,,,,
28,11/02/15 12:39:05 AM,0.26,,,,
29,11/02/15 01:59:45 AM,0.27,,,,
30,11/02/15 02:33:46 AM,0.28,,,,
31,11/02/15 02:39:08 AM,0.29,,,,
32,11/02/15 02:43:16 AM,0.30,,,,
33,11/02/15 02:46:06 AM,0.31,,,,
34,11/02/15 02:47:10 AM,0.32,,,,
35,11/02/15 02:48:00 AM,0.33,,,,
36,11/02/15 02:48:30 AM,0.34,,,,
37,11/02/15 02:49:04 AM,0.35,,,,
38,11/02/15 02:49:47 AM,0.36,,,,
39,11/02/15 02:51:43 AM,0.37,,,,
40,11/02/15 02:53:04 AM,0.38,,,,
41,11/02/15 02:54:54 AM,0.39,,,,
