"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","Coupler Attached (LGR S/N: 10592079, SEN S/N: 10592079)","Host Connected (LGR S/N: 10592079, SEN S/N: 10592079)","Stopped (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
109,11/19/18 03:07:31 AM,55.189,,,,,,
110,11/19/18 04:07:31 AM,54.147,,,,,,
111,11/19/18 05:07:31 AM,56.750,,,,,,
112,11/19/18 06:07:31 AM,58.476,,,,,,
113,11/19/18 07:07:31 AM,59.851,,,,,,
114,11/19/18 08:07:31 AM,62.083,,,,,,
115,11/19/18 09:07:31 AM,66.879,,,,,,
116,11/19/18 10:07:31 AM,85.554,,,,,,
117,11/19/18 11:07:31 AM,76.354,,,,,,
118,11/19/18 12:07:31 PM,73.580,,,,,,
119,11/19/18 01:07:31 PM,83.399,,,,,,
120,11/19/18 02:07:31 PM,70.308,,,,,,
121,11/19/18 03:07:31 PM,67.735,,,,,,
122,11/19/18 04:07:31 PM,63.282,,,,,,
123,11/19/18 05:07:31 PM,58.993,,,,,,
124,11/19/18 06:07:31 PM,56.404,,,,,,
125,11/19/18 07:07:31 PM,55.537,,,,,,
126,11/19/18 08:07:31 PM,50.643,,,,,,
127,11/19/18 09:07:31 PM,52.225,,,,,,
128,11/19/18 10:07:31 PM,51.699,,,,,,
129,11/19/18 11:07:31 PM,53.623,,,,,,
130,11/20/18 12:07:31 AM,53.274,,,,,,
131,11/20/18 01:07:31 AM,50.643,,,,,,
132,11/20/18 02:07:31 AM,48.339,,,,,,
133,11/20/18 03:07:31 AM,47.982,,,,,,
134,11/20/18 04:07:31 AM,46.728,,,,,,
135,11/20/18 05:07:31 AM,49.404,,,,,,
136,11/20/18 06:07:31 AM,48.339,,,,,,
137,11/20/18 07:07:31 AM,49.937,,,,,,
138,11/20/18 08:07:31 AM,55.884,,,,,,
139,11/20/18 09:07:31 AM,65.338,,,,,,
140,11/20/18 10:07:31 AM,91.800,,,,,,
141,11/20/18 11:07:31 AM,98.307,,,,,,
142,11/20/18 12:07:31 PM,95.400,,,,,,
143,11/20/18 01:07:31 PM,83.579,,,,,,
144,11/20/18 02:07:31 PM,74.964,,,,,,
145,11/20/18 03:07:31 PM,67.735,,,,,,
146,11/20/18 04:07:31 PM,60.712,,,,,,
147,11/20/18 05:07:31 PM,56.577,,,,,,
148,11/20/18 06:07:31 PM,55.711,,,,,,
149,11/20/18 07:07:31 PM,55.017,,,,,,
150,11/20/18 08:07:31 PM,55.189,,,,,,
151,11/20/18 09:07:31 PM,54.842,,,,,,
152,11/20/18 10:07:31 PM,55.189,,,,,,
153,11/20/18 11:07:31 PM,55.711,,,,,,
154,11/21/18 12:07:31 AM,56.750,,,,,,
155,11/21/18 12:40:44 AM,,0.01,,,,,
156,11/21/18 01:02:49 AM,,0.02,,,,,
157,11/21/18 01:07:31 AM,52.576,,,,,,
158,11/21/18 01:18:04 AM,,0.03,,,,,
159,11/21/18 01:24:49 AM,,0.04,,,,,
160,11/21/18 01:31:07 AM,,0.05,,,,,
161,11/21/18 01:38:39 AM,,0.06,,,,,
162,11/21/18 02:07:31 AM,53.449,,,,,,
163,11/21/18 03:07:31 AM,53.798,,,,,,
164,11/21/18 04:07:31 AM,54.495,,,,,,
165,11/21/18 04:53:16 AM,,0.07,,,,,
166,11/21/18 05:07:31 AM,54.842,,,,,,
167,11/21/18 06:07:31 AM,55.364,,,,,,
168,11/21/18 06:22:09 AM,,0.08,,,,,
169,11/21/18 06:35:58 AM,,0.09,,,,,
170,11/21/18 06:39:56 AM,,0.10,,,,,
171,11/21/18 06:47:16 AM,,0.11,,,,,
172,11/21/18 06:58:27 AM,,0.12,,,,,
173,11/21/18 07:07:31 AM,54.147,,,,,,
174,11/21/18 07:52:09 AM,,0.13,,,,,
175,11/21/18 07:56:22 AM,,0.14,,,,,
176,11/21/18 07:58:25 AM,,0.15,,,,,
177,11/21/18 08:00:38 AM,,0.16,,,,,
