"Plot Title: SF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20521509, SEN S/N: 20521509)","Event, units (LGR S/N: 20521509, SEN S/N: 20521509)","Coupler Attached (LGR S/N: 20521509, SEN S/N: 20521509)","Coupler Detached (LGR S/N: 20521509, SEN S/N: 20521509)","Host Connected (LGR S/N: 20521509, SEN S/N: 20521509)","Stopped (LGR S/N: 20521509, SEN S/N: 20521509)","End Of File (LGR S/N: 20521509, SEN S/N: 20521509)"
1,05/23/19 12:00:00 PM,88.833,0.00,,,,,
2,05/23/19 01:00:00 PM,68.763,,,,,,
3,05/23/19 02:00:00 PM,66.879,,,,,,
4,05/23/19 03:00:00 PM,66.022,,,,,,
5,05/23/19 04:00:00 PM,62.940,,,,,,
6,05/23/19 05:00:00 PM,60.539,,,,,,
7,05/23/19 06:00:00 PM,56.923,,,,,,
8,05/23/19 07:00:00 PM,53.623,,,,,,
9,05/23/19 08:00:00 PM,50.995,,,,,,
10,05/23/19 09:00:00 PM,50.113,,,,,,
11,05/23/19 10:00:00 PM,49.228,,,,,,
12,05/23/19 11:00:00 PM,48.871,,,,,,
13,05/24/19 12:00:00 AM,49.050,,,,,,
14,05/24/19 01:00:00 AM,49.404,,,,,,
15,05/24/19 02:00:00 AM,49.404,,,,,,
16,05/24/19 03:00:00 AM,49.404,,,,,,
17,05/24/19 04:00:00 AM,49.404,,,,,,
18,05/24/19 05:00:00 AM,49.404,,,,,,
19,05/24/19 06:00:00 AM,49.582,,,,,,
20,05/24/19 07:00:00 AM,49.759,,,,,,
21,05/24/19 08:00:00 AM,55.017,,,,,,
22,05/24/19 09:00:00 AM,59.680,,,,,,
23,05/24/19 10:00:00 AM,62.769,,,,,,
24,05/24/19 11:00:00 AM,77.050,,,,,,
25,05/24/19 12:00:00 PM,92.550,,,,,,
26,05/24/19 01:00:00 PM,81.442,,,,,,
27,05/24/19 02:00:00 PM,81.442,,,,,,
28,05/24/19 03:00:00 PM,81.621,,,,,,
29,05/24/19 04:00:00 PM,79.502,,,,,,
30,05/24/19 05:00:00 PM,74.619,,,,,,
31,05/24/19 06:00:00 PM,71.339,,,,,,
32,05/24/19 07:00:00 PM,67.050,,,,,,
33,05/24/19 08:00:00 PM,57.785,,,,,,
34,05/24/19 09:00:00 PM,52.401,,,,,,
35,05/24/19 10:00:00 PM,51.172,,,,,,
36,05/24/19 11:00:00 PM,51.874,,,,,,
37,05/25/19 12:00:00 AM,48.517,,,,,,
38,05/25/19 01:00:00 AM,49.937,,,,,,
39,05/25/19 02:00:00 AM,49.759,,,,,,
40,05/25/19 03:00:00 AM,49.050,,,,,,
41,05/25/19 04:00:00 AM,48.339,,,,,,
42,05/25/19 05:00:00 AM,48.517,,,,,,
43,05/25/19 06:00:00 AM,47.802,,,,,,
44,05/25/19 07:00:00 AM,48.517,,,,,,
45,05/25/19 08:00:00 AM,53.449,,,,,,
46,05/25/19 09:00:00 AM,64.652,,,,,,
47,05/25/19 10:00:00 AM,88.466,,,,,,
48,05/25/19 11:00:00 AM,92.363,,,,,,
49,05/25/19 12:00:00 PM,83.757,,,,,,
50,05/25/19 01:00:00 PM,78.274,,,,,,
51,05/25/19 02:00:00 PM,75.139,,,,,,
52,05/25/19 03:00:00 PM,74.446,,,,,,
53,05/25/19 04:00:00 PM,70.651,,,,,,
54,05/25/19 05:00:00 PM,65.680,,,,,,
55,05/25/19 06:00:00 PM,58.303,,,,,,
56,05/25/19 07:00:00 PM,53.798,,,,,,
57,05/25/19 08:00:00 PM,50.290,,,,,,
58,05/25/19 09:00:00 PM,48.871,,,,,,
59,05/25/19 10:00:00 PM,48.339,,,,,,
60,05/25/19 11:00:00 PM,47.982,,,,,,
61,05/26/19 12:00:00 AM,47.802,,,,,,
62,05/26/19 01:00:00 AM,47.982,,,,,,
63,05/26/19 01:12:02 AM,,0.01,,,,,
64,05/26/19 01:22:25 AM,,0.02,,,,,
65,05/26/19 01:35:01 AM,,0.03,,,,,
66,05/26/19 01:49:03 AM,,0.04,,,,,
67,05/26/19 02:00:00 AM,47.982,,,,,,
68,05/26/19 03:00:00 AM,47.266,,,,,,
69,05/26/19 03:48:26 AM,,0.05,,,,,
70,05/26/19 04:00:00 AM,46.008,,,,,,
71,05/26/19 04:13:33 AM,,0.06,,,,,
72,05/26/19 04:44:35 AM,,0.07,,,,,
73,05/26/19 04:48:23 AM,,0.08,,,,,
74,05/26/19 04:50:06 AM,,0.09,,,,,
75,05/26/19 04:52:46 AM,,0.10,,,,,
76,05/26/19 04:55:52 AM,,0.11,,,,,
77,05/26/19 05:00:00 AM,46.008,,,,,,
78,05/26/19 05:12:55 AM,,0.12,,,,,
79,05/26/19 05:27:46 AM,,0.13,,,,,
80,05/26/19 05:47:21 AM,,0.14,,,,,
81,05/26/19 06:00:00 AM,45.466,,,,,,
82,05/26/19 07:00:00 AM,46.188,,,,,,
83,05/26/19 08:00:00 AM,47.624,,,,,,
84,05/26/19 09:00:00 AM,54.322,,,,,,
85,05/26/19 10:00:00 AM,57.614,,,,,,
86,05/26/19 11:00:00 AM,75.484,,,,,,
87,05/26/19 12:00:00 PM,72.718,,,,,,
88,05/26/19 01:00:00 PM,68.592,,,,,,
89,05/26/19 02:00:00 PM,67.221,,,,,,
90,05/26/19 03:00:00 PM,63.111,,,,,,
91,05/26/19 04:00:00 PM,63.111,,,,,,
92,05/26/19 05:00:00 PM,58.476,,,,,,
93,05/26/19 06:00:00 PM,53.100,,,,,,
94,05/26/19 07:00:00 PM,50.995,,,,,,
95,05/26/19 07:34:00 PM,,0.15,,,,,
96,05/26/19 08:00:00 PM,47.802,,,,,,
97,05/26/19 08:41:01 PM,,0.16,,,,,
98,05/26/19 09:00:00 PM,47.088,,,,,,
99,05/26/19 09:59:16 PM,,0.17,,,,,
100,05/26/19 10:00:00 PM,46.728,,,,,,
101,05/26/19 11:00:00 PM,46.188,,,,,,
102,05/27/19 12:00:00 AM,45.466,,,,,,
103,05/27/19 12:56:58 AM,,0.18,,,,,
104,05/27/19 01:00:00 AM,45.104,,,,,,
105,05/27/19 02:00:00 AM,46.008,,,,,,
106,05/27/19 03:00:00 AM,46.548,,,,,,
107,05/27/19 04:00:00 AM,46.369,,,,,,
108,05/27/19 05:00:00 AM,46.548,,,,,,
109,05/27/19 06:00:00 AM,46.369,,,,,,
110,05/27/19 07:00:00 AM,47.624,,,,,,
111,05/27/19 08:00:00 AM,49.050,,,,,,
112,05/27/19 09:00:00 AM,52.050,,,,,,
113,05/27/19 10:00:00 AM,82.330,,,,,,
114,05/27/19 11:00:00 AM,67.735,,,,,,
115,05/27/19 12:00:00 PM,60.024,,,,,,
116,05/27/19 01:00:00 PM,57.958,,,,,,
117,05/27/19 02:00:00 PM,58.647,,,,,,
118,05/27/19 03:00:00 PM,60.195,,,,,,
119,05/27/19 04:00:00 PM,59.680,,,,,,
120,05/27/19 05:00:00 PM,55.884,,,,,,
121,05/27/19 06:00:00 PM,53.623,,,,,,
122,05/27/19 07:00:00 PM,52.401,,,,,,
123,05/27/19 08:00:00 PM,49.228,,,,,,
124,05/27/19 09:00:00 PM,47.982,,,,,,
125,05/27/19 10:00:00 PM,47.624,,,,,,
126,05/27/19 11:00:00 PM,47.446,,,,,,
127,05/28/19 12:00:00 AM,47.446,,,,,,
128,05/28/19 01:00:00 AM,47.446,,,,,,
129,05/28/19 02:00:00 AM,47.266,,,,,,
130,05/28/19 03:00:00 AM,47.088,,,,,,
131,05/28/19 04:00:00 AM,47.446,,,,,,
132,05/28/19 05:00:00 AM,47.266,,,,,,
133,05/28/19 06:00:00 AM,46.908,,,,,,
134,05/28/19 07:00:00 AM,48.517,,,,,,
135,05/28/19 08:00:00 AM,54.495,,,,,,
136,05/28/19 09:00:00 AM,63.111,,,,,,
137,05/28/19 10:00:00 AM,60.195,,,,,,
138,05/28/19 11:00:00 AM,67.050,,,,,,
139,05/28/19 12:00:00 PM,88.466,,,,,,
140,05/28/19 01:00:00 PM,80.382,,,,,,
141,05/28/19 02:00:00 PM,84.474,,,,,,
142,05/28/19 03:00:00 PM,86.823,,,,,,
143,05/28/19 04:00:00 PM,86.641,,,,,,
144,05/28/19 05:00:00 PM,82.152,,,,,,
145,05/28/19 06:00:00 PM,77.050,,,,,,
146,05/28/19 07:00:00 PM,71.512,,,,,,
147,05/28/19 08:00:00 PM,60.368,,,,,,
148,05/28/19 09:00:00 PM,54.322,,,,,,
149,05/28/19 10:00:00 PM,52.401,,,,,,
150,05/28/19 11:00:00 PM,50.643,,,,,,
151,05/29/19 12:00:00 AM,50.113,,,,,,
152,05/29/19 01:00:00 AM,50.290,,,,,,
153,05/29/19 02:00:00 AM,49.228,,,,,,
154,05/29/19 03:00:00 AM,49.937,,,,,,
155,05/29/19 04:00:00 AM,47.802,,,,,,
156,05/29/19 05:00:00 AM,46.008,,,,,,
157,05/29/19 06:00:00 AM,45.466,,,,,,
158,05/29/19 07:00:00 AM,49.050,,,,,,
159,05/29/19 08:00:00 AM,58.820,,,,,,
160,05/29/19 09:00:00 AM,65.509,,,,,,
161,05/29/19 10:00:00 AM,94.253,,,,,,
162,05/29/19 11:00:00 AM,105.161,,,,,,
163,05/29/19 12:00:00 PM,98.897,,,,,,
164,05/29/19 01:00:00 PM,84.834,,,,,,
165,05/29/19 02:00:00 PM,87.915,,,,,,
166,05/29/19 03:00:00 PM,91.612,,,,,,
167,05/29/19 04:00:00 PM,89.569,,,,,,
168,05/29/19 05:00:00 PM,87.004,,,,,,
169,05/29/19 06:00:00 PM,80.911,,,,,,
170,05/29/19 07:00:00 PM,75.484,,,,,,
171,05/29/19 08:00:00 PM,62.254,,,,,,
172,05/29/19 09:00:00 PM,53.973,,,,,,
173,05/29/19 10:00:00 PM,51.874,,,,,,
174,05/29/19 11:00:00 PM,51.699,,,,,,
175,05/30/19 12:00:00 AM,50.819,,,,,,
176,05/30/19 01:00:00 AM,49.050,,,,,,
177,05/30/19 02:00:00 AM,46.908,,,,,,
178,05/30/19 03:00:00 AM,45.648,,,,,,
179,05/30/19 04:00:00 AM,46.008,,,,,,
180,05/30/19 05:00:00 AM,46.728,,,,,,
181,05/30/19 06:00:00 AM,45.648,,,,,,
182,05/30/19 07:00:00 AM,46.188,,,,,,
183,05/30/19 08:00:00 AM,55.711,,,,,,
184,05/30/19 09:00:00 AM,64.139,,,,,,
185,05/30/19 10:00:00 AM,97.525,,,,,,
186,05/30/19 11:00:00 AM,102.290,,,,,,
187,05/30/19 12:00:00 PM,95.400,,,,,,
188,05/30/19 01:00:00 PM,83.579,,,,,,
189,05/30/19 02:00:00 PM,82.864,,,,,,
190,05/30/19 03:00:00 PM,81.266,,,,,,
191,05/30/19 04:00:00 PM,79.678,,,,,,
192,05/30/19 05:00:00 PM,76.181,,,,,,
193,05/30/19 06:00:00 PM,72.891,,,,,,
194,05/30/19 07:00:00 PM,68.421,,,,,,
195,05/30/19 08:00:00 PM,57.785,,,,,,
196,05/30/19 09:00:00 PM,51.699,,,,,,
197,05/30/19 10:00:00 PM,49.404,,,,,,
198,05/30/19 11:00:00 PM,48.339,,,,,,
199,05/31/19 12:00:00 AM,48.339,,,,,,
200,05/31/19 01:00:00 AM,47.446,,,,,,
201,05/31/19 02:00:00 AM,47.446,,,,,,
202,05/31/19 03:00:00 AM,46.369,,,,,,
203,05/31/19 04:00:00 AM,45.828,,,,,,
204,05/31/19 05:00:00 AM,48.517,,,,,,
205,05/31/19 06:00:00 AM,49.228,,,,,,
206,05/31/19 07:00:00 AM,51.699,,,,,,
207,05/31/19 08:00:00 AM,55.189,,,,,,
208,05/31/19 09:00:00 AM,67.221,,,,,,
209,05/31/19 10:00:00 AM,99.291,,,,,,
210,05/31/19 11:00:00 AM,107.895,,,,,,
211,05/31/19 12:00:00 PM,102.493,,,,,,
212,05/31/19 01:00:00 PM,91.425,,,,,,
213,05/31/19 02:00:00 PM,91.425,,,,,,
214,05/31/19 03:00:00 PM,90.867,,,,,,
215,05/31/19 04:00:00 PM,89.755,,,,,,
216,05/31/19 05:00:00 PM,86.097,,,,,,
217,05/31/19 06:00:00 PM,82.508,,,,,,
218,05/31/19 07:00:00 PM,78.274,,,,,,
219,05/31/19 08:00:00 PM,66.537,,,,,,
220,05/31/19 09:00:00 PM,60.024,,,,,,
221,05/31/19 10:00:00 PM,59.337,,,,,,
222,05/31/19 11:00:00 PM,60.195,,,,,,
223,06/01/19 12:00:00 AM,58.993,,,,,,
224,06/01/19 01:00:00 AM,58.303,,,,,,
225,06/01/19 02:00:00 AM,57.614,,,,,,
226,06/01/19 03:00:00 AM,58.303,,,,,,
227,06/01/19 04:00:00 AM,57.096,,,,,,
228,06/01/19 05:00:00 AM,56.577,,,,,,
229,06/01/19 06:00:00 AM,54.669,,,,,,
230,06/01/19 07:00:00 AM,56.057,,,,,,
231,06/01/19 08:00:00 AM,61.741,,,,,,
232,06/01/19 09:00:00 AM,76.354,,,,,,
233,06/01/19 10:00:00 AM,103.512,,,,,,
234,06/01/19 11:00:00 AM,108.964,,,,,,
235,06/01/19 12:00:00 PM,100.083,,,,,,
236,06/01/19 01:00:00 PM,87.733,,,,,,
237,06/01/19 02:00:00 PM,85.915,,,,,,
238,06/01/19 03:00:00 PM,86.459,,,,,,
239,06/01/19 04:00:00 PM,82.864,,,,,,
240,06/01/19 05:00:00 PM,77.574,,,,,,
241,06/01/19 06:00:00 PM,71.339,,,,,,
242,06/01/19 07:00:00 PM,60.712,,,,,,
243,06/01/19 08:00:00 PM,55.711,,,,,,
244,06/01/19 09:00:00 PM,52.925,,,,,,
245,06/01/19 10:00:00 PM,51.699,,,,,,
246,06/01/19 11:00:00 PM,51.523,,,,,,
247,06/02/19 12:00:00 AM,51.523,,,,,,
248,06/02/19 01:00:00 AM,51.172,,,,,,
249,06/02/19 02:00:00 AM,50.643,,,,,,
250,06/02/19 03:00:00 AM,50.466,,,,,,
251,06/02/19 04:00:00 AM,50.113,,,,,,
252,06/02/19 04:06:58 AM,,0.19,,,,,
253,06/02/19 05:00:00 AM,50.113,,,,,,
254,06/02/19 06:00:00 AM,50.113,,,,,,
255,06/02/19 06:06:34 AM,,0.20,,,,,
256,06/02/19 07:00:00 AM,51.874,,,,,,
257,06/02/19 08:00:00 AM,57.614,,,,,,
258,06/02/19 09:00:00 AM,64.481,,,,,,
259,06/02/19 10:00:00 AM,69.793,,,,,,
260,06/02/19 11:00:00 AM,76.181,,,,,,
261,06/02/19 12:00:00 PM,79.502,,,,,,
262,06/02/19 01:00:00 PM,80.735,,,,,,
263,06/02/19 02:00:00 PM,81.797,,,,,,
264,06/02/19 03:00:00 PM,81.266,,,,,,
265,06/02/19 04:00:00 PM,78.274,,,,,,
266,06/02/19 05:00:00 PM,77.050,,,,,,
267,06/02/19 06:00:00 PM,68.592,,,,,,
268,06/02/19 07:00:00 PM,64.310,,,,,,
269,06/02/19 08:00:00 PM,56.577,,,,,,
270,06/02/19 09:00:00 PM,52.225,,,,,,
271,06/02/19 10:00:00 PM,50.643,,,,,,
272,06/02/19 11:00:00 PM,49.404,,,,,,
273,06/03/19 12:00:00 AM,48.517,,,,,,
274,06/03/19 01:00:00 AM,48.339,,,,,,
275,06/03/19 02:00:00 AM,47.088,,,,,,
276,06/03/19 03:00:00 AM,46.548,,,,,,
277,06/03/19 04:00:00 AM,49.050,,,,,,
278,06/03/19 05:00:00 AM,49.759,,,,,,
279,06/03/19 06:00:00 AM,48.871,,,,,,
280,06/03/19 07:00:00 AM,51.346,,,,,,
281,06/03/19 08:00:00 AM,53.623,,,,,,
282,06/03/19 09:00:00 AM,69.622,,,,,,
283,06/03/19 10:00:00 AM,100.083,,,,,,
284,06/03/19 11:00:00 AM,108.322,,,,,,
285,06/03/19 12:00:00 PM,101.685,,,,,,
286,06/03/19 01:00:00 PM,89.755,,,,,,
