"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Detached (LGR S/N: 10592081, SEN S/N: 10592081)","Stopped (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,02/04/15 12:26:16 PM,0.00,,,,
2,02/06/15 01:02:56 PM,0.01,,,,
3,02/06/15 01:24:25 PM,0.02,,,,
4,02/06/15 01:29:45 PM,0.03,,,,
5,02/06/15 01:42:38 PM,0.04,,,,
6,02/06/15 01:51:27 PM,0.05,,,,
7,02/06/15 02:05:55 PM,0.06,,,,
8,02/06/15 02:19:25 PM,0.07,,,,
9,02/06/15 02:21:58 PM,0.08,,,,
10,02/06/15 02:23:11 PM,0.09,,,,
11,02/06/15 02:25:40 PM,0.10,,,,
12,02/06/15 02:32:40 PM,0.11,,,,
13,02/06/15 02:33:45 PM,0.12,,,,
14,02/06/15 02:40:05 PM,0.13,,,,
15,02/06/15 02:46:10 PM,0.14,,,,
16,02/06/15 02:52:39 PM,0.15,,,,
17,02/06/15 03:00:41 PM,0.16,,,,
18,02/06/15 04:58:50 PM,0.17,,,,
19,02/06/15 05:39:14 PM,0.18,,,,
20,02/06/15 05:41:26 PM,0.19,,,,
21,02/06/15 05:43:05 PM,0.20,,,,
22,02/06/15 05:45:07 PM,0.21,,,,
23,02/06/15 05:47:08 PM,0.22,,,,
24,02/06/15 05:50:32 PM,0.23,,,,
25,02/06/15 05:53:57 PM,0.24,,,,
26,02/06/15 05:57:51 PM,0.25,,,,
27,02/06/15 05:59:23 PM,0.26,,,,
28,02/06/15 06:00:16 PM,0.27,,,,
29,02/06/15 06:00:53 PM,0.28,,,,
30,02/06/15 06:02:02 PM,0.29,,,,
31,02/06/15 06:03:04 PM,0.30,,,,
32,02/06/15 06:04:59 PM,0.31,,,,
33,02/06/15 06:08:29 PM,0.32,,,,
34,02/06/15 06:09:39 PM,0.33,,,,
35,02/06/15 06:09:58 PM,0.34,,,,
36,02/06/15 06:10:20 PM,0.35,,,,
