"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,03/19/13 12:40:18 PM,0.00,,,
2,03/19/13 12:40:45 PM,,Logged,,
3,03/19/13 07:19:44 PM,0.01,,,
4,03/19/13 07:40:36 PM,0.02,,,
5,03/19/13 08:29:57 PM,0.03,,,
6,03/20/13 02:29:18 AM,0.04,,,
7,03/20/13 04:47:43 AM,0.05,,,
8,03/20/13 03:32:41 PM,0.06,,,
9,03/20/13 05:05:11 PM,0.07,,,
10,03/20/13 08:22:38 PM,0.08,,,
11,03/25/13 01:28:39 PM,0.08,,Logged,Logged
