"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,12/23/14 12:24:00 PM,0.00,,
2,12/24/14 03:50:16 PM,0.01,,
3,12/24/14 03:50:17 PM,0.02,,
4,12/24/14 03:51:08 PM,0.03,,
5,12/24/14 03:51:49 PM,0.04,,
6,12/24/14 03:58:59 PM,0.05,,
7,12/24/14 04:26:36 PM,0.06,,
8,12/31/14 12:31:31 PM,0.06,Logged,Logged
