"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,02/24/11 10:31:49 AM,0.00,,,,
2,02/24/11 10:32:00 AM,,Logged,,,
3,02/24/11 03:24:54 PM,0.01,,,,
4,02/24/11 03:57:57 PM,0.02,,,,
5,02/24/11 04:00:33 PM,0.03,,,,
6,02/24/11 04:02:32 PM,0.04,,,,
7,02/24/11 04:04:13 PM,0.05,,,,
8,02/24/11 04:15:43 PM,0.06,,,,
9,02/24/11 04:27:43 PM,0.07,,,,
10,02/24/11 04:27:44 PM,0.08,,,,
11,02/24/11 04:36:05 PM,0.09,,,,
12,02/24/11 04:44:34 PM,0.10,,,,
13,02/24/11 04:52:30 PM,0.11,,,,
14,02/24/11 05:03:48 PM,0.12,,,,
15,02/24/11 05:11:20 PM,0.13,,,,
16,02/24/11 05:24:26 PM,0.14,,,,
17,02/24/11 05:31:58 PM,0.15,,,,
18,02/24/11 05:37:32 PM,0.16,,,,
19,02/24/11 05:44:28 PM,0.17,,,,
20,02/24/11 05:56:41 PM,0.18,,,,
21,02/24/11 06:05:08 PM,0.19,,,,
22,02/24/11 06:17:37 PM,0.20,,,,
23,02/24/11 06:27:20 PM,0.21,,,,
24,02/24/11 06:35:42 PM,0.22,,,,
25,02/24/11 06:41:44 PM,0.23,,,,
26,02/24/11 06:50:28 PM,0.24,,,,
27,02/24/11 06:59:15 PM,0.25,,,,
28,02/24/11 07:07:57 PM,0.26,,,,
29,02/24/11 07:15:41 PM,0.27,,,,
30,02/24/11 07:23:58 PM,0.28,,,,
31,02/24/11 07:31:39 PM,0.29,,,,
32,02/24/11 07:31:40 PM,0.30,,,,
33,02/24/11 07:39:48 PM,0.31,,,,
34,02/24/11 07:52:05 PM,0.32,,,,
35,02/24/11 08:02:02 PM,0.33,,,,
36,02/24/11 08:12:42 PM,0.34,,,,
37,02/24/11 08:12:43 PM,0.35,,,,
38,02/24/11 08:24:20 PM,0.36,,,,
39,02/24/11 08:31:09 PM,0.37,,,,
40,02/24/11 08:31:10 PM,0.38,,,,
41,02/24/11 08:39:24 PM,0.39,,,,
42,02/24/11 08:52:55 PM,0.40,,,,
43,02/24/11 09:07:58 PM,0.41,,,,
44,02/24/11 09:28:11 PM,0.42,,,,
45,02/24/11 09:37:53 PM,0.43,,,,
46,02/24/11 09:39:27 PM,0.44,,,,
47,02/24/11 09:40:24 PM,0.45,,,,
48,02/24/11 09:41:02 PM,0.46,,,,
49,02/24/11 09:41:35 PM,0.47,,,,
50,02/24/11 09:42:40 PM,0.48,,,,
51,02/24/11 09:43:55 PM,0.49,,,,
52,02/24/11 09:44:54 PM,0.50,,,,
53,02/24/11 09:46:26 PM,0.51,,,,
54,02/24/11 09:50:46 PM,0.52,,,,
55,02/24/11 09:56:36 PM,0.53,,,,
56,02/24/11 10:15:31 PM,0.54,,,,
57,02/24/11 10:29:45 PM,0.55,,,,
58,02/24/11 10:36:52 PM,0.56,,,,
59,02/24/11 10:46:59 PM,0.57,,,,
60,02/24/11 10:58:37 PM,0.58,,,,
61,02/24/11 11:08:13 PM,0.59,,,,
62,02/24/11 11:14:59 PM,0.60,,,,
63,02/24/11 11:22:12 PM,0.61,,,,
64,02/24/11 11:27:26 PM,0.62,,,,
65,02/24/11 11:33:48 PM,0.63,,,,
66,02/24/11 11:36:17 PM,0.64,,,,
67,02/24/11 11:44:27 PM,0.65,,,,
68,02/24/11 11:49:56 PM,0.66,,,,
69,02/25/11 12:04:14 AM,0.67,,,,
70,02/25/11 12:12:08 AM,0.68,,,,
71,02/25/11 12:17:20 AM,0.69,,,,
72,02/25/11 12:23:22 AM,0.70,,,,
73,02/25/11 12:27:08 AM,0.71,,,,
74,02/25/11 12:27:45 AM,0.72,,,,
75,02/25/11 12:28:55 AM,0.73,,,,
76,02/25/11 12:30:54 AM,0.74,,,,
77,02/25/11 12:30:55 AM,0.75,,,,
78,02/25/11 12:35:51 AM,0.76,,,,
79,02/25/11 12:35:52 AM,0.77,,,,
80,02/25/11 12:38:53 AM,0.78,,,,
81,02/25/11 12:42:43 AM,0.79,,,,
82,02/25/11 12:47:27 AM,0.80,,,,
83,02/25/11 12:51:18 AM,0.81,,,,
84,02/25/11 12:53:49 AM,0.82,,,,
85,02/25/11 12:56:41 AM,0.83,,,,
86,02/25/11 12:57:59 AM,0.84,,,,
87,02/25/11 12:59:14 AM,0.85,,,,
88,02/25/11 01:00:25 AM,0.86,,,,
89,02/25/11 01:00:57 AM,0.87,,,,
90,02/25/11 01:01:23 AM,0.88,,,,
91,02/25/11 01:02:06 AM,0.89,,,,
92,02/25/11 01:02:07 AM,0.90,,,,
93,02/25/11 01:07:00 AM,0.91,,,,
94,02/25/11 01:16:28 AM,0.92,,,,
95,02/25/11 01:20:18 AM,0.93,,,,
96,02/25/11 01:23:01 AM,0.94,,,,
97,02/25/11 01:25:17 AM,0.95,,,,
98,02/25/11 01:26:52 AM,0.96,,,,
99,02/25/11 01:29:55 AM,0.97,,,,
100,02/25/11 01:38:04 AM,0.98,,,,
101,02/25/11 01:50:35 AM,0.99,,,,
102,02/25/11 01:50:36 AM,1.00,,,,
103,02/25/11 02:00:20 AM,1.01,,,,
104,02/25/11 02:06:55 AM,1.02,,,,
105,02/25/11 02:12:22 AM,1.03,,,,
106,02/25/11 02:16:25 AM,1.04,,,,
107,02/25/11 02:20:57 AM,1.05,,,,
108,02/25/11 02:23:40 AM,1.06,,,,
109,02/25/11 02:27:58 AM,1.07,,,,
110,02/25/11 02:32:38 AM,1.08,,,,
111,02/25/11 02:36:24 AM,1.09,,,,
112,02/25/11 02:40:27 AM,1.10,,,,
113,02/25/11 02:40:28 AM,1.11,,,,
114,02/25/11 02:45:52 AM,1.12,,,,
115,02/25/11 02:53:01 AM,1.13,,,,
116,02/25/11 02:56:46 AM,1.14,,,,
117,02/25/11 02:59:30 AM,1.15,,,,
118,02/25/11 03:07:55 AM,1.16,,,,
119,02/25/11 03:13:28 AM,1.17,,,,
120,02/25/11 03:19:36 AM,1.18,,,,
121,02/25/11 03:26:02 AM,1.19,,,,
122,02/25/11 03:37:43 AM,1.20,,,,
123,02/25/11 03:49:49 AM,1.21,,,,
124,02/25/11 03:56:50 AM,1.22,,,,
125,02/25/11 04:06:17 AM,1.23,,,,
126,02/25/11 04:09:18 AM,1.24,,,,
127,02/25/11 04:13:36 AM,1.25,,,,
128,02/25/11 04:20:40 AM,1.26,,,,
