"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,02/01/11 02:54:06 PM,0.00000000,,,
2,02/01/11 02:54:17 PM,,Logged,,
3,02/08/11 11:14:20 AM,0.00000000,,Logged,Logged
