"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
121,12/28/10 10:06:25 PM,1.19,,,,
122,12/28/10 10:07:26 PM,1.20,,,,
123,12/28/10 10:08:16 PM,1.21,,,,
124,12/28/10 10:09:01 PM,1.22,,,,
125,12/28/10 10:09:47 PM,1.23,,,,
126,12/28/10 10:10:42 PM,1.24,,,,
127,12/28/10 10:11:28 PM,1.25,,,,
128,12/28/10 10:12:20 PM,1.26,,,,
129,12/28/10 10:13:08 PM,1.27,,,,
130,12/28/10 10:14:03 PM,1.28,,,,
131,12/28/10 10:15:04 PM,1.29,,,,
132,12/28/10 10:15:59 PM,1.30,,,,
133,12/28/10 10:17:11 PM,1.31,,,,
134,12/28/10 10:18:15 PM,1.32,,,,
135,12/28/10 10:19:26 PM,1.33,,,,
136,12/28/10 10:20:18 PM,1.34,,,,
137,12/28/10 10:21:12 PM,1.35,,,,
138,12/28/10 10:22:05 PM,1.36,,,,
139,12/28/10 10:22:59 PM,1.37,,,,
140,12/28/10 10:23:41 PM,1.38,,,,
141,12/28/10 10:24:23 PM,1.39,,,,
142,12/28/10 10:25:21 PM,1.40,,,,
143,12/28/10 10:26:19 PM,1.41,,,,
144,12/28/10 10:27:36 PM,1.42,,,,
145,12/28/10 10:28:46 PM,1.43,,,,
146,12/28/10 10:29:26 PM,1.44,,,,
147,12/28/10 10:30:13 PM,1.45,,,,
148,12/28/10 10:30:49 PM,1.46,,,,
149,12/28/10 10:31:24 PM,1.47,,,,
150,12/28/10 10:32:04 PM,1.48,,,,
151,12/28/10 10:32:50 PM,1.49,,,,
152,12/28/10 10:33:35 PM,1.50,,,,
153,12/28/10 10:34:22 PM,1.51,,,,
154,12/28/10 10:34:52 PM,1.52,,,,
155,12/28/10 10:35:24 PM,1.53,,,,
156,12/28/10 10:35:52 PM,1.54,,,,
157,12/28/10 10:36:28 PM,1.55,,,,
158,12/28/10 10:37:02 PM,1.56,,,,
159,12/28/10 10:37:33 PM,1.57,,,,
160,12/28/10 10:37:58 PM,1.58,,,,
161,12/28/10 10:38:37 PM,1.59,,,,
162,12/28/10 10:39:12 PM,1.60,,,,
163,12/28/10 10:40:08 PM,1.61,,,,
164,12/28/10 10:40:58 PM,1.62,,,,
165,12/28/10 10:41:45 PM,1.63,,,,
166,12/28/10 10:42:28 PM,1.64,,,,
167,12/28/10 10:43:01 PM,1.65,,,,
168,12/28/10 10:43:32 PM,1.66,,,,
169,12/28/10 10:44:10 PM,1.67,,,,
170,12/28/10 10:44:42 PM,1.68,,,,
171,12/28/10 10:45:10 PM,1.69,,,,
172,12/28/10 10:45:45 PM,1.70,,,,
173,12/28/10 10:46:30 PM,1.71,,,,
174,12/28/10 10:47:20 PM,1.72,,,,
175,12/28/10 10:47:55 PM,1.73,,,,
176,12/28/10 10:48:16 PM,1.74,,,,
177,12/28/10 10:48:42 PM,1.75,,,,
178,12/28/10 10:49:06 PM,1.76,,,,
179,12/28/10 10:49:35 PM,1.77,,,,
180,12/28/10 10:50:10 PM,1.78,,,,
181,12/28/10 10:50:59 PM,1.79,,,,
182,12/28/10 10:51:41 PM,1.80,,,,
183,12/28/10 10:52:39 PM,1.81,,,,
184,12/28/10 10:53:34 PM,1.82,,,,
185,12/28/10 10:54:16 PM,1.83,,,,
186,12/28/10 10:54:39 PM,1.84,,,,
187,12/28/10 10:55:11 PM,1.85,,,,
188,12/28/10 10:55:51 PM,1.86,,,,
189,12/28/10 10:56:48 PM,1.87,,,,
190,12/28/10 10:57:50 PM,1.88,,,,
191,12/28/10 10:58:52 PM,1.89,,,,
192,12/28/10 10:59:44 PM,1.90,,,,
193,12/28/10 11:00:48 PM,1.91,,,,
194,12/28/10 11:01:37 PM,1.92,,,,
195,12/28/10 11:02:26 PM,1.93,,,,
196,12/28/10 11:03:15 PM,1.94,,,,
197,12/28/10 11:04:30 PM,1.95,,,,
198,12/28/10 11:05:46 PM,1.96,,,,
199,12/28/10 11:06:59 PM,1.97,,,,
200,12/28/10 11:08:07 PM,1.98,,,,
201,12/28/10 11:09:27 PM,1.99,,,,
202,12/28/10 11:10:27 PM,2.00,,,,
203,12/28/10 11:11:47 PM,2.01,,,,
204,12/28/10 11:12:49 PM,2.02,,,,
205,12/28/10 11:13:54 PM,2.03,,,,
206,12/28/10 11:15:10 PM,2.04,,,,
207,12/28/10 11:16:19 PM,2.05,,,,
208,12/28/10 11:17:28 PM,2.06,,,,
209,12/28/10 11:18:23 PM,2.07,,,,
210,12/28/10 11:19:20 PM,2.08,,,,
211,12/28/10 11:20:24 PM,2.09,,,,
212,12/28/10 11:21:04 PM,2.10,,,,
213,12/28/10 11:21:29 PM,2.11,,,,
214,12/28/10 11:21:58 PM,2.12,,,,
215,12/28/10 11:22:41 PM,2.13,,,,
216,12/28/10 11:23:16 PM,2.14,,,,
217,12/28/10 11:23:55 PM,2.15,,,,
218,12/28/10 11:24:33 PM,2.16,,,,
219,12/28/10 11:25:26 PM,2.17,,,,
220,12/28/10 11:26:16 PM,2.18,,,,
221,12/28/10 11:27:29 PM,2.19,,,,
222,12/28/10 11:28:33 PM,2.20,,,,
223,12/28/10 11:29:36 PM,2.21,,,,
224,12/28/10 11:30:52 PM,2.22,,,,
225,12/28/10 11:32:24 PM,2.23,,,,
226,12/28/10 11:33:35 PM,2.24,,,,
227,12/28/10 11:35:16 PM,2.25,,,,
228,12/28/10 11:37:35 PM,2.26,,,,
229,12/28/10 11:40:32 PM,2.27,,,,
230,12/28/10 11:43:26 PM,2.28,,,,
231,12/28/10 11:46:16 PM,2.29,,,,
232,12/28/10 11:47:35 PM,2.30,,,,
233,12/28/10 11:48:43 PM,2.31,,,,
234,12/28/10 11:49:44 PM,2.32,,,,
235,12/28/10 11:50:40 PM,2.33,,,,
236,12/28/10 11:51:07 PM,2.34,,,,
237,12/28/10 11:51:35 PM,2.35,,,,
238,12/28/10 11:52:08 PM,2.36,,,,
239,12/28/10 11:53:01 PM,2.37,,,,
240,12/28/10 11:53:59 PM,2.38,,,,
241,12/28/10 11:54:49 PM,2.39,,,,
242,12/28/10 11:55:23 PM,2.40,,,,
243,12/28/10 11:56:18 PM,2.41,,,,
244,12/28/10 11:57:28 PM,2.42,,,,
245,12/28/10 11:58:55 PM,2.43,,,,
246,12/28/10 11:59:54 PM,2.44,,,,
247,12/29/10 12:00:40 AM,2.45,,,,
248,12/29/10 12:01:31 AM,2.46,,,,
249,12/29/10 12:02:30 AM,2.47,,,,
250,12/29/10 12:03:40 AM,2.48,,,,
251,12/29/10 12:04:57 AM,2.49,,,,
252,12/29/10 12:05:42 AM,2.50,,,,
253,12/29/10 12:07:01 AM,2.51,,,,
254,12/29/10 12:08:26 AM,2.52,,,,
255,12/29/10 12:10:04 AM,2.53,,,,
256,12/29/10 12:11:27 AM,2.54,,,,
257,12/29/10 12:12:53 AM,2.55,,,,
258,12/29/10 12:14:38 AM,2.56,,,,
259,12/29/10 12:17:24 AM,2.57,,,,
260,12/29/10 12:20:15 AM,2.58,,,,
261,12/29/10 12:23:22 AM,2.59,,,,
262,12/29/10 12:25:05 AM,2.60,,,,
263,12/29/10 12:28:49 AM,2.61,,,,
264,12/29/10 12:33:12 AM,2.62,,,,
265,12/29/10 12:37:55 AM,2.63,,,,
266,12/29/10 12:39:46 AM,2.64,,,,
267,12/29/10 12:41:41 AM,2.65,,,,
268,12/29/10 12:42:57 AM,2.66,,,,
269,12/29/10 12:44:35 AM,2.67,,,,
270,12/29/10 12:46:57 AM,2.68,,,,
271,12/29/10 12:49:24 AM,2.69,,,,
272,12/29/10 12:52:36 AM,2.70,,,,
273,12/29/10 12:55:23 AM,2.71,,,,
274,12/29/10 12:58:04 AM,2.72,,,,
275,12/29/10 12:59:33 AM,2.73,,,,
276,12/29/10 01:01:42 AM,2.74,,,,
277,12/29/10 01:03:43 AM,2.75,,,,
278,12/29/10 01:05:55 AM,2.76,,,,
