"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","Host Connected (LGR S/N: 10592076, SEN S/N: 10592076)","Stopped (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
115,01/06/19 02:00:00 AM,46.908,,,,,
116,01/06/19 03:00:00 AM,46.908,,,,,
117,01/06/19 04:00:00 AM,46.728,,,,,
118,01/06/19 05:00:00 AM,44.922,,,,,
119,01/06/19 06:00:00 AM,45.466,,,,,
120,01/06/19 07:00:00 AM,47.088,,,,,
121,01/06/19 08:00:00 AM,48.160,,,,,
122,01/06/19 08:17:22 AM,,0.32,,,,
123,01/06/19 08:21:42 AM,,0.33,,,,
124,01/06/19 08:21:43 AM,,0.34,,,,
125,01/06/19 08:31:27 AM,,0.35,,,,
126,01/06/19 08:53:07 AM,,0.36,,,,
127,01/06/19 09:00:00 AM,48.695,,,,,
128,01/06/19 09:04:19 AM,,0.37,,,,
129,01/06/19 09:06:10 AM,,0.38,,,,
130,01/06/19 09:29:53 AM,,0.39,,,,
131,01/06/19 10:00:00 AM,49.228,,,,,
132,01/06/19 10:09:50 AM,,0.40,,,,
133,01/06/19 10:19:10 AM,,0.41,,,,
134,01/06/19 10:24:10 AM,,0.42,,,,
135,01/06/19 10:29:36 AM,,0.43,,,,
136,01/06/19 10:33:14 AM,,0.44,,,,
137,01/06/19 10:36:52 AM,,0.45,,,,
138,01/06/19 10:40:16 AM,,0.46,,,,
139,01/06/19 10:43:52 AM,,0.47,,,,
140,01/06/19 10:49:13 AM,,0.48,,,,
141,01/06/19 10:53:51 AM,,0.49,,,,
142,01/06/19 10:58:43 AM,,0.50,,,,
143,01/06/19 11:00:00 AM,50.466,,,,,
144,01/06/19 11:02:55 AM,,0.51,,,,
145,01/06/19 11:07:13 AM,,0.52,,,,
146,01/06/19 11:10:52 AM,,0.53,,,,
147,01/06/19 11:12:00 AM,,0.54,,,,
148,01/06/19 11:13:51 AM,,0.55,,,,
149,01/06/19 11:17:09 AM,,0.56,,,,
150,01/06/19 11:17:10 AM,,0.57,,,,
151,01/06/19 11:21:06 AM,,0.58,,,,
152,01/06/19 11:24:27 AM,,0.59,,,,
153,01/06/19 11:26:05 AM,,0.60,,,,
154,01/06/19 11:28:46 AM,,0.61,,,,
155,01/06/19 11:32:44 AM,,0.62,,,,
156,01/06/19 11:37:15 AM,,0.63,,,,
157,01/06/19 11:37:41 AM,,0.64,,,,
158,01/06/19 11:38:00 AM,,0.65,,,,
159,01/06/19 11:38:25 AM,,0.66,,,,
160,01/06/19 11:39:30 AM,,0.67,,,,
161,01/06/19 11:41:25 AM,,0.68,,,,
162,01/06/19 11:43:13 AM,,0.69,,,,
163,01/06/19 11:44:45 AM,,0.70,,,,
164,01/06/19 11:46:51 AM,,0.71,,,,
165,01/06/19 11:52:54 AM,,0.72,,,,
166,01/06/19 11:56:44 AM,,0.73,,,,
167,01/06/19 12:00:00 PM,50.466,,,,,
168,01/06/19 12:01:58 PM,,0.74,,,,
169,01/06/19 12:07:12 PM,,0.75,,,,
170,01/06/19 12:12:49 PM,,0.76,,,,
171,01/06/19 12:18:28 PM,,0.77,,,,
172,01/06/19 12:23:39 PM,,0.78,,,,
173,01/06/19 12:29:45 PM,,0.79,,,,
174,01/06/19 12:32:16 PM,,0.80,,,,
175,01/06/19 12:33:12 PM,,0.81,,,,
176,01/06/19 12:33:13 PM,,0.82,,,,
177,01/06/19 12:34:15 PM,,0.83,,,,
178,01/06/19 12:36:18 PM,,0.84,,,,
179,01/06/19 12:38:53 PM,,0.85,,,,
180,01/06/19 12:40:01 PM,,0.86,,,,
181,01/06/19 12:42:32 PM,,0.87,,,,
182,01/06/19 12:47:47 PM,,0.88,,,,
183,01/06/19 12:54:10 PM,,0.89,,,,
184,01/06/19 01:00:00 PM,51.172,,,,,
185,01/06/19 01:01:09 PM,,0.90,,,,
186,01/06/19 01:08:16 PM,,0.91,,,,
187,01/06/19 01:14:17 PM,,0.92,,,,
188,01/06/19 01:19:24 PM,,0.93,,,,
189,01/06/19 01:22:15 PM,,0.94,,,,
190,01/06/19 01:24:00 PM,,0.95,,,,
191,01/06/19 01:26:05 PM,,0.96,,,,
192,01/06/19 01:28:01 PM,,0.97,,,,
193,01/06/19 01:29:50 PM,,0.98,,,,
194,01/06/19 01:32:19 PM,,0.99,,,,
195,01/06/19 01:34:43 PM,,1.00,,,,
196,01/06/19 01:37:27 PM,,1.01,,,,
197,01/06/19 01:40:22 PM,,1.02,,,,
198,01/06/19 01:42:12 PM,,1.03,,,,
199,01/06/19 01:45:48 PM,,1.04,,,,
200,01/06/19 01:45:49 PM,,1.05,,,,
201,01/06/19 01:49:42 PM,,1.06,,,,
