"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
121,03/23/11 08:55:01 PM,1.19,,,,
122,03/23/11 08:55:22 PM,1.20,,,,
123,03/23/11 08:56:00 PM,1.21,,,,
124,03/23/11 08:57:16 PM,1.22,,,,
125,03/23/11 08:57:51 PM,1.23,,,,
126,03/23/11 08:58:12 PM,1.24,,,,
127,03/23/11 08:58:52 PM,1.25,,,,
128,03/23/11 08:59:35 PM,1.26,,,,
129,03/23/11 09:04:30 PM,1.27,,,,
130,03/24/11 01:34:30 AM,1.28,,,,
131,03/24/11 02:11:10 AM,1.29,,,,
132,03/24/11 06:09:58 AM,1.30,,,,
133,03/24/11 06:13:42 AM,1.31,,,,
134,03/24/11 06:16:58 AM,1.32,,,,
135,03/24/11 06:20:10 AM,1.33,,,,
136,03/24/11 06:24:14 AM,1.34,,,,
137,03/24/11 06:25:46 AM,1.35,,,,
138,03/24/11 06:26:46 AM,1.36,,,,
139,03/24/11 06:32:37 AM,1.37,,,,
140,03/24/11 06:37:49 AM,1.38,,,,
141,03/24/11 06:43:33 AM,1.39,,,,
142,03/24/11 06:50:28 AM,1.40,,,,
143,03/24/11 07:02:45 AM,1.41,,,,
144,03/24/11 07:11:09 AM,1.42,,,,
145,03/24/11 07:19:03 AM,1.43,,,,
146,03/24/11 07:23:49 AM,1.44,,,,
147,03/24/11 07:29:47 AM,1.45,,,,
148,03/24/11 07:35:18 AM,1.46,,,,
149,03/24/11 07:38:36 AM,1.47,,,,
150,03/24/11 07:42:45 AM,1.48,,,,
151,03/24/11 07:46:18 AM,1.49,,,,
152,03/24/11 07:53:40 AM,1.50,,,,
153,03/24/11 08:04:35 AM,1.51,,,,
154,03/24/11 08:13:54 AM,1.52,,,,
155,03/24/11 08:20:18 AM,1.53,,,,
156,03/24/11 08:24:39 AM,1.54,,,,
157,03/24/11 08:29:35 AM,1.55,,,,
158,03/24/11 08:33:01 AM,1.56,,,,
159,03/24/11 08:37:01 AM,1.57,,,,
160,03/24/11 08:41:12 AM,1.58,,,,
161,03/24/11 08:44:47 AM,1.59,,,,
162,03/24/11 08:48:34 AM,1.60,,,,
163,03/24/11 08:52:01 AM,1.61,,,,
164,03/24/11 08:53:22 AM,1.62,,,,
165,03/24/11 08:54:45 AM,1.63,,,,
166,03/24/11 08:56:18 AM,1.64,,,,
167,03/24/11 08:58:48 AM,1.65,,,,
168,03/24/11 09:01:00 AM,1.66,,,,
169,03/24/11 09:04:14 AM,1.67,,,,
170,03/24/11 09:06:21 AM,1.68,,,,
171,03/24/11 09:09:01 AM,1.69,,,,
172,03/24/11 09:11:30 AM,1.70,,,,
173,03/24/11 09:13:55 AM,1.71,,,,
174,03/24/11 09:15:24 AM,1.72,,,,
175,03/24/11 09:17:36 AM,1.73,,,,
176,03/24/11 09:19:15 AM,1.74,,,,
177,03/24/11 09:20:39 AM,1.75,,,,
178,03/24/11 09:21:50 AM,1.76,,,,
179,03/24/11 09:23:37 AM,1.77,,,,
180,03/24/11 09:25:06 AM,1.78,,,,
181,03/24/11 09:26:53 AM,1.79,,,,
182,03/24/11 09:28:44 AM,1.80,,,,
183,03/24/11 09:30:18 AM,1.81,,,,
184,03/24/11 09:31:32 AM,1.82,,,,
185,03/24/11 09:32:47 AM,1.83,,,,
186,03/24/11 09:33:47 AM,1.84,,,,
187,03/24/11 09:35:17 AM,1.85,,,,
188,03/24/11 09:36:36 AM,1.86,,,,
189,03/24/11 09:37:45 AM,1.87,,,,
190,03/24/11 09:38:37 AM,1.88,,,,
191,03/24/11 09:39:40 AM,1.89,,,,
192,03/24/11 09:40:33 AM,1.90,,,,
193,03/24/11 09:41:24 AM,1.91,,,,
194,03/24/11 09:42:05 AM,1.92,,,,
195,03/24/11 09:42:48 AM,1.93,,,,
196,03/24/11 09:43:37 AM,1.94,,,,
197,03/24/11 09:44:47 AM,1.95,,,,
198,03/24/11 09:46:13 AM,1.96,,,,
199,03/24/11 09:56:23 AM,1.97,,,,
200,03/24/11 09:58:43 AM,1.98,,,,
201,03/24/11 10:01:00 AM,1.99,,,,
202,03/24/11 10:03:11 AM,2.00,,,,
203,03/24/11 10:05:46 AM,2.01,,,,
204,03/24/11 10:08:51 AM,2.02,,,,
205,03/24/11 10:12:02 AM,2.03,,,,
206,03/24/11 10:15:04 AM,2.04,,,,
207,03/24/11 10:18:23 AM,2.05,,,,
208,03/24/11 10:22:03 AM,2.06,,,,
209,03/24/11 10:25:34 AM,2.07,,,,
210,03/24/11 10:28:12 AM,2.08,,,,
211,03/24/11 10:31:07 AM,2.09,,,,
212,03/24/11 10:34:43 AM,2.10,,,,
213,03/24/11 10:40:57 AM,2.11,,,,
214,03/24/11 10:46:43 AM,2.12,,,,
215,03/24/11 10:53:09 AM,2.13,,,,
216,03/24/11 10:58:45 AM,2.14,,,,
217,03/24/11 11:02:36 AM,2.15,,,,
