"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,01/08/14 11:27:31 AM,0.00,,,
2,01/08/14 11:27:35 AM,,Logged,,
3,01/08/14 11:32:11 AM,0.01,,,
4,01/08/14 12:46:41 PM,0.02,,,
5,01/08/14 12:46:42 PM,0.03,,,
6,01/08/14 12:58:29 PM,0.04,,,
7,01/08/14 12:59:02 PM,0.05,,,
8,01/08/14 01:00:38 PM,0.06,,,
9,01/08/14 02:01:47 PM,0.07,,,
10,01/08/14 02:01:48 PM,0.08,,,
11,01/08/14 02:02:36 PM,0.09,,,
12,01/08/14 02:03:13 PM,0.10,,,
13,01/08/14 02:09:45 PM,0.11,,,
14,01/08/14 02:10:06 PM,0.12,,,
15,01/08/14 02:10:10 PM,0.13,,,
16,01/08/14 02:10:11 PM,0.14,,,
17,01/08/14 02:10:12 PM,0.15,,,
18,01/08/14 02:10:13 PM,0.16,,,
19,01/08/14 02:10:33 PM,0.17,,,
20,01/08/14 02:10:34 PM,0.18,,,
21,01/08/14 03:08:29 PM,0.18,,Logged,Logged
