"Plot Title: Landing"
"#","Date Time, GMT-07:00","Ext. Line Event (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,10/11/11 04:00:00 PM,0.00,,,
2,10/18/11 10:21:04 AM,,Logged,,
3,10/18/11 10:21:10 AM,,,Logged,
4,10/18/11 10:21:16 AM,0.00,Logged,,Logged
