"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592078, SEN S/N: 10592078, LBL: HS)","Coupler Attached (LGR S/N: 10592078, SEN S/N: 10592078)","End Of File (LGR S/N: 10592078, SEN S/N: 10592078)"
1,05/15/15 08:23:55 AM,0.00,,
2,05/21/15 12:58:21 AM,1.00,,
3,05/21/15 04:58:56 AM,2.00,,
4,05/21/15 05:05:53 AM,3.00,,
5,05/21/15 06:19:06 AM,4.00,,
6,05/21/15 06:34:49 AM,5.00,,
7,05/21/15 06:42:02 AM,6.00,,
8,05/21/15 06:48:38 AM,7.00,,
9,05/21/15 06:53:30 AM,8.00,,
10,05/21/15 06:58:55 AM,9.00,,
11,05/21/15 07:58:27 AM,10.00,,
12,05/21/15 08:21:32 AM,11.00,,
13,05/21/15 09:08:26 AM,12.00,,
14,05/21/15 10:29:20 AM,13.00,,
15,05/22/15 05:46:27 AM,14.00,,
16,05/22/15 06:23:32 AM,15.00,,
17,05/23/15 04:48:57 AM,16.00,,
18,05/23/15 07:20:28 AM,17.00,,
19,05/25/15 07:47:56 AM,18.00,,
20,05/26/15 01:40:41 AM,19.00,,
21,05/26/15 04:06:54 AM,20.00,,
22,06/01/15 06:04:55 AM,21.00,,
23,06/01/15 07:28:15 AM,22.00,,
24,06/01/15 08:00:40 AM,23.00,,
25,06/10/15 02:39:48 PM,24.00,,
26,06/10/15 02:50:41 PM,25.00,,
27,06/10/15 03:05:02 PM,26.00,,
28,06/10/15 08:27:23 PM,27.00,,
29,07/05/15 07:34:24 AM,28.00,,
30,07/06/15 04:23:15 AM,29.00,,
31,07/07/15 12:43:12 PM,29.00,Logged,Logged
