"Plot Title: UQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Detached (LGR S/N: 10592076, SEN S/N: 10592076)","Host Connected (LGR S/N: 10592076, SEN S/N: 10592076)","Stopped (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
1,03/27/19 12:00:00 PM,57.785,0.00,,,,,
2,03/27/19 12:00:18 PM,,0.01,,,,,
3,03/27/19 12:00:19 PM,,0.02,,,,,
4,03/27/19 12:00:20 PM,,0.03,,,,,
5,03/27/19 12:00:21 PM,,0.04,,,,,
6,03/27/19 12:00:22 PM,,0.05,,,,,
7,03/27/19 12:00:23 PM,,0.06,,,,,
8,03/27/19 12:00:24 PM,,0.07,,,,,
9,03/27/19 12:00:25 PM,,0.08,,,,,
10,03/27/19 12:00:52 PM,,,Logged,,,,
11,03/27/19 12:00:57 PM,,,,Logged,,,
12,03/27/19 12:01:13 PM,,,Logged,,,,
13,03/27/19 12:01:18 PM,,,,,Logged,,
14,03/27/19 12:01:33 PM,,0.08,,,,Logged,Logged
