"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,04/09/13 02:39:41 PM,0.00,,,
2,04/09/13 02:40:00 PM,,Logged,,
3,04/15/13 01:00:31 AM,0.01,,,
4,04/15/13 01:48:27 AM,0.02,,,
5,04/15/13 02:01:52 AM,0.03,,,
6,04/15/13 02:30:18 AM,0.04,,,
7,04/15/13 02:41:47 AM,0.05,,,
8,04/15/13 03:01:55 AM,0.06,,,
9,04/15/13 03:21:08 AM,0.07,,,
10,04/15/13 10:30:48 AM,0.07,,Logged,Logged
