"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668992, SEN S/N: 9668992)","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
113,05/11/11 05:01:52 PM,62.425,2.97,,
114,05/11/11 05:01:53 PM,62.254,2.97,,
115,05/11/11 05:01:54 PM,62.425,2.97,,
116,05/11/11 05:01:55 PM,62.425,2.97,,
117,05/11/11 05:01:56 PM,62.425,2.97,,
118,05/11/11 05:01:57 PM,62.425,2.97,,
119,05/11/11 05:01:58 PM,62.425,2.97,,
120,05/11/11 05:01:59 PM,62.425,2.97,,
121,05/11/11 05:02:00 PM,62.425,2.97,,
122,05/11/11 05:02:01 PM,62.425,2.97,,
123,05/11/11 05:02:02 PM,62.425,2.97,,
124,05/11/11 05:02:03 PM,62.425,2.97,,
125,05/11/11 05:02:04 PM,62.425,2.97,,
126,05/11/11 05:02:05 PM,62.425,2.97,,
127,05/11/11 05:02:06 PM,62.425,2.97,,
128,05/11/11 05:02:07 PM,62.425,2.97,,
129,05/11/11 05:02:08 PM,62.425,2.97,,
130,05/11/11 05:02:09 PM,62.425,2.97,,
131,05/11/11 05:02:10 PM,62.425,2.97,,
132,05/11/11 05:02:11 PM,62.425,2.97,,
133,05/11/11 05:02:12 PM,62.425,2.97,,
134,05/11/11 05:02:13 PM,62.425,2.97,,
135,05/11/11 05:02:14 PM,62.425,2.97,,
136,05/11/11 05:02:15 PM,62.425,2.97,,
137,05/11/11 05:02:16 PM,62.425,2.97,,
138,05/11/11 05:02:17 PM,62.425,2.97,,
139,05/11/11 05:02:18 PM,62.425,2.97,,
140,05/11/11 05:02:19 PM,62.425,2.97,,
141,05/11/11 05:02:20 PM,62.425,2.97,,
142,05/11/11 05:02:21 PM,62.425,2.97,,
143,05/11/11 05:02:22 PM,62.425,2.97,,
144,05/11/11 05:02:23 PM,62.425,2.97,,
145,05/11/11 05:02:24 PM,62.425,2.97,,
146,05/11/11 05:02:25 PM,62.425,2.97,,
147,05/11/11 05:02:26 PM,62.425,2.97,,
148,05/11/11 05:02:27 PM,62.425,2.97,,
149,05/11/11 05:02:28 PM,62.425,2.97,,
150,05/11/11 05:02:29 PM,62.425,2.97,,
151,05/11/11 05:02:30 PM,62.425,2.97,,
152,05/11/11 05:02:31 PM,62.425,2.97,,
153,05/11/11 05:02:32 PM,62.425,2.97,,
154,05/11/11 05:02:33 PM,62.425,2.97,,
