"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592078, SEN S/N: 10592078, LBL: HS)","Coupler Attached (LGR S/N: 10592078, SEN S/N: 10592078)","Stopped (LGR S/N: 10592078, SEN S/N: 10592078)","End Of File (LGR S/N: 10592078, SEN S/N: 10592078)"
1,02/11/15 09:43:55 AM,0.00,,,
2,02/17/15 05:18:56 AM,1.00,,,
3,02/19/15 06:46:39 AM,2.00,,,
4,02/28/15 04:07:01 AM,3.00,,,
5,02/28/15 05:27:41 AM,4.00,,,
6,02/28/15 07:06:29 AM,5.00,,,
7,02/28/15 07:37:01 AM,6.00,,,
8,02/28/15 07:58:23 AM,7.00,,,
9,02/28/15 08:07:31 AM,8.00,,,
10,02/28/15 10:49:47 AM,9.00,,,
11,02/28/15 10:51:30 AM,10.00,,,
12,02/28/15 10:55:13 AM,11.00,,,
13,02/28/15 11:32:41 AM,12.00,,,
14,02/28/15 11:36:53 AM,13.00,,,
15,02/28/15 11:37:44 AM,14.00,,,
16,02/28/15 11:38:30 AM,15.00,,,
17,02/28/15 11:40:40 AM,16.00,,,
18,02/28/15 11:54:38 AM,17.00,,,
19,02/28/15 01:30:51 PM,18.00,,,
20,02/28/15 01:34:47 PM,19.00,,,
21,02/28/15 01:38:13 PM,20.00,,,
22,02/28/15 01:48:38 PM,21.00,,,
23,02/28/15 01:56:23 PM,22.00,,,
24,02/28/15 01:59:25 PM,23.00,,,
25,02/28/15 02:01:37 PM,24.00,,,
26,02/28/15 02:04:21 PM,25.00,,,
27,02/28/15 02:09:34 PM,26.00,,,
28,02/28/15 02:11:56 PM,27.00,,,
29,02/28/15 02:12:40 PM,28.00,,,
30,02/28/15 02:13:18 PM,29.00,,,
31,02/28/15 02:13:54 PM,30.00,,,
32,02/28/15 02:14:15 PM,31.00,,,
33,02/28/15 02:14:45 PM,32.00,,,
34,02/28/15 02:15:19 PM,33.00,,,
35,02/28/15 02:16:09 PM,34.00,,,
36,02/28/15 02:18:01 PM,35.00,,,
37,02/28/15 02:20:22 PM,36.00,,,
38,02/28/15 02:23:25 PM,37.00,,,
39,02/28/15 02:48:55 PM,38.00,,,
40,02/28/15 05:41:42 PM,39.00,,,
41,03/02/15 10:18:35 AM,40.00,,,
42,03/11/15 12:47:00 AM,41.00,,,
43,03/11/15 03:22:30 AM,42.00,,,
44,03/11/15 04:08:16 AM,43.00,,,
45,03/11/15 05:01:55 AM,44.00,,,
46,03/11/15 05:37:17 AM,45.00,,,
47,03/11/15 05:50:13 AM,46.00,,,
48,03/11/15 05:58:36 AM,47.00,,,
49,03/11/15 06:11:13 AM,48.00,,,
50,03/11/15 06:20:36 AM,49.00,,,
51,03/11/15 06:50:33 AM,50.00,,,
52,03/22/15 07:05:53 AM,51.00,,,
53,03/22/15 07:07:29 AM,52.00,,,
54,03/22/15 07:13:13 AM,53.00,,,
55,03/22/15 07:17:29 AM,54.00,,,
56,03/22/15 07:26:48 AM,55.00,,,
57,03/22/15 07:30:17 AM,56.00,,,
58,03/22/15 07:39:11 AM,57.00,,,
59,03/22/15 08:04:55 AM,58.00,,,
60,03/22/15 08:15:57 AM,59.00,,,
61,03/22/15 09:49:28 PM,60.00,,,
62,03/22/15 09:52:33 PM,61.00,,,
63,03/22/15 09:54:41 PM,62.00,,,
64,03/22/15 09:56:31 PM,63.00,,,
65,03/22/15 09:57:59 PM,64.00,,,
66,03/22/15 10:00:37 PM,65.00,,,
67,03/22/15 10:04:13 PM,66.00,,,
68,03/22/15 10:09:48 PM,67.00,,,
69,03/22/15 10:19:25 PM,68.00,,,
70,03/22/15 10:27:23 PM,69.00,,,
71,03/22/15 10:34:09 PM,70.00,,,
72,03/22/15 10:36:11 PM,71.00,,,
73,03/22/15 10:40:30 PM,72.00,,,
74,03/22/15 10:45:36 PM,73.00,,,
75,03/22/15 10:59:38 PM,74.00,,,
76,03/22/15 11:18:23 PM,75.00,,,
77,03/23/15 01:05:44 AM,76.00,,,
78,03/23/15 03:32:50 AM,77.00,,,
79,03/23/15 04:20:20 AM,78.00,,,
80,03/25/15 08:20:30 AM,,Logged,,
81,03/25/15 08:20:34 AM,78.00,,Logged,Logged
