"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,02/16/11 04:37:36 PM,0.00,,,
2,02/16/11 04:37:47 PM,,Logged,,
3,02/16/11 04:59:11 PM,0.01,,,
4,02/22/11 12:17:01 PM,0.01,,Logged,Logged
