"Plot Title: AL"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592075, SEN S/N: 10592075)","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Detached (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Host Connected (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,03/15/16 12:33:34 PM,65.338,0.00,,,,
2,03/15/16 12:33:39 PM,,,Logged,,,
3,03/15/16 01:33:34 PM,67.906,,,,,
4,03/15/16 02:33:34 PM,70.480,,,,,
5,03/15/16 03:33:34 PM,71.512,,,,,
6,03/15/16 04:33:34 PM,77.400,,,,,
7,03/15/16 05:33:34 PM,81.442,,,,,
8,03/15/16 06:33:34 PM,67.221,,,,,
9,03/15/16 07:33:34 PM,55.884,,,,,
10,03/15/16 08:33:34 PM,51.699,,,,,
11,03/15/16 09:33:34 PM,48.517,,,,,
12,03/15/16 10:33:34 PM,47.266,,,,,
13,03/15/16 11:33:34 PM,46.008,,,,,
14,03/16/16 12:33:34 AM,44.560,,,,,
15,03/16/16 01:33:34 AM,44.195,,,,,
16,03/16/16 02:33:34 AM,45.104,,,,,
17,03/16/16 03:33:34 AM,43.648,,,,,
18,03/16/16 04:33:34 AM,43.648,,,,,
19,03/16/16 05:33:34 AM,43.282,,,,,
20,03/16/16 06:33:34 AM,43.282,,,,,
21,03/16/16 07:33:34 AM,43.099,,,,,
22,03/16/16 08:33:34 AM,44.742,,,,,
23,03/16/16 09:33:34 AM,52.050,,,,,
24,03/16/16 10:33:34 AM,68.763,,,,,
25,03/16/16 11:33:34 AM,66.879,,,,,
26,03/16/16 12:33:34 PM,66.193,,,,,
27,03/16/16 01:33:34 PM,69.622,,,,,
28,03/16/16 02:33:34 PM,72.545,,,,,
29,03/16/16 03:33:34 PM,74.098,,,,,
30,03/16/16 04:33:34 PM,79.853,,,,,
31,03/16/16 05:33:34 PM,84.115,,,,,
