"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,07/05/11 10:02:41 AM,0.00000000,,,
2,07/05/11 10:02:46 AM,,Logged,,
3,07/12/11 10:55:58 AM,0.00000000,,Logged,Logged
