"Plot Title: LQC"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Detached (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Attached (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,10/20/14 09:24:43 AM,0.00,,,
2,10/20/14 09:24:45 AM,,Logged,,
3,10/25/14 06:01:44 AM,0.01,,,
4,10/25/14 06:01:45 AM,0.02,,,
5,10/25/14 06:06:36 AM,0.03,,,
6,10/25/14 06:12:46 AM,0.04,,,
7,10/25/14 06:12:47 AM,0.05,,,
8,10/25/14 06:17:07 AM,0.06,,,
9,10/25/14 06:17:08 AM,0.07,,,
10,10/25/14 06:22:38 AM,0.08,,,
11,10/25/14 06:29:44 AM,0.09,,,
12,10/25/14 06:32:43 AM,0.10,,,
13,10/25/14 06:35:31 AM,0.11,,,
14,10/25/14 06:40:13 AM,0.12,,,
15,10/25/14 06:45:29 AM,0.13,,,
16,10/25/14 06:45:30 AM,0.14,,,
17,10/25/14 07:07:34 AM,0.15,,,
18,10/25/14 07:27:09 AM,0.16,,,
19,10/25/14 07:30:09 AM,0.17,,,
20,10/25/14 07:33:17 AM,0.18,,,
21,10/25/14 07:47:06 AM,0.19,,,
22,10/25/14 07:47:07 AM,0.20,,,
23,10/25/14 07:59:06 AM,0.21,,,
24,10/25/14 07:59:07 AM,0.22,,,
25,10/25/14 08:22:32 AM,0.23,,,
26,10/25/14 08:48:50 AM,0.24,,,
27,10/25/14 08:48:51 AM,0.25,,,
28,10/28/14 08:54:10 AM,0.25,,Logged,Logged
