"Plot Title: Landing Rain Gage"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668993, SEN S/N: 9668993)","Event, units (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,05/17/10 10:39:06 AM,3.03,0.00,,,
2,05/17/10 10:54:36 AM,,0.01,,,
3,05/17/10 11:39:06 AM,3.03,,,,
4,05/17/10 12:39:06 PM,3.03,,,,
5,05/17/10 01:39:06 PM,3.03,,,,
6,05/17/10 02:21:18 PM,,0.02,,,
7,05/17/10 02:39:06 PM,3.03,,,,
8,05/17/10 02:49:04 PM,,0.03,,,
9,05/17/10 02:49:05 PM,,0.04,,,
10,05/17/10 03:39:06 PM,3.03,,,,
11,05/17/10 03:46:48 PM,,0.05,,,
12,05/17/10 04:00:03 PM,,0.06,,,
13,05/17/10 04:19:34 PM,,0.07,,,
14,05/17/10 04:32:51 PM,,0.08,,,
15,05/17/10 04:36:17 PM,,0.09,,,
16,05/17/10 04:39:06 PM,3.03,,,,
17,05/17/10 04:42:52 PM,,0.10,,,
18,05/17/10 04:57:05 PM,,0.11,,,
19,05/17/10 05:06:21 PM,,0.12,,,
20,05/17/10 05:12:51 PM,,0.13,,,
21,05/17/10 05:26:02 PM,,0.14,,,
22,05/17/10 05:36:23 PM,,0.15,,,
23,05/17/10 05:39:06 PM,3.03,,,,
24,05/17/10 05:46:46 PM,,0.16,,,
25,05/17/10 05:49:35 PM,,0.17,,,
26,05/17/10 05:53:33 PM,,0.18,,,
27,05/17/10 05:57:21 PM,,0.19,,,
28,05/17/10 06:03:07 PM,,0.20,,,
29,05/17/10 06:16:38 PM,,0.21,,,
30,05/17/10 06:25:56 PM,,0.22,,,
31,05/17/10 06:32:41 PM,,0.23,,,
32,05/17/10 06:39:06 PM,3.03,,,,
33,05/17/10 06:41:50 PM,,0.24,,,
34,05/17/10 07:13:05 PM,,0.25,,,
35,05/17/10 07:39:06 PM,3.03,,,,
36,05/17/10 08:21:26 PM,,0.26,,,
37,05/17/10 08:39:06 PM,3.03,,,,
38,05/17/10 09:39:06 PM,3.03,,,,
39,05/17/10 09:39:36 PM,,0.27,,,
40,05/17/10 10:14:24 PM,,0.28,,,
41,05/17/10 10:20:13 PM,,0.29,,,
42,05/17/10 10:34:16 PM,,0.30,,,
43,05/17/10 10:39:06 PM,3.03,,,,
44,05/17/10 11:39:06 PM,3.03,,,,
45,05/18/10 12:39:06 AM,3.03,,,,
46,05/18/10 01:38:42 AM,,0.31,,,
47,05/18/10 01:39:06 AM,3.03,,,,
48,05/18/10 02:39:06 AM,3.03,,,,
49,05/18/10 03:13:52 AM,,0.32,,,
50,05/18/10 03:13:53 AM,,0.33,,,
51,05/18/10 03:38:12 AM,,0.34,,,
52,05/18/10 03:39:06 AM,3.03,,,,
53,05/18/10 04:39:06 AM,3.03,,,,
54,05/18/10 05:39:06 AM,3.03,,,,
55,05/18/10 06:39:06 AM,3.03,,,,
56,05/18/10 07:39:06 AM,3.03,,,,
57,05/18/10 08:39:06 AM,3.03,,,,
58,05/18/10 09:39:06 AM,3.03,,,,
59,05/18/10 10:39:06 AM,3.03,,,,
60,05/18/10 11:16:20 AM,,,Logged,,
61,05/18/10 11:16:23 AM,,0.34,,Logged,Logged
