"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,03/25/15 10:27:39 AM,0.00,,,
2,04/05/15 09:00:22 AM,1.00,,,
3,04/05/15 09:03:46 AM,2.00,,,
4,04/05/15 09:06:16 AM,3.00,,,
5,04/05/15 09:10:00 AM,4.00,,,
6,04/07/15 01:20:36 AM,5.00,,,
7,04/07/15 01:41:41 AM,6.00,,,
8,04/07/15 01:55:51 AM,7.00,,,
9,04/07/15 02:02:38 AM,8.00,,,
10,04/07/15 02:08:20 AM,9.00,,,
11,04/07/15 02:12:31 AM,10.00,,,
12,04/07/15 02:15:14 AM,11.00,,,
13,04/07/15 02:17:43 AM,12.00,,,
14,04/07/15 02:20:42 AM,13.00,,,
15,04/07/15 02:23:20 AM,14.00,,,
16,04/07/15 02:26:14 AM,15.00,,,
17,04/07/15 02:28:35 AM,16.00,,,
18,04/07/15 02:30:38 AM,17.00,,,
19,04/07/15 02:31:41 AM,18.00,,,
20,04/07/15 02:32:44 AM,19.00,,,
21,04/07/15 02:35:14 AM,20.00,,,
22,04/07/15 02:38:37 AM,21.00,,,
23,04/07/15 02:41:17 AM,22.00,,,
24,04/07/15 02:44:12 AM,23.00,,,
25,04/07/15 02:45:17 AM,24.00,,,
26,04/07/15 02:46:30 AM,25.00,,,
27,04/07/15 02:48:22 AM,26.00,,,
28,04/07/15 02:50:02 AM,27.00,,,
29,04/07/15 02:52:28 AM,28.00,,,
30,04/07/15 02:55:22 AM,29.00,,,
31,04/07/15 02:57:22 AM,30.00,,,
32,04/07/15 02:59:44 AM,31.00,,,
33,04/07/15 03:01:32 AM,32.00,,,
34,04/07/15 03:03:43 AM,33.00,,,
35,04/07/15 03:05:51 AM,34.00,,,
36,04/07/15 03:06:49 AM,35.00,,,
37,04/07/15 03:08:01 AM,36.00,,,
38,04/07/15 03:09:44 AM,37.00,,,
39,04/07/15 03:10:58 AM,38.00,,,
40,04/07/15 03:12:14 AM,39.00,,,
41,04/07/15 03:13:45 AM,40.00,,,
42,04/07/15 03:15:17 AM,41.00,,,
43,04/07/15 03:18:26 AM,42.00,,,
44,04/07/15 03:20:47 AM,43.00,,,
45,04/07/15 03:21:53 AM,44.00,,,
46,04/07/15 03:22:51 AM,45.00,,,
47,04/07/15 03:23:51 AM,46.00,,,
48,04/07/15 03:25:13 AM,47.00,,,
49,04/07/15 03:26:48 AM,48.00,,,
50,04/07/15 03:28:51 AM,49.00,,,
51,04/07/15 03:34:11 AM,50.00,,,
52,04/07/15 03:43:50 AM,51.00,,,
53,04/07/15 03:46:30 AM,52.00,,,
54,04/07/15 03:51:19 AM,53.00,,,
55,04/07/15 03:54:13 AM,54.00,,,
56,04/07/15 03:56:51 AM,55.00,,,
57,04/07/15 04:00:46 AM,56.00,,,
58,04/07/15 04:01:48 AM,57.00,,,
59,04/07/15 04:03:08 AM,58.00,,,
60,04/07/15 04:04:29 AM,59.00,,,
61,04/07/15 04:05:15 AM,60.00,,,
62,04/07/15 04:05:49 AM,61.00,,,
63,04/07/15 04:06:20 AM,62.00,,,
64,04/07/15 04:06:47 AM,63.00,,,
65,04/07/15 04:07:25 AM,64.00,,,
66,04/07/15 04:08:43 AM,65.00,,,
67,04/07/15 04:09:59 AM,66.00,,,
68,04/07/15 04:11:05 AM,67.00,,,
69,04/07/15 04:12:51 AM,68.00,,,
70,04/07/15 04:14:38 AM,69.00,,,
71,04/07/15 04:16:11 AM,70.00,,,
72,04/07/15 04:18:23 AM,71.00,,,
73,04/07/15 04:22:10 AM,72.00,,,
74,04/07/15 04:25:35 AM,73.00,,,
75,04/07/15 04:28:54 AM,74.00,,,
76,04/07/15 04:32:35 AM,75.00,,,
77,04/07/15 04:34:32 AM,76.00,,,
78,04/07/15 04:36:48 AM,77.00,,,
79,04/07/15 04:38:19 AM,78.00,,,
80,04/07/15 04:39:55 AM,79.00,,,
81,04/07/15 04:41:05 AM,80.00,,,
82,04/07/15 04:43:27 AM,81.00,,,
83,04/07/15 04:46:17 AM,82.00,,,
84,04/07/15 04:49:33 AM,83.00,,,
85,04/07/15 06:52:20 AM,84.00,,,
86,04/08/15 04:32:50 AM,85.00,,,
87,04/08/15 04:37:45 AM,86.00,,,
88,04/21/15 09:58:22 PM,87.00,,,
89,04/21/15 11:47:50 PM,88.00,,,
90,04/22/15 12:54:28 AM,89.00,,,
91,04/22/15 03:36:28 AM,90.00,,,
92,04/22/15 06:04:58 AM,91.00,,,
93,04/24/15 10:12:37 PM,92.00,,,
94,04/24/15 10:19:05 PM,93.00,,,
95,04/24/15 10:23:16 PM,94.00,,,
96,04/24/15 10:30:33 PM,95.00,,,
97,04/24/15 10:45:32 PM,96.00,,,
98,04/24/15 10:54:43 PM,97.00,,,
99,04/24/15 11:03:31 PM,98.00,,,
100,04/24/15 11:10:43 PM,99.00,,,
101,04/24/15 11:21:02 PM,100.00,,,
102,04/24/15 11:25:13 PM,101.00,,,
103,04/24/15 11:28:57 PM,102.00,,,
104,04/24/15 11:33:59 PM,103.00,,,
105,04/24/15 11:44:54 PM,104.00,,,
106,04/24/15 11:51:26 PM,105.00,,,
107,04/24/15 11:57:20 PM,106.00,,,
108,04/25/15 12:03:24 AM,107.00,,,
109,04/25/15 12:11:41 AM,108.00,,,
110,04/25/15 12:17:45 AM,109.00,,,
111,04/25/15 12:23:09 AM,110.00,,,
112,04/25/15 12:28:09 AM,111.00,,,
113,04/25/15 12:29:54 AM,112.00,,,
114,04/25/15 12:34:18 AM,113.00,,,
115,04/25/15 12:36:35 AM,114.00,,,
116,04/25/15 12:39:06 AM,115.00,,,
117,04/25/15 12:43:14 AM,116.00,,,
118,04/25/15 12:47:56 AM,117.00,,,
119,04/25/15 12:51:44 AM,118.00,,,
120,04/25/15 12:54:11 AM,119.00,,,
121,04/25/15 12:56:32 AM,120.00,,,
122,04/25/15 12:58:14 AM,121.00,,,
123,04/25/15 01:03:38 AM,122.00,,,
124,04/25/15 01:07:04 AM,123.00,,,
125,04/25/15 01:09:15 AM,124.00,,,
126,04/25/15 01:11:59 AM,125.00,,,
127,04/25/15 01:14:10 AM,126.00,,,
128,04/25/15 01:18:49 AM,127.00,,,
129,04/25/15 01:26:19 AM,128.00,,,
130,04/25/15 01:30:19 AM,129.00,,,
131,04/25/15 01:33:23 AM,130.00,,,
132,04/25/15 01:35:47 AM,131.00,,,
133,04/25/15 01:38:47 AM,132.00,,,
134,04/25/15 01:42:09 AM,133.00,,,
135,04/25/15 01:43:51 AM,134.00,,,
136,04/25/15 01:44:37 AM,135.00,,,
137,04/25/15 01:45:09 AM,136.00,,,
138,04/25/15 01:45:51 AM,137.00,,,
139,04/25/15 01:46:25 AM,138.00,,,
140,04/25/15 01:47:49 AM,139.00,,,
141,04/25/15 01:50:39 AM,140.00,,,
142,04/25/15 01:51:56 AM,141.00,,,
143,04/25/15 01:53:36 AM,142.00,,,
144,04/25/15 01:56:51 AM,143.00,,,
145,04/25/15 01:59:52 AM,144.00,,,
146,04/25/15 02:01:34 AM,145.00,,,
147,04/25/15 02:03:05 AM,146.00,,,
148,04/25/15 02:04:57 AM,147.00,,,
149,04/25/15 02:06:36 AM,148.00,,,
150,04/25/15 02:08:02 AM,149.00,,,
151,04/25/15 02:09:43 AM,150.00,,,
152,04/25/15 02:13:04 AM,151.00,,,
153,04/25/15 02:15:36 AM,152.00,,,
154,04/25/15 02:19:14 AM,153.00,,,
155,04/25/15 02:21:09 AM,154.00,,,
