"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668992, SEN S/N: 9668992)","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,05/24/11 02:25:44 PM,65.680,2.97,0.00,,
2,05/24/11 02:25:45 PM,65.680,2.97,,,
3,05/24/11 02:25:46 PM,65.851,2.99,,Logged,
4,05/24/11 02:25:47 PM,65.851,2.99,,,
5,05/24/11 02:25:48 PM,65.851,2.99,,,
6,05/24/11 02:25:49 PM,65.851,2.99,,,
7,05/24/11 02:25:50 PM,66.022,2.99,,,
8,05/24/11 02:25:51 PM,66.022,2.99,,,
9,05/24/11 02:25:52 PM,66.193,2.99,,,
10,05/24/11 02:25:53 PM,66.193,2.99,,,
11,05/24/11 02:25:54 PM,66.193,2.99,,,
12,05/24/11 02:25:55 PM,66.193,2.99,,,
13,05/24/11 02:25:56 PM,66.193,2.99,,,
14,05/24/11 02:25:57 PM,66.193,2.99,,,
15,05/24/11 02:25:58 PM,66.366,2.99,,,
16,05/24/11 02:25:59 PM,66.366,2.99,,,
17,05/24/11 02:26:00 PM,66.366,2.99,,,
18,05/24/11 02:26:01 PM,66.366,2.99,,,
19,05/24/11 02:26:02 PM,66.366,2.99,,,
20,05/24/11 02:26:03 PM,66.366,2.99,,,
21,05/24/11 02:26:04 PM,66.366,2.99,,,
22,05/24/11 02:26:05 PM,66.537,2.99,,,
23,05/24/11 02:26:06 PM,66.537,2.99,,,
24,05/24/11 02:26:07 PM,66.537,2.99,,,
25,05/24/11 02:26:08 PM,66.537,2.99,,,
26,05/24/11 02:26:09 PM,66.537,2.99,,,
27,05/24/11 02:26:10 PM,66.537,2.99,,,
28,05/24/11 02:26:11 PM,66.537,2.99,,,
29,05/24/11 02:26:12 PM,66.537,2.99,,,
30,05/24/11 02:26:13 PM,66.537,2.99,,,
31,05/24/11 02:26:14 PM,66.537,2.99,,,
32,05/24/11 02:26:15 PM,66.537,2.99,,,
33,05/24/11 02:26:16 PM,66.537,2.99,,,
34,05/24/11 02:26:17 PM,66.708,2.99,,,
35,05/24/11 02:26:18 PM,66.708,2.99,,,
36,05/24/11 02:26:19 PM,66.708,2.99,,,
37,05/24/11 02:26:20 PM,66.708,2.99,,,
38,05/24/11 02:26:21 PM,66.708,2.99,,,
39,05/24/11 02:26:22 PM,66.708,2.99,,,
40,05/24/11 02:26:23 PM,66.708,2.99,,,
41,05/24/11 02:26:24 PM,66.708,2.99,,,
42,05/24/11 02:26:25 PM,66.708,2.99,,,
43,05/24/11 02:26:26 PM,66.708,2.99,,,
44,05/24/11 02:26:27 PM,66.708,2.99,,,
45,05/24/11 02:26:28 PM,66.708,2.99,,,
46,05/24/11 02:26:29 PM,66.879,2.99,,,
47,05/24/11 02:26:30 PM,66.708,2.99,,,
48,05/24/11 02:26:31 PM,66.879,2.99,,,
49,05/24/11 02:26:32 PM,66.879,2.99,,,
50,05/24/11 02:26:33 PM,66.879,2.99,,,
51,05/24/11 02:26:34 PM,66.879,2.99,,,
52,05/24/11 02:26:35 PM,66.879,2.99,,,
53,05/24/11 02:26:36 PM,66.879,2.99,,,
54,05/24/11 02:26:37 PM,66.879,2.99,,,
55,05/24/11 02:26:38 PM,66.879,2.99,,,
56,05/24/11 02:26:39 PM,66.879,2.99,,,
57,05/24/11 02:26:40 PM,66.879,2.99,,,
58,05/24/11 02:26:41 PM,66.879,2.99,,,
59,05/24/11 02:26:42 PM,66.879,2.99,,,
60,05/24/11 02:26:43 PM,66.879,2.99,,,
61,05/24/11 02:26:44 PM,66.879,2.99,,,
62,05/24/11 02:26:45 PM,66.879,2.99,,,
63,05/24/11 02:26:46 PM,66.879,2.99,,,
64,05/24/11 02:26:47 PM,66.879,2.99,,,
65,05/24/11 02:26:48 PM,66.879,2.99,,,
66,05/24/11 02:26:49 PM,66.879,2.99,,,
67,05/24/11 02:26:50 PM,67.050,2.99,,,
68,05/24/11 02:26:51 PM,66.879,2.99,,,
69,05/24/11 02:26:52 PM,66.879,2.99,,,
70,05/24/11 02:26:53 PM,66.879,2.99,,,
71,05/24/11 02:26:54 PM,66.879,2.99,,,
72,05/24/11 02:26:55 PM,66.879,2.99,,,
73,05/24/11 02:26:56 PM,66.879,2.99,,,
