"Plot Title: RLSM"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592084, SEN S/N: 10592084, LBL: RLSM)","Started (LGR S/N: 10592084, SEN S/N: 10592084)","Coupler Attached (LGR S/N: 10592084, SEN S/N: 10592084)","End Of File (LGR S/N: 10592084, SEN S/N: 10592084)"
1,09/08/15 01:22:33 PM,0.0,Logged,,
2,09/14/15 10:31:41 AM,0.1,,,
3,09/14/15 01:50:10 PM,0.2,,,
4,09/14/15 02:40:23 PM,0.3,,,
5,09/14/15 03:39:05 PM,0.4,,,
6,09/14/15 10:41:14 PM,0.5,,,
7,09/14/15 11:38:55 PM,0.6,,,
8,09/15/15 10:51:32 AM,0.6,,Logged,Logged
