"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,02/04/13 02:33:24 PM,0.00,,,
2,02/04/13 02:33:32 PM,,Logged,,
3,02/07/13 11:24:11 AM,0.01,,,
4,02/07/13 11:29:54 AM,0.02,,,
5,02/07/13 11:29:55 AM,0.03,,,
6,02/07/13 11:39:26 AM,0.04,,,
7,02/07/13 09:13:32 PM,0.05,,,
8,02/07/13 09:20:33 PM,0.06,,,
9,02/07/13 09:51:27 PM,0.07,,,
10,02/07/13 09:52:42 PM,0.08,,,
11,02/07/13 09:54:38 PM,0.09,,,
12,02/07/13 09:56:26 PM,0.10,,,
13,02/07/13 09:56:27 PM,0.11,,,
14,02/07/13 10:00:18 PM,0.12,,,
15,02/07/13 10:55:45 PM,0.13,,,
16,02/07/13 10:55:46 PM,0.14,,,
17,02/07/13 11:11:54 PM,0.15,,,
18,02/07/13 11:16:31 PM,0.16,,,
19,02/07/13 11:20:02 PM,0.17,,,
20,02/07/13 11:20:03 PM,0.18,,,
21,02/07/13 11:33:14 PM,0.19,,,
22,02/08/13 02:29:35 AM,0.20,,,
23,02/08/13 02:29:36 AM,0.21,,,
24,02/08/13 02:36:16 AM,0.22,,,
25,02/08/13 02:39:11 AM,0.23,,,
26,02/08/13 02:46:01 AM,0.24,,,
27,02/08/13 02:55:55 AM,0.25,,,
28,02/08/13 02:55:56 AM,0.26,,,
29,02/08/13 03:02:09 AM,0.27,,,
30,02/08/13 03:14:48 AM,0.28,,,
31,02/08/13 03:24:54 AM,0.29,,,
32,02/08/13 03:34:53 AM,0.30,,,
33,02/08/13 03:39:30 AM,0.31,,,
34,02/08/13 03:49:02 AM,0.32,,,
35,02/08/13 04:02:58 AM,0.33,,,
36,02/08/13 04:38:59 AM,0.34,,,
37,02/08/13 05:18:07 AM,0.35,,,
38,02/08/13 06:23:33 AM,0.36,,,
39,02/11/13 11:04:57 AM,0.36,,Logged,Logged
