"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Bad Battery (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Good Battery (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,07/02/13 03:27:28 PM,0.00,,,,,
2,07/02/13 03:27:36 PM,,Logged,,,,
3,07/09/13 04:57:29 PM,,,Logged,,,
4,07/15/13 10:45:29 AM,,,,Logged,,
5,07/15/13 10:46:16 AM,,Logged,,,,
6,07/16/13 04:07:32 AM,0.01,,,,,
7,07/16/13 06:01:08 AM,0.02,,,,,
8,07/16/13 07:12:57 AM,0.03,,,,,
9,07/22/13 02:54:41 PM,,,,Logged,,
10,07/22/13 02:55:08 PM,,Logged,,,,
11,07/22/13 02:55:10 PM,,,,Logged,,
12,07/22/13 02:55:18 PM,,Logged,,,,
13,07/22/13 02:55:25 PM,,,,Logged,,
14,07/22/13 02:55:30 PM,,Logged,,,,
15,07/22/13 02:55:36 PM,,,,Logged,,
16,07/22/13 02:55:42 PM,,Logged,,,,
17,07/22/13 02:55:52 PM,,,,Logged,,
18,07/22/13 02:56:00 PM,,Logged,,,Logged,
19,07/22/13 02:56:57 PM,,,,Logged,,
20,07/22/13 02:57:06 PM,,Logged,,,,
21,07/22/13 02:57:09 PM,,,,Logged,,
22,07/22/13 02:57:17 PM,,Logged,,,,
23,07/29/13 12:23:30 PM,,,,Logged,,
24,07/29/13 12:24:03 PM,,Logged,,,,
25,07/29/13 12:24:05 PM,,,,Logged,,
26,07/29/13 12:24:18 PM,,Logged,,,,
27,07/29/13 12:24:26 PM,,,,Logged,,
28,07/29/13 12:24:38 PM,,Logged,,,,
29,08/07/13 05:00:47 AM,0.04,,,,,
30,08/12/13 10:51:06 AM,0.04,,,Logged,,Logged
