"Plot Title: RLSF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,10/07/14 10:02:46 AM,0.00,,
2,10/14/14 11:57:01 AM,0.00,Logged,Logged
