"Plot Title: RLSM_2"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM_2)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","Coupler Attached (LGR S/N: 10592079, SEN S/N: 10592079)","Host Connected (LGR S/N: 10592079, SEN S/N: 10592079)","Stopped (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
1,01/28/16 01:13:36 PM,69.278,0.00,,,,,
2,01/28/16 01:13:40 PM,,,Logged,,,,
3,01/28/16 01:28:36 PM,67.735,,,,,,
4,01/28/16 01:43:36 PM,68.248,,,,,,
5,01/28/16 01:58:36 PM,69.278,,,,,,
6,01/28/16 02:13:36 PM,68.077,,,,,,
7,01/28/16 02:28:36 PM,67.564,,,,,,
8,01/28/16 02:43:36 PM,67.735,,,,,,
9,01/28/16 02:58:36 PM,67.050,,,,,,
10,01/28/16 03:13:36 PM,66.193,,,,,,
11,01/28/16 03:28:36 PM,64.996,,,,,,
12,01/28/16 03:43:36 PM,62.940,,,,,,
13,01/28/16 03:58:36 PM,62.940,,,,,,
14,01/28/16 04:13:36 PM,62.769,,,,,,
15,01/28/16 04:28:36 PM,61.912,,,,,,
16,01/28/16 04:43:36 PM,60.883,,,,,,
17,01/28/16 04:58:36 PM,59.164,,,,,,
18,01/28/16 05:13:36 PM,57.785,,,,,,
19,01/28/16 05:28:36 PM,56.923,,,,,,
20,01/28/16 05:43:36 PM,56.230,,,,,,
21,01/28/16 05:58:36 PM,55.711,,,,,,
22,01/28/16 06:13:36 PM,55.364,,,,,,
23,01/28/16 06:28:36 PM,55.364,,,,,,
24,01/28/16 06:43:36 PM,55.537,,,,,,
25,01/28/16 06:58:36 PM,55.711,,,,,,
26,01/28/16 07:13:36 PM,55.711,,,,,,
27,01/28/16 07:28:36 PM,55.711,,,,,,
28,01/28/16 07:43:36 PM,55.537,,,,,,
29,01/28/16 07:58:36 PM,55.537,,,,,,
30,01/28/16 08:13:36 PM,55.364,,,,,,
31,01/28/16 08:28:36 PM,54.842,,,,,,
32,01/28/16 08:43:36 PM,53.973,,,,,,
33,01/28/16 08:58:36 PM,53.449,,,,,,
34,01/28/16 09:13:36 PM,53.623,,,,,,
35,01/28/16 09:28:36 PM,53.798,,,,,,
36,01/28/16 09:43:36 PM,53.798,,,,,,
37,01/28/16 09:58:36 PM,53.798,,,,,,
38,01/28/16 10:13:36 PM,53.798,,,,,,
39,01/28/16 10:28:36 PM,53.973,,,,,,
40,01/28/16 10:43:36 PM,53.973,,,,,,
41,01/28/16 10:58:36 PM,54.147,,,,,,
42,01/28/16 11:13:36 PM,54.147,,,,,,
