"Plot Title: Als"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309221, SEN S/N: 20309221)","Event, units (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Attached (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Detached (LGR S/N: 20309221, SEN S/N: 20309221)","Host Connected (LGR S/N: 20309221, SEN S/N: 20309221)","Stopped (LGR S/N: 20309221, SEN S/N: 20309221)","End Of File (LGR S/N: 20309221, SEN S/N: 20309221)"
1,01/20/19 12:00:00 PM,56.404,0.00,,,,,
2,01/20/19 01:00:00 PM,56.923,,,,,,
3,01/20/19 02:00:00 PM,55.537,,,,,,
4,01/20/19 03:00:00 PM,55.364,,,,,,
5,01/20/19 04:00:00 PM,57.614,,,,,,
6,01/20/19 05:00:00 PM,53.274,,,,,,
7,01/20/19 05:55:06 PM,,0.01,,,,,
8,01/20/19 05:58:45 PM,,0.02,,,,,
9,01/20/19 06:00:00 PM,52.050,,,,,,
10,01/20/19 06:00:36 PM,,0.03,,,,,
11,01/20/19 06:28:06 PM,,0.04,,,,,
12,01/20/19 06:44:02 PM,,0.05,,,,,
13,01/20/19 06:50:14 PM,,0.06,,,,,
14,01/20/19 07:00:00 PM,47.624,,,,,,
15,01/20/19 07:03:54 PM,,0.07,,,,,
16,01/20/19 07:08:46 PM,,0.08,,,,,
17,01/20/19 07:55:45 PM,,0.09,,,,,
18,01/20/19 08:00:00 PM,46.908,,,,,,
19,01/20/19 09:00:00 PM,47.446,,,,,,
20,01/20/19 10:00:00 PM,47.446,,,,,,
21,01/20/19 11:00:00 PM,46.008,,,,,,
22,01/21/19 12:00:00 AM,46.728,,,,,,
23,01/21/19 01:00:00 AM,46.908,,,,,,
24,01/21/19 01:16:17 AM,,0.10,,,,,
25,01/21/19 02:00:00 AM,46.728,,,,,,
26,01/21/19 03:00:00 AM,46.008,,,,,,
27,01/21/19 03:07:38 AM,,0.11,,,,,
28,01/21/19 03:08:53 AM,,0.12,,,,,
29,01/21/19 03:09:39 AM,,0.13,,,,,
30,01/21/19 03:12:01 AM,,0.14,,,,,
31,01/21/19 04:00:00 AM,44.742,,,,,,
32,01/21/19 04:36:08 AM,,0.15,,,,,
33,01/21/19 04:38:00 AM,,0.16,,,,,
34,01/21/19 05:00:00 AM,44.195,,,,,,
35,01/21/19 05:34:13 AM,,0.17,,,,,
36,01/21/19 06:00:00 AM,43.648,,,,,,
37,01/21/19 07:00:00 AM,42.732,,,,,,
38,01/21/19 08:00:00 AM,42.732,,,,,,
