"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,11/06/12 04:51:02 PM,0.00,,,
2,11/06/12 04:51:09 PM,,Logged,,
3,11/08/12 02:14:16 PM,0.01,,,
4,11/08/12 02:14:49 PM,0.02,,,
5,11/08/12 02:15:38 PM,0.03,,,
6,11/08/12 02:15:39 PM,0.04,,,
7,11/08/12 02:16:25 PM,0.05,,,
8,11/08/12 02:17:51 PM,0.06,,,
9,11/08/12 02:18:52 PM,0.07,,,
10,11/08/12 02:20:31 PM,0.08,,,
11,11/08/12 02:35:23 PM,0.09,,,
12,11/08/12 03:55:21 PM,0.10,,,
13,11/08/12 04:46:25 PM,0.11,,,
14,11/08/12 05:13:30 PM,0.12,,,
15,11/08/12 05:55:57 PM,0.13,,,
16,11/08/12 08:50:57 PM,0.14,,,
17,11/08/12 09:36:15 PM,0.15,,,
18,11/09/12 01:30:32 AM,0.16,,,
19,11/09/12 02:56:43 AM,0.17,,,
20,11/09/12 05:11:27 AM,0.18,,,
21,11/09/12 05:14:10 AM,0.19,,,
22,11/09/12 05:20:30 AM,0.20,,,
23,11/09/12 07:43:17 AM,0.21,,,
24,11/14/12 04:24:09 PM,0.21,,Logged,Logged
