"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Host Connected (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,01/14/16 03:34:25 PM,0.00,,,
2,01/14/16 04:06:58 PM,0.01,,,
3,01/14/16 04:35:09 PM,0.02,,,
4,01/14/16 04:44:25 PM,0.03,,,
5,01/14/16 04:49:28 PM,0.04,,,
6,01/14/16 04:56:49 PM,0.05,,,
7,01/14/16 05:09:43 PM,0.06,,,
8,01/14/16 05:28:23 PM,0.07,,,
9,01/14/16 06:02:10 PM,0.08,,,
10,01/14/16 06:14:15 PM,0.09,,,
11,01/14/16 06:25:23 PM,0.10,,,
12,01/14/16 06:36:41 PM,0.11,,,
13,01/14/16 06:48:12 PM,0.12,,,
14,01/14/16 06:53:02 PM,0.13,,,
15,01/14/16 07:06:20 PM,0.14,,,
16,01/14/16 07:28:58 PM,0.15,,,
17,01/14/16 07:42:38 PM,0.16,,,
18,01/14/16 07:45:07 PM,0.17,,,
19,01/14/16 07:48:35 PM,0.18,,,
20,01/14/16 07:51:36 PM,0.19,,,
21,01/14/16 07:58:11 PM,0.20,,,
22,01/14/16 08:02:56 PM,0.21,,,
23,01/14/16 08:07:04 PM,0.22,,,
24,01/14/16 08:18:07 PM,0.23,,,
25,01/14/16 08:28:23 PM,0.24,,,
26,01/14/16 08:42:01 PM,0.25,,,
27,01/14/16 08:50:26 PM,0.26,,,
28,01/14/16 08:54:13 PM,0.27,,,
29,01/14/16 09:00:19 PM,0.28,,,
30,01/14/16 09:05:11 PM,0.29,,,
31,01/14/16 09:09:55 PM,0.30,,,
32,01/14/16 09:15:51 PM,0.31,,,
33,01/14/16 09:20:48 PM,0.32,,,
34,01/14/16 09:24:34 PM,0.33,,,
35,01/14/16 09:29:19 PM,0.34,,,
36,01/14/16 09:33:12 PM,0.35,,,
37,01/14/16 09:38:30 PM,0.36,,,
38,01/14/16 09:43:43 PM,0.37,,,
39,01/14/16 09:47:25 PM,0.38,,,
40,01/14/16 09:52:06 PM,0.39,,,
41,01/14/16 09:57:40 PM,0.40,,,
42,01/14/16 10:00:37 PM,0.41,,,
43,01/14/16 10:08:44 PM,0.42,,,
44,01/14/16 10:12:16 PM,0.43,,,
45,01/14/16 10:14:42 PM,0.44,,,
46,01/14/16 10:17:18 PM,0.45,,,
47,01/14/16 10:31:19 PM,0.46,,,
48,01/14/16 10:35:57 PM,0.47,,,
49,01/14/16 10:44:28 PM,0.48,,,
50,01/14/16 11:11:36 PM,0.49,,,
51,01/14/16 11:14:40 PM,0.50,,,
52,01/14/16 11:16:07 PM,0.51,,,
53,01/14/16 11:18:52 PM,0.52,,,
54,01/14/16 11:34:31 PM,0.53,,,
55,01/14/16 11:43:03 PM,0.54,,,
56,01/15/16 12:27:59 AM,0.55,,,
57,01/15/16 10:35:54 PM,0.56,,,
58,01/15/16 10:39:16 PM,0.57,,,
59,01/15/16 10:52:17 PM,0.58,,,
60,01/15/16 11:02:55 PM,0.59,,,
61,01/15/16 11:11:12 PM,0.60,,,
62,01/15/16 11:26:00 PM,0.61,,,
63,01/15/16 11:46:43 PM,0.62,,,
64,01/16/16 01:02:35 AM,0.63,,,
65,01/16/16 01:30:39 AM,0.64,,,
66,01/16/16 01:57:13 AM,0.65,,,
67,01/16/16 02:09:48 AM,0.66,,,
68,01/16/16 02:12:39 AM,0.67,,,
69,01/16/16 02:22:27 AM,0.68,,,
70,01/16/16 05:19:33 AM,0.69,,,
71,01/16/16 05:59:03 AM,0.70,,,
72,01/16/16 08:25:40 AM,0.71,,,
73,01/16/16 11:33:53 AM,0.72,,,
74,01/16/16 11:47:29 AM,0.73,,,
75,01/16/16 11:50:59 AM,0.74,,,
76,01/16/16 11:57:53 AM,0.75,,,
77,01/16/16 12:07:58 PM,0.76,,,
78,01/16/16 12:15:20 PM,0.77,,,
79,01/16/16 12:32:33 PM,0.78,,,
80,01/16/16 12:38:09 PM,0.79,,,
81,01/16/16 12:54:46 PM,0.80,,,
82,01/16/16 01:05:08 PM,0.81,,,
83,01/16/16 01:41:21 PM,0.82,,,
84,01/16/16 03:04:30 PM,0.83,,,
85,01/16/16 03:08:38 PM,0.84,,,
86,01/16/16 03:13:06 PM,0.85,,,
87,01/16/16 03:16:21 PM,0.86,,,
88,01/16/16 03:18:11 PM,0.87,,,
89,01/16/16 03:21:59 PM,0.88,,,
90,01/16/16 03:23:44 PM,0.89,,,
91,01/16/16 03:39:46 PM,0.90,,,
92,01/16/16 08:30:12 PM,0.91,,,
93,01/17/16 10:26:53 AM,0.92,,,
94,01/17/16 10:47:21 AM,0.93,,,
95,01/17/16 10:51:32 AM,0.94,,,
96,01/17/16 11:24:41 AM,0.95,,,
97,01/17/16 12:31:38 PM,0.96,,,
98,01/17/16 01:57:02 PM,0.97,,,
99,01/17/16 02:06:05 PM,0.98,,,
100,01/17/16 02:25:35 PM,0.99,,,
101,01/17/16 02:31:55 PM,1.00,,,
102,01/17/16 03:03:04 PM,1.01,,,
103,01/17/16 04:16:37 PM,1.02,,,
104,01/17/16 04:43:52 PM,1.03,,,
105,01/17/16 04:46:29 PM,1.04,,,
106,01/17/16 04:48:22 PM,1.05,,,
