"Plot Title: SF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592086, SEN S/N: 10592086)","Event, units (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","Host Connected (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,01/19/19 11:00:00 AM,74.446,0.00,,,
2,01/19/19 12:00:00 PM,74.791,,,,
3,01/19/19 01:00:00 PM,75.659,,,,
4,01/19/19 02:00:00 PM,75.139,,,,
5,01/19/19 03:00:00 PM,69.793,,,,
6,01/19/19 04:00:00 PM,66.193,,,,
7,01/19/19 05:00:00 PM,60.368,,,,
8,01/19/19 06:00:00 PM,56.404,,,,
9,01/19/19 07:00:00 PM,56.057,,,,
10,01/19/19 08:00:00 PM,53.274,,,,
11,01/19/19 09:00:00 PM,53.449,,,,
12,01/19/19 10:00:00 PM,52.050,,,,
13,01/19/19 11:00:00 PM,51.699,,,,
14,01/20/19 12:00:00 AM,51.699,,,,
15,01/20/19 01:00:00 AM,51.874,,,,
16,01/20/19 02:00:00 AM,52.401,,,,
17,01/20/19 03:00:00 AM,53.449,,,,
18,01/20/19 04:00:00 AM,52.750,,,,
19,01/20/19 05:00:00 AM,53.449,,,,
20,01/20/19 05:29:38 AM,,0.01,,,
21,01/20/19 06:00:00 AM,53.274,,,,
22,01/20/19 06:18:47 AM,,0.02,,,
23,01/20/19 06:34:15 AM,,0.03,,,
24,01/20/19 07:00:00 AM,52.750,,,,
25,01/20/19 07:21:25 AM,,0.04,,,
26,01/20/19 08:00:00 AM,52.750,,,,
27,01/20/19 08:26:22 AM,,0.05,,,
28,01/20/19 09:00:00 AM,52.750,,,,
29,01/20/19 09:18:56 AM,,0.06,,,
30,01/20/19 09:27:50 AM,,0.07,,,
31,01/20/19 09:31:33 AM,,0.08,,,
32,01/20/19 09:46:52 AM,,0.09,,,
33,01/20/19 10:00:00 AM,53.798,,,,
34,01/20/19 10:00:40 AM,,0.10,,,
35,01/20/19 10:08:45 AM,,0.11,,,
36,01/20/19 10:24:51 AM,,0.12,,,
37,01/20/19 10:49:11 AM,,0.13,,,
38,01/20/19 11:00:00 AM,54.842,,,,
39,01/20/19 11:23:51 AM,,0.14,,,
40,01/20/19 11:29:52 AM,,0.15,,,
41,01/20/19 11:35:19 AM,,0.16,,,
42,01/20/19 11:43:25 AM,,0.17,,,
43,01/20/19 11:55:07 AM,,0.18,,,
44,01/20/19 11:59:19 AM,,0.19,,,
45,01/20/19 12:00:00 PM,55.364,,,,
46,01/20/19 12:07:22 PM,,0.20,,,
47,01/20/19 12:13:26 PM,,0.21,,,
48,01/20/19 12:13:27 PM,,0.22,,,
49,01/20/19 12:50:38 PM,,0.23,,,
50,01/20/19 01:00:00 PM,55.189,,,,
51,01/20/19 02:00:00 PM,53.100,,,,
