"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,10/28/14 12:24:00 PM,0.00,,,
2,10/31/14 10:19:25 AM,0.01,,,
3,10/31/14 11:04:18 AM,0.02,,,
4,10/31/14 11:14:58 AM,0.03,,,
5,10/31/14 11:16:17 AM,0.04,,,
6,10/31/14 11:18:20 AM,0.05,,,
7,10/31/14 11:20:15 AM,0.06,,,
8,10/31/14 11:22:00 AM,0.07,,,
9,10/31/14 11:24:10 AM,0.08,,,
10,10/31/14 11:25:47 AM,0.09,,,
11,10/31/14 11:29:41 AM,0.10,,,
12,10/31/14 11:33:45 AM,0.11,,,
13,10/31/14 11:40:23 AM,0.12,,,
14,10/31/14 11:44:08 AM,0.13,,,
15,10/31/14 11:59:24 AM,0.14,,,
16,10/31/14 12:39:52 PM,0.15,,,
17,10/31/14 12:59:37 PM,0.16,,,
18,10/31/14 01:12:38 PM,0.17,,,
19,10/31/14 01:14:32 PM,0.18,,,
20,10/31/14 01:15:47 PM,0.19,,,
21,10/31/14 01:16:47 PM,0.20,,,
22,10/31/14 01:18:19 PM,0.21,,,
23,10/31/14 01:21:45 PM,0.22,,,
24,10/31/14 01:37:58 PM,0.23,,,
25,10/31/14 03:01:03 PM,0.24,,,
26,10/31/14 11:30:07 PM,0.25,,,
27,11/01/14 04:21:27 AM,0.26,,,
28,11/01/14 04:24:47 AM,0.27,,,
29,11/01/14 04:28:05 AM,0.28,,,
30,11/01/14 04:28:42 AM,0.29,,,
31,11/01/14 04:29:06 AM,0.30,,,
32,11/01/14 04:29:22 AM,0.31,,,
33,11/01/14 04:29:23 AM,0.32,,,
34,11/01/14 04:29:35 AM,0.33,,,
35,11/01/14 04:29:50 AM,0.34,,,
36,11/01/14 04:29:58 AM,0.35,,,
37,11/01/14 04:30:10 AM,0.36,,,
38,11/01/14 04:30:11 AM,0.37,,,
39,11/01/14 04:30:19 AM,0.38,,,
40,11/01/14 04:30:29 AM,0.39,,,
41,11/01/14 04:30:37 AM,0.40,,,
42,11/01/14 04:30:43 AM,0.41,,,
43,11/01/14 04:30:44 AM,0.42,,,
44,11/01/14 04:30:58 AM,0.43,,,
45,11/01/14 04:31:16 AM,0.44,,,
46,11/01/14 04:31:24 AM,0.45,,,
47,11/01/14 04:31:35 AM,0.46,,,
48,11/01/14 04:31:36 AM,0.47,,,
49,11/01/14 04:31:47 AM,0.48,,,
50,11/01/14 04:31:48 AM,0.49,,,
51,11/01/14 04:32:02 AM,0.50,,,
52,11/01/14 04:32:11 AM,0.51,,,
53,11/01/14 04:32:22 AM,0.52,,,
54,11/01/14 04:32:36 AM,0.53,,,
55,11/01/14 04:32:49 AM,0.54,,,
56,11/01/14 04:33:01 AM,0.55,,,
57,11/01/14 04:33:15 AM,0.56,,,
58,11/01/14 04:33:16 AM,0.57,,,
59,11/01/14 04:33:30 AM,0.58,,,
60,11/01/14 04:33:42 AM,0.59,,,
61,11/01/14 04:33:43 AM,0.60,,,
62,11/01/14 04:33:58 AM,0.61,,,
63,11/01/14 04:34:10 AM,0.62,,,
64,11/01/14 04:34:18 AM,0.63,,,
65,11/01/14 04:34:30 AM,0.64,,,
66,11/01/14 04:34:42 AM,0.65,,,
67,11/01/14 04:34:59 AM,0.66,,,
68,11/01/14 04:35:00 AM,0.67,,,
69,11/01/14 04:35:32 AM,0.68,,,
70,11/01/14 04:36:14 AM,0.69,,,
71,11/01/14 04:36:52 AM,0.70,,,
72,11/01/14 04:37:17 AM,0.71,,,
73,11/01/14 04:37:30 AM,0.72,,,
74,11/01/14 04:37:31 AM,0.73,,,
75,11/01/14 04:37:42 AM,0.74,,,
76,11/01/14 04:37:56 AM,0.75,,,
77,11/01/14 04:38:08 AM,0.76,,,
78,11/01/14 04:38:30 AM,0.77,,,
79,11/01/14 04:39:09 AM,0.78,,,
80,11/01/14 04:39:42 AM,0.79,,,
81,11/01/14 04:40:09 AM,0.80,,,
82,11/01/14 04:40:10 AM,0.81,,,
83,11/01/14 04:40:35 AM,0.82,,,
84,11/01/14 04:41:09 AM,0.83,,,
85,11/01/14 04:41:49 AM,0.84,,,
86,11/01/14 04:42:37 AM,0.85,,,
87,11/01/14 04:43:25 AM,0.86,,,
88,11/01/14 04:44:05 AM,0.87,,,
89,11/01/14 04:44:30 AM,0.88,,,
90,11/01/14 04:44:43 AM,0.89,,,
91,11/01/14 04:44:55 AM,0.90,,,
92,11/01/14 04:45:04 AM,0.91,,,
93,11/01/14 04:45:14 AM,0.92,,,
94,11/01/14 04:45:23 AM,0.93,,,
95,11/01/14 04:45:24 AM,0.94,,,
96,11/01/14 04:45:42 AM,0.95,,,
97,11/01/14 04:45:59 AM,0.96,,,
98,11/01/14 04:46:29 AM,0.97,,,
99,11/01/14 04:47:02 AM,0.98,,,
100,11/01/14 04:47:29 AM,0.99,,,
101,11/01/14 04:48:02 AM,1.00,,,
102,11/01/14 04:48:38 AM,1.01,,,
103,11/01/14 04:49:07 AM,1.02,,,
104,11/01/14 04:49:08 AM,1.03,,,
