"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,01/08/13 12:31:19 PM,0.00,,,
2,01/08/13 12:31:30 PM,,Logged,,
3,01/09/13 05:07:17 PM,0.01,,,
4,01/09/13 06:27:44 PM,0.02,,,
5,01/09/13 07:59:02 PM,0.03,,,
6,01/09/13 11:06:01 PM,0.04,,,
7,01/10/13 02:46:49 AM,0.05,,,
8,01/10/13 04:40:43 AM,0.06,,,
9,01/10/13 04:40:44 AM,0.07,,,
10,01/10/13 04:42:00 AM,0.08,,,
11,01/10/13 04:42:58 AM,0.09,,,
12,01/10/13 04:43:28 AM,0.10,,,
13,01/10/13 04:44:28 AM,0.11,,,
14,01/10/13 04:45:35 AM,0.12,,,
15,01/10/13 04:47:32 AM,0.13,,,
16,01/10/13 05:15:41 AM,0.14,,,
17,01/10/13 05:35:11 AM,0.15,,,
18,01/10/13 05:38:59 AM,0.16,,,
19,01/10/13 05:45:26 AM,0.17,,,
20,01/10/13 05:45:27 AM,0.18,,,
21,01/10/13 06:50:08 AM,0.19,,,
22,01/10/13 06:52:48 AM,0.20,,,
23,01/10/13 07:45:09 AM,0.21,,,
24,01/10/13 01:51:10 PM,0.22,,,
25,01/11/13 09:34:18 PM,0.23,,,
26,01/15/13 10:45:54 AM,0.23,,Logged,Logged
