"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","Stopped (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,12/03/14 09:33:16 AM,0.00,,,
2,12/03/14 11:01:44 AM,0.01,,,
3,12/03/14 11:06:22 AM,0.02,,,
4,12/03/14 11:10:56 AM,0.03,,,
5,12/03/14 11:13:40 AM,0.04,,,
6,12/03/14 11:15:54 AM,0.05,,,
7,12/03/14 11:17:28 AM,0.06,,,
8,12/03/14 11:18:47 AM,0.07,,,
9,12/03/14 11:19:23 AM,0.08,,,
10,12/03/14 11:19:24 AM,0.09,,,
11,12/03/14 11:19:41 AM,0.10,,,
12,12/03/14 11:19:55 AM,0.11,,,
13,12/03/14 11:19:56 AM,0.12,,,
14,12/03/14 11:20:10 AM,0.13,,,
15,12/03/14 11:20:30 AM,0.14,,,
16,12/03/14 11:21:08 AM,0.15,,,
17,12/03/14 11:21:54 AM,0.16,,,
18,12/03/14 11:23:16 AM,0.17,,,
19,12/03/14 11:24:50 AM,0.18,,,
20,12/03/14 11:26:25 AM,0.19,,,
21,12/03/14 11:30:15 AM,0.20,,,
22,12/03/14 11:32:55 AM,0.21,,,
23,12/03/14 11:34:24 AM,0.22,,,
24,12/03/14 11:35:44 AM,0.23,,,
25,12/03/14 11:37:00 AM,0.24,,,
26,12/03/14 11:39:29 AM,0.25,,,
27,12/03/14 11:39:57 AM,0.26,,,
28,12/03/14 11:41:23 AM,0.27,,,
29,12/03/14 11:42:37 AM,0.28,,,
30,12/03/14 11:51:37 AM,0.29,,,
31,12/03/14 11:52:13 AM,0.30,,,
32,12/03/14 11:56:08 AM,0.31,,,
33,12/03/14 11:57:00 AM,0.32,,,
34,12/03/14 12:10:09 PM,0.33,,,
35,12/03/14 12:11:30 PM,0.34,,,
36,12/03/14 12:11:31 PM,0.35,,,
37,12/03/14 12:13:00 PM,0.36,,,
38,12/03/14 12:13:17 PM,0.37,,,
39,12/03/14 12:13:37 PM,0.38,,,
40,12/03/14 12:13:58 PM,0.39,,,
41,12/03/14 12:14:22 PM,0.40,,,
42,12/03/14 12:14:45 PM,0.41,,,
43,12/03/14 12:14:46 PM,0.42,,,
44,12/03/14 12:15:09 PM,0.43,,,
45,12/03/14 12:15:29 PM,0.44,,,
46,12/03/14 12:15:58 PM,0.45,,,
47,12/03/14 12:16:50 PM,0.46,,,
48,12/03/14 12:17:15 PM,0.47,,,
49,12/03/14 12:17:26 PM,0.48,,,
50,12/03/14 12:17:27 PM,0.49,,,
51,12/03/14 12:17:39 PM,0.50,,,
52,12/03/14 12:17:55 PM,0.51,,,
53,12/03/14 12:18:27 PM,0.52,,,
54,12/03/14 12:19:12 PM,0.53,,,
55,12/03/14 12:19:56 PM,0.54,,,
56,12/03/14 12:35:34 PM,0.55,,,
57,12/03/14 01:01:16 PM,0.56,,,
58,12/03/14 01:03:56 PM,0.57,,,
59,12/03/14 01:03:57 PM,0.58,,,
60,12/03/14 04:07:10 PM,0.59,,,
61,12/03/14 04:27:57 PM,0.60,,,
62,12/03/14 08:05:39 PM,0.61,,,
63,12/03/14 10:14:41 PM,0.62,,,
64,12/03/14 10:21:30 PM,0.63,,,
65,12/04/14 01:54:40 AM,0.64,,,
66,12/04/14 06:44:37 AM,0.65,,,
67,12/04/14 06:48:31 AM,0.66,,,
68,12/04/14 06:49:55 AM,0.67,,,
69,12/04/14 06:50:26 AM,0.68,,,
70,12/04/14 06:50:53 AM,0.69,,,
71,12/04/14 06:51:10 AM,0.70,,,
72,12/04/14 06:51:25 AM,0.71,,,
73,12/04/14 06:51:35 AM,0.72,,,
74,12/04/14 06:51:36 AM,0.73,,,
75,12/04/14 06:51:50 AM,0.74,,,
76,12/04/14 06:52:06 AM,0.75,,,
77,12/04/14 06:52:23 AM,0.76,,,
78,12/04/14 06:52:42 AM,0.77,,,
79,12/04/14 06:53:10 AM,0.78,,,
80,12/04/14 06:53:38 AM,0.79,,,
81,12/04/14 06:54:56 AM,0.80,,,
82,12/04/14 06:57:43 AM,0.81,,,
83,12/04/14 09:54:12 PM,0.82,,,
84,12/05/14 12:07:56 AM,0.83,,,
85,12/05/14 01:33:29 AM,0.84,,,
86,12/05/14 04:30:42 AM,0.85,,,
87,12/05/14 02:08:26 PM,0.86,,,
88,12/05/14 02:19:04 PM,,Logged,,
89,12/05/14 02:19:06 PM,0.86,,Logged,Logged
