"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Detached (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","Stopped (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
1,12/06/16 02:30:29 PM,64.139,0.00,,,,
2,12/06/16 02:30:39 PM,,,Logged,,,
3,12/06/16 03:30:29 PM,63.626,,,,,
4,12/06/16 04:30:29 PM,52.401,,,,,
5,12/06/16 05:30:29 PM,43.466,,,,,
6,12/06/16 06:30:29 PM,42.548,,,,,
7,12/06/16 07:30:29 PM,41.994,,,,,
8,12/06/16 08:30:29 PM,41.994,,,,,
9,12/06/16 09:30:29 PM,41.254,,,,,
10,12/06/16 10:30:29 PM,42.179,,,,,
11,12/06/16 11:30:29 PM,42.915,,,,,
12,12/07/16 12:30:29 AM,42.732,,,,,
13,12/07/16 01:30:29 AM,40.881,,,,,
14,12/07/16 02:30:29 AM,40.134,,,,,
15,12/07/16 03:30:29 AM,40.881,,,,,
16,12/07/16 04:30:29 AM,39.573,,,,,
17,12/07/16 05:30:29 AM,39.007,,,,,
18,12/07/16 06:30:29 AM,40.509,,,,,
19,12/07/16 07:30:29 AM,43.282,,,,,
20,12/07/16 08:30:29 AM,44.742,,,,,
21,12/07/16 09:30:29 AM,46.548,,,,,
22,12/07/16 10:30:29 AM,52.401,,,,,
23,12/07/16 11:30:29 AM,53.623,,,,,
24,12/07/16 12:30:29 PM,58.476,,,,,
25,12/07/16 01:30:29 PM,60.024,,,,,
26,12/07/16 02:30:29 PM,54.669,,,,,
27,12/07/16 03:30:29 PM,50.113,,,,,
28,12/07/16 04:30:29 PM,48.871,,,,,
29,12/07/16 05:30:29 PM,47.446,,,,,
30,12/07/16 06:19:14 PM,,0.01,,,,
31,12/07/16 06:30:29 PM,46.728,,,,,
32,12/07/16 07:30:29 PM,46.728,,,,,
33,12/07/16 08:30:29 PM,47.446,,,,,
34,12/07/16 09:30:29 PM,46.188,,,,,
35,12/07/16 10:02:24 PM,,0.02,,,,
36,12/07/16 10:30:29 PM,45.648,,,,,
37,12/07/16 10:46:31 PM,,0.03,,,,
38,12/07/16 11:11:03 PM,,0.04,,,,
39,12/07/16 11:23:17 PM,,0.05,,,,
40,12/07/16 11:30:29 PM,46.369,,,,,
41,12/07/16 11:32:03 PM,,0.06,,,,
42,12/07/16 11:38:16 PM,,0.07,,,,
43,12/07/16 11:44:56 PM,,0.08,,,,
44,12/07/16 11:50:44 PM,,0.09,,,,
45,12/07/16 11:57:32 PM,,0.10,,,,
46,12/08/16 12:03:24 AM,,0.11,,,,
47,12/08/16 12:03:25 AM,,0.12,,,,
48,12/08/16 12:09:18 AM,,0.13,,,,
49,12/08/16 12:14:27 AM,,0.14,,,,
50,12/08/16 12:19:56 AM,,0.15,,,,
51,12/08/16 12:25:11 AM,,0.16,,,,
52,12/08/16 12:30:29 AM,47.624,,,,,
53,12/08/16 12:30:35 AM,,0.17,,,,
54,12/08/16 12:36:02 AM,,0.18,,,,
55,12/08/16 12:41:37 AM,,0.19,,,,
56,12/08/16 12:47:11 AM,,0.20,,,,
57,12/08/16 12:47:12 AM,,0.21,,,,
58,12/08/16 12:52:59 AM,,0.22,,,,
59,12/08/16 12:58:43 AM,,0.23,,,,
60,12/08/16 01:04:29 AM,,0.24,,,,
61,12/08/16 01:09:53 AM,,0.25,,,,
62,12/08/16 01:14:57 AM,,0.26,,,,
63,12/08/16 01:20:10 AM,,0.27,,,,
64,12/08/16 01:25:51 AM,,0.28,,,,
65,12/08/16 01:30:29 AM,48.871,,,,,
66,12/08/16 01:31:56 AM,,0.29,,,,
67,12/08/16 01:38:37 AM,,0.30,,,,
68,12/08/16 01:46:09 AM,,0.31,,,,
69,12/08/16 01:54:50 AM,,0.32,,,,
70,12/08/16 02:04:23 AM,,0.33,,,,
71,12/08/16 02:12:48 AM,,0.34,,,,
72,12/08/16 02:19:56 AM,,0.35,,,,
73,12/08/16 02:25:55 AM,,0.36,,,,
74,12/08/16 02:30:29 AM,49.228,,,,,
75,12/08/16 02:31:44 AM,,0.37,,,,
76,12/08/16 02:37:42 AM,,0.38,,,,
77,12/08/16 02:44:24 AM,,0.39,,,,
78,12/08/16 02:51:27 AM,,0.40,,,,
79,12/08/16 03:00:05 AM,,0.41,,,,
80,12/08/16 03:10:37 AM,,0.42,,,,
81,12/08/16 03:30:29 AM,49.759,,,,,
82,12/08/16 03:38:22 AM,,0.43,,,,
83,12/08/16 04:15:26 AM,,0.44,,,,
84,12/08/16 04:30:29 AM,50.290,,,,,
85,12/08/16 04:35:07 AM,,0.45,,,,
86,12/08/16 04:46:15 AM,,0.46,,,,
87,12/08/16 04:58:20 AM,,0.47,,,,
88,12/08/16 05:09:43 AM,,0.48,,,,
89,12/08/16 05:20:01 AM,,0.49,,,,
90,12/08/16 05:29:32 AM,,0.50,,,,
91,12/08/16 05:30:29 AM,50.643,,,,,
92,12/08/16 05:40:10 AM,,0.51,,,,
93,12/08/16 05:51:48 AM,,0.52,,,,
94,12/08/16 06:04:19 AM,,0.53,,,,
95,12/08/16 06:15:59 AM,,0.54,,,,
96,12/08/16 06:27:02 AM,,0.55,,,,
97,12/08/16 06:30:29 AM,50.819,,,,,
98,12/08/16 06:36:52 AM,,0.56,,,,
99,12/08/16 06:47:14 AM,,0.57,,,,
100,12/08/16 06:57:11 AM,,0.58,,,,
101,12/08/16 07:07:45 AM,,0.59,,,,
102,12/08/16 07:17:57 AM,,0.60,,,,
103,12/08/16 07:29:21 AM,,0.61,,,,
104,12/08/16 07:30:29 AM,51.523,,,,,
105,12/08/16 07:38:47 AM,,0.62,,,,
106,12/08/16 07:48:36 AM,,0.63,,,,
107,12/08/16 07:58:33 AM,,0.64,,,,
108,12/08/16 08:09:57 AM,,0.65,,,,
109,12/08/16 08:20:51 AM,,0.66,,,,
110,12/08/16 08:30:29 AM,52.750,,,,,
111,12/08/16 08:31:17 AM,,0.67,,,,
112,12/08/16 08:41:28 AM,,0.68,,,,
113,12/08/16 08:52:00 AM,,0.69,,,,
114,12/08/16 09:03:45 AM,,0.70,,,,
115,12/08/16 09:15:19 AM,,0.71,,,,
116,12/08/16 09:26:57 AM,,0.72,,,,
117,12/08/16 09:30:29 AM,53.973,,,,,
118,12/08/16 09:38:21 AM,,0.73,,,,
119,12/08/16 09:49:27 AM,,0.74,,,,
120,12/08/16 10:01:26 AM,,0.75,,,,
121,12/08/16 10:16:02 AM,,0.76,,,,
122,12/08/16 10:30:29 AM,55.364,,,,,
123,12/08/16 10:35:58 AM,,0.77,,,,
124,12/08/16 10:55:17 AM,,0.78,,,,
125,12/08/16 11:07:30 AM,,0.79,,,,
126,12/08/16 11:19:06 AM,,0.80,,,,
127,12/08/16 11:30:29 AM,56.750,,,,,
128,12/08/16 11:30:39 AM,,0.81,,,,
129,12/08/16 11:40:55 AM,,0.82,,,,
130,12/08/16 11:52:36 AM,,0.83,,,,
131,12/08/16 12:04:28 PM,,0.84,,,,
132,12/08/16 12:14:08 PM,,0.85,,,,
133,12/08/16 12:24:21 PM,,0.86,,,,
134,12/08/16 12:30:29 PM,56.923,,,,,
135,12/08/16 12:36:13 PM,,0.87,,,,
136,12/08/16 12:36:14 PM,,0.88,,,,
137,12/08/16 12:48:24 PM,,0.89,,,,
138,12/08/16 12:59:18 PM,,0.90,,,,
139,12/08/16 01:09:30 PM,,0.91,,,,
140,12/08/16 01:18:35 PM,,0.92,,,,
141,12/08/16 01:26:50 PM,,0.93,,,,
142,12/08/16 01:30:29 PM,56.923,,,,,
143,12/08/16 01:34:47 PM,,0.94,,,,
144,12/08/16 01:42:41 PM,,0.95,,,,
145,12/08/16 01:51:14 PM,,0.96,,,,
146,12/08/16 02:00:28 PM,,0.97,,,,
147,12/08/16 02:11:02 PM,,0.98,,,,
148,12/08/16 02:20:55 PM,,0.99,,,,
149,12/08/16 02:29:27 PM,,1.00,,,,
150,12/08/16 02:29:28 PM,,1.01,,,,
151,12/08/16 02:30:29 PM,57.268,,,,,
152,12/08/16 02:37:21 PM,,1.02,,,,
153,12/08/16 02:46:25 PM,,1.03,,,,
