"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,08/10/10 10:12:17 AM,0.00,,,
2,08/10/10 10:12:22 AM,,Logged,,
3,08/11/10 12:08:47 AM,1.00,,,
4,08/13/10 07:05:19 AM,2.00,,,
5,08/14/10 01:47:27 AM,3.00,,,
6,08/14/10 04:35:14 AM,4.00,,,
7,08/14/10 06:50:02 AM,5.00,,,
8,08/16/10 02:16:54 PM,,,Logged,
9,08/16/10 02:17:20 PM,,Logged,,
10,08/16/10 02:18:27 PM,,,Logged,
11,08/16/10 02:18:43 PM,,Logged,,
12,08/20/10 05:47:33 AM,6.00,,,
13,08/21/10 04:41:26 AM,7.00,,,
14,09/01/10 03:12:40 PM,7.00,,Logged,Logged
