"Plot Title: LD"
"#","Date Time, GMT-08:00","Ext. Line Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,02/23/10 11:28:02 AM,0.00,,,,
2,02/23/10 11:28:07 AM,,Logged,,,
3,02/23/10 11:30:40 AM,0.01,,,,
4,02/23/10 11:36:02 AM,0.02,,,,
5,02/23/10 11:40:11 AM,0.03,,,,
6,02/23/10 11:43:08 AM,0.04,,,,
7,02/23/10 11:46:56 AM,0.05,,,,
8,02/23/10 11:51:41 AM,0.06,,,,
9,02/23/10 11:56:38 AM,0.07,,,,
10,02/23/10 12:01:44 PM,0.08,,,,
11,02/23/10 12:04:45 PM,0.09,,,,
12,02/23/10 12:09:07 PM,0.10,,,,
13,02/23/10 12:09:08 PM,0.11,,,,
14,02/23/10 12:11:43 PM,0.12,,,,
15,02/23/10 12:18:06 PM,0.13,,,,
16,02/23/10 12:26:43 PM,0.14,,,,
17,02/23/10 12:34:35 PM,0.15,,,,
18,02/23/10 12:42:27 PM,0.16,,,,
19,02/23/10 12:54:39 PM,0.17,,,,
20,02/23/10 01:05:12 PM,0.18,,,,
21,02/23/10 01:13:19 PM,0.19,,,,
22,02/23/10 01:20:08 PM,0.20,,,,
23,02/23/10 01:20:09 PM,0.21,,,,
24,02/23/10 01:31:05 PM,0.22,,,,
25,02/23/10 01:53:40 PM,0.23,,,,
26,02/23/10 02:04:43 PM,0.24,,,,
27,02/23/10 02:04:44 PM,0.25,,,,
28,02/23/10 02:18:38 PM,0.26,,,,
29,02/23/10 02:18:39 PM,0.27,,,,
30,02/23/10 03:06:11 PM,0.28,,,,
31,02/23/10 03:20:13 PM,0.29,,,,
32,02/23/10 03:21:12 PM,0.30,,,,
33,02/23/10 03:22:40 PM,0.31,,,,
34,02/23/10 03:24:03 PM,0.32,,,,
35,02/23/10 03:27:16 PM,0.33,,,,
36,02/23/10 03:37:57 PM,0.34,,,,
37,02/23/10 03:47:02 PM,0.35,,,,
38,02/23/10 04:18:38 PM,0.36,,,,
39,02/23/10 04:29:57 PM,0.37,,,,
40,02/23/10 04:29:58 PM,0.38,,,,
41,02/23/10 04:52:40 PM,0.39,,,,
42,02/23/10 05:18:29 PM,0.40,,,,
