"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,11/10/14 12:24:00 PM,0.00,,
2,11/11/14 12:11:31 AM,0.01,,
3,11/11/14 12:11:32 AM,0.02,,
4,11/11/14 01:57:28 AM,0.03,,
5,11/13/14 12:58:50 AM,0.04,,
6,11/13/14 12:58:51 AM,0.05,,
7,11/13/14 01:13:32 AM,0.06,,
8,11/13/14 01:17:36 AM,0.07,,
9,11/13/14 01:24:19 AM,0.08,,
10,11/13/14 01:29:28 AM,0.09,,
11,11/13/14 01:34:39 AM,0.10,,
12,11/13/14 01:37:52 AM,0.11,,
13,11/13/14 01:48:04 AM,0.12,,
14,11/13/14 01:56:04 AM,0.13,,
15,11/13/14 02:03:00 AM,0.14,,
16,11/13/14 02:12:19 AM,0.15,,
17,11/13/14 02:25:06 AM,0.16,,
18,11/13/14 03:12:31 AM,0.17,,
19,11/13/14 04:10:15 AM,0.18,,
20,11/13/14 04:22:34 AM,0.19,,
21,11/13/14 04:23:54 AM,0.20,,
22,11/13/14 04:31:04 AM,0.21,,
23,11/13/14 06:00:32 AM,0.22,,
24,11/13/14 06:30:22 AM,0.23,,
25,11/13/14 06:33:14 AM,0.24,,
26,11/13/14 06:43:56 AM,0.25,,
27,11/13/14 08:06:04 AM,0.26,,
28,11/18/14 01:29:17 PM,0.26,Logged,Logged
