"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,01/18/11 11:17:51 AM,0.00,,,
2,01/18/11 11:18:00 AM,,Logged,,
3,01/29/11 03:37:03 PM,0.01,,,
4,01/29/11 05:13:00 PM,0.02,,,
5,01/29/11 05:51:42 PM,0.03,,,
6,01/29/11 05:56:43 PM,0.04,,,
7,01/29/11 06:11:04 PM,0.05,,,
8,01/29/11 09:58:10 PM,0.06,,,
9,01/29/11 10:10:58 PM,0.07,,,
10,01/29/11 11:09:01 PM,0.08,,,
11,01/30/11 12:31:44 AM,0.09,,,
12,01/30/11 02:41:02 AM,0.10,,,
13,01/30/11 02:42:28 AM,0.11,,,
14,01/30/11 02:49:22 AM,0.12,,,
15,01/30/11 03:22:51 AM,0.13,,,
16,01/30/11 05:14:31 AM,0.14,,,
17,01/30/11 05:17:03 AM,0.15,,,
18,01/30/11 05:19:25 AM,0.16,,,
19,01/30/11 05:20:09 AM,0.17,,,
20,01/30/11 05:20:53 AM,0.18,,,
21,01/30/11 05:21:46 AM,0.19,,,
22,01/30/11 05:22:45 AM,0.20,,,
23,01/30/11 05:25:13 AM,0.21,,,
24,01/30/11 05:30:18 AM,0.22,,,
25,01/30/11 05:34:39 AM,0.23,,,
26,01/30/11 05:39:07 AM,0.24,,,
27,01/30/11 05:43:09 AM,0.25,,,
28,01/30/11 07:27:22 AM,0.26,,,
29,01/30/11 07:49:10 AM,0.27,,,
30,01/30/11 07:54:29 AM,0.28,,,
31,01/30/11 09:08:26 AM,0.29,,,
32,01/30/11 09:30:56 AM,0.30,,,
33,01/30/11 11:20:16 AM,0.31,,,
34,01/30/11 12:28:58 PM,0.32,,,
35,01/30/11 12:36:03 PM,0.33,,,
36,01/30/11 12:39:14 PM,0.34,,,
37,01/30/11 12:43:21 PM,0.35,,,
38,01/30/11 12:48:37 PM,0.36,,,
39,01/30/11 12:49:46 PM,0.37,,,
40,01/30/11 12:51:52 PM,0.38,,,
41,01/30/11 12:54:39 PM,0.39,,,
42,01/30/11 12:57:02 PM,0.40,,,
43,01/30/11 01:00:00 PM,0.41,,,
44,01/30/11 01:45:47 PM,0.42,,,
45,01/30/11 02:51:48 PM,0.43,,,
46,01/30/11 03:00:15 PM,0.44,,,
47,01/30/11 03:01:59 PM,0.45,,,
48,01/30/11 03:07:29 PM,0.46,,,
49,02/01/11 11:35:48 AM,0.46,,Logged,Logged
