"Plot Title: Range"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Detached (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
1,04/03/19 03:00:00 PM,0.00,,,,
2,04/04/19 04:50:38 AM,0.01,,,,
3,04/04/19 04:55:23 AM,0.02,,,,
4,04/04/19 04:56:44 AM,0.03,,,,
5,04/04/19 05:00:23 AM,0.04,,,,
6,04/04/19 06:40:40 AM,0.05,,,,
7,04/04/19 07:52:26 AM,0.06,,,,
8,04/04/19 12:07:54 PM,0.07,,,,
9,04/05/19 09:19:07 AM,0.08,,,,
10,04/05/19 09:27:14 AM,0.09,,,,
11,04/05/19 09:30:14 AM,0.10,,,,
12,04/05/19 09:33:01 AM,0.11,,,,
13,04/05/19 09:36:34 AM,0.12,,,,
14,04/05/19 09:41:03 AM,0.13,,,,
15,04/05/19 09:44:02 AM,0.14,,,,
16,04/05/19 09:46:59 AM,0.15,,,,
17,04/05/19 09:49:36 AM,0.16,,,,
18,04/05/19 09:52:01 AM,0.17,,,,
19,04/05/19 09:53:15 AM,0.18,,,,
20,04/05/19 09:57:09 AM,0.19,,,,
21,04/05/19 10:03:46 AM,0.20,,,,
22,04/05/19 10:17:17 AM,0.21,,,,
23,04/05/19 10:30:51 AM,0.22,,,,
24,04/05/19 10:34:50 AM,0.23,,,,
25,04/05/19 10:37:37 AM,0.24,,,,
26,04/05/19 10:43:44 AM,0.25,,,,
27,04/05/19 10:45:23 AM,0.26,,,,
28,04/05/19 10:48:55 AM,0.27,,,,
29,04/05/19 10:56:07 AM,0.28,,,,
30,04/05/19 11:00:17 AM,0.29,,,,
31,04/05/19 11:02:19 AM,0.30,,,,
32,04/05/19 11:04:16 AM,0.31,,,,
33,04/05/19 11:05:51 AM,0.32,,,,
34,04/05/19 11:07:40 AM,0.33,,,,
35,04/05/19 11:11:16 AM,0.34,,,,
36,04/05/19 11:23:53 AM,0.35,,,,
37,04/06/19 05:08:28 AM,0.36,,,,
38,04/06/19 06:11:15 AM,0.37,,,,
39,04/06/19 06:30:28 AM,0.38,,,,
40,04/06/19 06:36:03 AM,0.39,,,,
41,04/08/19 06:48:06 PM,0.40,,,,
42,04/08/19 09:29:49 PM,0.41,,,,
43,04/08/19 09:58:13 PM,0.42,,,,
44,04/08/19 10:36:04 PM,0.43,,,,
45,04/08/19 10:58:20 PM,0.44,,,,
46,04/08/19 11:37:58 PM,0.45,,,,
47,04/09/19 12:25:05 AM,0.46,,,,
48,04/15/19 04:36:22 PM,0.47,,,,
49,04/15/19 04:59:36 PM,0.48,,,,
50,04/15/19 06:10:28 PM,0.49,,,,
51,04/15/19 06:18:17 PM,0.50,,,,
52,04/15/19 07:40:57 PM,0.51,,,,
53,04/15/19 08:49:22 PM,0.52,,,,
54,04/15/19 09:55:32 PM,0.53,,,,
55,04/15/19 11:43:25 PM,0.54,,,,
56,04/16/19 01:07:42 AM,0.55,,,,
57,04/16/19 01:21:05 AM,0.56,,,,
58,04/16/19 02:19:17 AM,0.57,,,,
59,04/16/19 02:21:18 AM,0.58,,,,
60,04/16/19 02:22:54 AM,0.59,,,,
61,04/16/19 02:24:44 AM,0.60,,,,
62,04/16/19 02:27:25 AM,0.61,,,,
63,04/16/19 02:29:36 AM,0.62,,,,
64,04/16/19 02:35:57 AM,0.63,,,,
65,04/16/19 02:59:49 AM,0.64,,,,
66,04/16/19 06:55:11 AM,0.65,,,,
67,04/16/19 12:26:55 PM,,Logged,,,
68,04/16/19 12:27:01 PM,,,Logged,,
69,04/16/19 12:27:27 PM,,,,Logged,
70,04/16/19 12:27:29 PM,,Logged,,,
71,04/16/19 12:27:31 PM,,,Logged,,
72,04/16/19 12:27:54 PM,0.65,,,,Logged
