"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,10/14/14 01:55:09 PM,0.00,,,
2,10/14/14 01:55:21 PM,,Logged,,
3,10/15/14 03:48:04 AM,0.01,,,
4,10/15/14 03:59:12 AM,0.02,,,
5,10/15/14 03:59:13 AM,0.03,,,
6,10/15/14 04:33:21 AM,0.04,,,
7,10/15/14 04:33:22 AM,0.05,,,
8,10/15/14 06:17:01 AM,0.06,,,
9,10/15/14 07:01:26 AM,0.07,,,
10,10/15/14 07:01:27 AM,0.08,,,
11,10/20/14 11:25:33 AM,0.09,,,
12,10/20/14 11:25:46 AM,0.09,,Logged,Logged
