"Plot Title: Landing"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,12/17/15 03:11:24 PM,0.00,,,,
2,12/17/15 03:11:39 PM,,Logged,,,
3,12/18/15 07:53:02 PM,0.01,,,,
4,12/18/15 08:00:50 PM,0.02,,,,
5,12/18/15 08:09:23 PM,0.03,,,,
6,12/18/15 08:13:18 PM,0.04,,,,
7,12/18/15 08:19:18 PM,0.05,,,,
8,12/18/15 08:26:50 PM,0.06,,,,
9,12/18/15 08:41:17 PM,0.07,,,,
10,12/18/15 08:47:00 PM,0.08,,,,
11,12/18/15 08:51:42 PM,0.09,,,,
12,12/18/15 08:57:29 PM,0.10,,,,
13,12/18/15 09:01:32 PM,0.11,,,,
14,12/18/15 09:05:08 PM,0.12,,,,
15,12/18/15 09:10:03 PM,0.13,,,,
16,12/18/15 09:15:45 PM,0.14,,,,
17,12/18/15 09:25:07 PM,0.15,,,,
18,12/18/15 09:33:36 PM,0.16,,,,
19,12/18/15 09:40:36 PM,0.17,,,,
20,12/18/15 09:45:28 PM,0.18,,,,
21,12/18/15 09:50:11 PM,0.19,,,,
22,12/18/15 09:51:57 PM,0.20,,,,
23,12/18/15 09:53:51 PM,0.21,,,,
24,12/18/15 09:56:53 PM,0.22,,,,
25,12/18/15 10:12:12 PM,0.23,,,,
26,12/18/15 10:25:45 PM,0.24,,,,
27,12/18/15 10:48:19 PM,0.25,,,,
28,12/18/15 11:02:55 PM,0.26,,,,
29,12/18/15 11:13:00 PM,0.27,,,,
30,12/18/15 11:22:02 PM,0.28,,,,
31,12/18/15 11:27:01 PM,0.29,,,,
32,12/18/15 11:28:56 PM,0.30,,,,
33,12/18/15 11:31:21 PM,0.31,,,,
34,12/18/15 11:33:33 PM,0.32,,,,
35,12/18/15 11:37:44 PM,0.33,,,,
36,12/18/15 11:42:07 PM,0.34,,,,
37,12/18/15 11:46:27 PM,0.35,,,,
38,12/18/15 11:50:37 PM,0.36,,,,
39,12/19/15 12:02:26 AM,0.37,,,,
40,12/19/15 12:06:22 AM,0.38,,,,
41,12/19/15 12:12:20 AM,0.39,,,,
42,12/19/15 12:19:09 AM,0.40,,,,
43,12/19/15 12:27:23 AM,0.41,,,,
44,12/19/15 12:34:23 AM,0.42,,,,
45,12/19/15 12:43:09 AM,0.43,,,,
46,12/19/15 12:50:52 AM,0.44,,,,
47,12/19/15 06:16:12 AM,0.45,,,,
48,12/19/15 06:53:02 AM,0.46,,,,
49,12/19/15 06:56:04 AM,0.47,,,,
50,12/19/15 07:44:00 AM,0.48,,,,
51,12/20/15 02:57:44 PM,0.49,,,,
52,12/20/15 03:09:29 PM,0.50,,,,
53,12/20/15 03:15:32 PM,0.51,,,,
54,12/20/15 03:20:11 PM,0.52,,,,
55,12/20/15 03:36:36 PM,0.53,,,,
56,12/20/15 03:47:25 PM,0.54,,,,
57,12/20/15 03:58:00 PM,0.55,,,,
58,12/20/15 04:03:41 PM,0.56,,,,
59,12/20/15 04:12:25 PM,0.57,,,,
60,12/20/15 04:17:11 PM,0.58,,,,
61,12/20/15 04:29:01 PM,0.59,,,,
