"Plot Title: UQC"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,09/11/40 09:57:11 PM,0.00,,,
2,09/12/40 06:15:57 PM,0.01,,,
3,09/12/40 06:23:15 PM,0.02,,,
4,09/12/40 06:26:14 PM,0.03,,,
5,09/12/40 06:27:25 PM,0.04,,,
6,09/12/40 06:28:57 PM,0.05,,,
7,09/12/40 06:31:05 PM,0.06,,,
8,09/12/40 06:32:30 PM,0.07,,,
9,09/12/40 06:34:01 PM,0.08,,,
10,09/12/40 06:36:02 PM,0.09,,,
11,09/12/40 06:38:20 PM,0.10,,,
12,09/12/40 06:41:08 PM,0.11,,,
13,09/12/40 06:43:25 PM,0.12,,,
14,09/12/40 06:43:26 PM,0.13,,,
15,09/12/40 06:45:17 PM,0.14,,,
16,09/12/40 06:48:16 PM,0.15,,,
17,09/12/40 06:51:19 PM,0.16,,,
18,09/12/40 06:53:21 PM,0.17,,,
19,09/12/40 06:55:22 PM,0.18,,,
20,09/12/40 06:57:15 PM,0.19,,,
21,09/12/40 06:58:39 PM,0.20,,,
22,09/12/40 07:00:06 PM,0.21,,,
23,09/12/40 07:03:25 PM,0.22,,,
24,09/12/40 07:08:04 PM,0.23,,,
25,09/12/40 07:27:49 PM,0.24,,,
26,09/12/40 07:45:06 PM,0.25,,,
27,09/12/40 07:57:02 PM,0.26,,,
28,09/12/40 08:15:06 PM,0.27,,,
29,09/12/40 08:19:17 PM,0.28,,,
30,09/12/40 08:22:35 PM,0.29,,,
31,09/12/40 08:23:49 PM,0.30,,,
32,09/12/40 08:24:38 PM,0.31,,,
33,09/12/40 08:29:43 PM,0.32,,,
34,09/12/40 09:27:42 PM,0.33,,,
35,09/12/40 10:14:13 PM,0.34,,,
36,09/19/40 08:30:25 AM,0.35,,,
37,09/19/40 08:44:07 AM,0.36,,,
38,09/19/40 08:53:42 AM,0.37,,,
39,09/19/40 12:03:08 PM,0.38,,,
40,09/19/40 12:10:47 PM,0.39,,,
41,09/19/40 12:12:41 PM,0.40,,,
42,09/19/40 12:16:35 PM,0.41,,,
43,09/19/40 12:19:24 PM,0.42,,,
44,09/19/40 12:23:13 PM,0.43,,,
45,09/19/40 12:28:11 PM,0.44,,,
46,09/19/40 12:33:05 PM,0.45,,,
47,09/19/40 12:36:25 PM,0.46,,,
48,09/19/40 12:38:54 PM,0.47,,,
49,09/19/40 12:40:55 PM,0.48,,,
50,09/19/40 12:42:47 PM,0.49,,,
51,09/19/40 12:45:20 PM,0.50,,,
52,09/19/40 12:47:35 PM,0.51,,,
53,09/19/40 12:50:57 PM,0.52,,,
54,09/19/40 12:55:16 PM,0.53,,,
55,09/19/40 01:00:44 PM,0.54,,,
56,09/19/40 01:09:10 PM,0.55,,,
57,09/19/40 01:34:38 PM,0.56,,,
58,09/19/40 01:43:43 PM,0.57,,,
59,09/19/40 01:57:06 PM,0.58,,,
60,09/19/40 02:27:49 PM,0.59,,,
61,09/19/40 02:31:10 PM,0.60,,,
62,09/19/40 02:32:06 PM,0.61,,,
63,09/19/40 02:33:09 PM,0.62,,,
64,09/19/40 02:36:41 PM,0.63,,,
65,09/19/40 02:49:28 PM,0.64,,,
66,09/19/40 03:06:14 PM,0.65,,,
67,09/20/40 02:05:29 AM,0.66,,,
68,09/20/40 02:06:03 AM,0.67,,,
69,09/20/40 02:06:04 AM,0.68,,,
70,09/20/40 02:15:33 AM,0.69,,,
71,09/20/40 05:14:31 AM,0.70,,,
72,09/20/40 06:48:43 AM,0.71,,,
73,09/20/40 06:49:35 AM,0.72,,,
74,09/20/40 06:50:37 AM,0.73,,,
75,09/20/40 06:51:45 AM,0.74,,,
76,09/20/40 06:53:49 AM,0.75,,,
77,09/20/40 06:55:09 AM,0.76,,,
78,09/20/40 06:57:37 AM,0.77,,,
79,09/20/40 07:00:34 AM,0.78,,,
80,09/20/40 07:04:26 AM,0.79,,,
81,09/20/40 07:08:53 AM,0.80,,,
82,09/20/40 07:14:36 AM,0.81,,,
83,09/20/40 07:22:12 AM,0.82,,,
84,09/20/40 07:26:23 AM,0.83,,,
85,09/20/40 07:31:41 AM,0.84,,,
86,09/20/40 08:35:34 AM,0.85,,,
87,09/20/40 08:43:50 AM,0.86,,,
88,09/20/40 08:55:12 AM,0.87,,,
89,09/20/40 09:06:07 AM,0.88,,,
90,09/20/40 09:15:08 AM,0.89,,,
91,09/20/40 09:19:44 AM,0.90,,,
92,09/20/40 09:19:45 AM,0.91,,,
93,09/20/40 09:37:27 AM,0.92,,,
94,09/20/40 12:40:39 PM,0.93,,,
95,09/20/40 12:41:13 PM,0.94,,,
96,09/20/40 12:42:57 PM,0.95,,,
97,09/20/40 12:48:34 PM,0.96,,,
98,09/20/40 12:57:22 PM,0.97,,,
99,09/20/40 03:38:16 PM,0.98,,,
100,09/20/40 03:40:23 PM,0.99,,,
101,09/20/40 03:46:35 PM,1.00,,,
102,09/20/40 03:51:50 PM,1.01,,,
103,09/22/40 11:00:17 AM,1.02,,,
104,09/22/40 11:36:31 AM,1.03,,,
105,09/22/40 11:45:18 AM,1.04,,,
106,09/22/40 12:56:26 PM,1.05,,,
107,09/22/40 01:19:04 PM,1.06,,,
108,09/22/40 01:43:49 PM,1.07,,,
109,09/22/40 01:46:36 PM,1.08,,,
110,09/22/40 01:54:03 PM,1.09,,,
111,09/22/40 01:54:04 PM,1.10,,,
112,09/22/40 02:19:57 PM,1.11,,,
113,09/22/40 02:34:45 PM,1.12,,,
114,09/22/40 02:43:07 PM,1.13,,,
115,09/22/40 02:48:55 PM,1.14,,,
116,09/22/40 02:55:28 PM,1.15,,,
117,09/22/40 02:58:26 PM,1.16,,,
118,09/22/40 03:23:10 PM,1.17,,,
119,09/22/40 03:25:51 PM,1.18,,,
120,09/22/40 03:28:07 PM,1.19,,,
121,09/22/40 03:31:06 PM,1.20,,,
122,09/22/40 04:07:06 PM,1.21,,,
123,09/22/40 04:33:09 PM,1.22,,,
124,09/22/40 04:51:25 PM,1.23,,,
125,09/22/40 04:52:38 PM,1.24,,,
126,09/22/40 04:53:39 PM,1.25,,,
127,09/22/40 04:54:35 PM,1.26,,,
128,09/22/40 04:54:36 PM,1.27,,,
129,09/22/40 04:55:40 PM,1.28,,,
130,09/22/40 04:56:56 PM,1.29,,,
131,09/22/40 04:58:47 PM,1.30,,,
132,09/22/40 05:01:18 PM,1.31,,,
133,09/22/40 05:04:07 PM,1.32,,,
134,09/22/40 05:06:25 PM,1.33,,,
135,09/22/40 05:08:21 PM,1.34,,,
136,09/22/40 05:09:53 PM,1.35,,,
137,09/22/40 05:11:51 PM,1.36,,,
138,09/22/40 05:14:33 PM,1.37,,,
139,09/22/40 05:14:34 PM,1.38,,,
140,09/22/40 05:21:20 PM,1.39,,,
141,09/22/40 05:26:24 PM,1.40,,,
142,09/22/40 05:32:23 PM,1.41,,,
143,09/22/40 05:32:51 PM,1.42,,,
144,09/22/40 05:32:52 PM,1.43,,,
145,09/22/40 05:33:11 PM,1.44,,,
146,09/22/40 05:33:25 PM,1.45,,,
147,09/22/40 05:33:26 PM,1.46,,,
148,09/22/40 05:33:40 PM,1.47,,,
149,09/22/40 05:33:47 PM,1.48,,,
150,09/22/40 05:33:59 PM,1.49,,,
151,09/22/40 05:34:12 PM,1.50,,,
152,09/22/40 05:34:28 PM,1.51,,,
153,09/22/40 05:35:34 PM,1.52,,,
154,09/22/40 05:39:07 PM,1.53,,,
155,09/22/40 05:41:39 PM,1.54,,,
156,09/22/40 05:48:46 PM,1.55,,,
157,09/22/40 05:52:07 PM,1.56,,,
158,09/22/40 05:54:28 PM,1.57,,,
159,09/22/40 05:57:10 PM,1.58,,,
