"Plot Title: Range"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","Stopped (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
1,03/03/19 11:00:00 AM,67.735,0.00,,,,
2,03/03/19 11:15:00 AM,65.167,,,,,
3,03/03/19 11:30:00 AM,63.968,,,,,
4,03/03/19 11:45:00 AM,66.708,,,,,
5,03/03/19 12:00:00 PM,68.421,,,,,
6,03/03/19 12:15:00 PM,67.221,,,,,
7,03/03/19 12:19:24 PM,,0.01,,,,
8,03/03/19 12:26:36 PM,,0.02,,,,
9,03/03/19 12:30:00 PM,64.996,,,,,
10,03/03/19 12:32:07 PM,,0.03,,,,
11,03/03/19 12:34:19 PM,,0.04,,,,
12,03/03/19 12:35:47 PM,,0.05,,,,
13,03/03/19 12:37:12 PM,,0.06,,,,
14,03/03/19 12:39:33 PM,,0.07,,,,
15,03/03/19 12:42:29 PM,,0.08,,,,
16,03/03/19 12:45:00 PM,61.741,,,,,
17,03/03/19 12:45:46 PM,,0.09,,,,
18,03/03/19 12:48:15 PM,,0.10,,,,
19,03/03/19 12:51:43 PM,,0.11,,,,
20,03/03/19 12:54:24 PM,,0.12,,,,
21,03/03/19 12:58:33 PM,,0.13,,,,
22,03/03/19 01:00:00 PM,59.508,,,,,
23,03/03/19 01:02:54 PM,,0.14,,,,
24,03/03/19 01:15:00 PM,57.958,,,,,
25,03/03/19 01:26:12 PM,,0.15,,,,
26,03/03/19 01:30:00 PM,57.268,,,,,
27,03/03/19 01:38:43 PM,,0.16,,,,
28,03/03/19 01:45:00 PM,55.711,,,,,
29,03/03/19 01:50:05 PM,,0.17,,,,
30,03/03/19 01:55:18 PM,,0.18,,,,
31,03/03/19 01:59:52 PM,,0.19,,,,
32,03/03/19 02:00:00 PM,55.711,,,,,
33,03/03/19 02:06:59 PM,,0.20,,,,
34,03/03/19 02:15:00 PM,55.537,,,,,
35,03/03/19 02:23:25 PM,,0.21,,,,
36,03/03/19 02:30:00 PM,55.364,,,,,
37,03/03/19 02:38:25 PM,,0.22,,,,
38,03/03/19 02:45:00 PM,55.189,,,,,
39,03/03/19 03:00:00 PM,54.495,,,,,
40,03/03/19 03:05:12 PM,,0.23,,,,
41,03/03/19 03:15:00 PM,54.322,,,,,
42,03/03/19 03:22:12 PM,,0.24,,,,
43,03/03/19 03:30:00 PM,55.189,,,,,
44,03/03/19 03:45:00 PM,55.711,,,,,
45,03/03/19 04:00:00 PM,56.057,,,,,
46,03/03/19 04:15:00 PM,56.750,,,,,
47,03/03/19 04:30:00 PM,55.364,,,,,
48,03/03/19 04:45:00 PM,54.669,,,,,
49,03/03/19 05:00:00 PM,54.322,,,,,
50,03/03/19 05:15:00 PM,53.623,,,,,
51,03/03/19 05:30:00 PM,52.576,,,,,
52,03/03/19 05:45:00 PM,51.523,,,,,
