"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592078, SEN S/N: 10592078, LBL: HS)","Coupler Attached (LGR S/N: 10592078, SEN S/N: 10592078)","Stopped (LGR S/N: 10592078, SEN S/N: 10592078)","End Of File (LGR S/N: 10592078, SEN S/N: 10592078)"
1,03/25/15 08:21:55 AM,0.00,,,
2,04/05/15 08:53:52 AM,1.00,,,
3,04/05/15 08:56:03 AM,2.00,,,
4,04/05/15 08:58:26 AM,3.00,,,
5,04/05/15 09:00:11 AM,4.00,,,
6,04/05/15 09:02:03 AM,5.00,,,
7,04/05/15 09:07:19 AM,6.00,,,
8,04/07/15 01:20:42 AM,7.00,,,
9,04/07/15 01:38:27 AM,8.00,,,
10,04/07/15 01:48:38 AM,9.00,,,
11,04/07/15 02:00:25 AM,10.00,,,
12,04/07/15 02:05:08 AM,11.00,,,
13,04/07/15 02:09:59 AM,12.00,,,
14,04/07/15 02:12:24 AM,13.00,,,
15,04/07/15 02:14:44 AM,14.00,,,
16,04/07/15 02:17:25 AM,15.00,,,
17,04/07/15 02:20:09 AM,16.00,,,
18,04/07/15 02:23:21 AM,17.00,,,
19,04/07/15 02:26:03 AM,18.00,,,
20,04/07/15 02:28:01 AM,19.00,,,
21,04/07/15 02:29:31 AM,20.00,,,
22,04/07/15 02:30:28 AM,21.00,,,
23,04/07/15 02:31:03 AM,22.00,,,
24,04/07/15 02:32:43 AM,23.00,,,
25,04/07/15 02:35:57 AM,24.00,,,
26,04/07/15 02:38:56 AM,25.00,,,
27,04/07/15 02:41:01 AM,26.00,,,
28,04/07/15 02:43:38 AM,27.00,,,
29,04/07/15 02:44:35 AM,28.00,,,
30,04/07/15 02:46:02 AM,29.00,,,
31,04/07/15 02:47:20 AM,30.00,,,
32,04/07/15 02:48:34 AM,31.00,,,
33,04/07/15 02:50:18 AM,32.00,,,
34,04/07/15 02:53:29 AM,33.00,,,
35,04/07/15 02:55:44 AM,34.00,,,
36,04/07/15 02:58:46 AM,35.00,,,
37,04/07/15 02:59:57 AM,36.00,,,
38,04/07/15 03:01:10 AM,37.00,,,
39,04/07/15 03:03:23 AM,38.00,,,
40,04/07/15 03:05:21 AM,39.00,,,
41,04/07/15 03:05:54 AM,40.00,,,
42,04/07/15 03:06:38 AM,41.00,,,
43,04/07/15 03:07:52 AM,42.00,,,
44,04/07/15 03:09:06 AM,43.00,,,
45,04/07/15 03:10:31 AM,44.00,,,
46,04/07/15 03:11:48 AM,45.00,,,
47,04/07/15 03:13:09 AM,46.00,,,
48,04/07/15 03:14:58 AM,47.00,,,
49,04/07/15 03:17:59 AM,48.00,,,
50,04/07/15 03:19:38 AM,49.00,,,
51,04/07/15 03:20:43 AM,50.00,,,
52,04/07/15 03:21:35 AM,51.00,,,
53,04/07/15 03:22:39 AM,52.00,,,
54,04/07/15 03:23:33 AM,53.00,,,
55,04/07/15 03:24:21 AM,54.00,,,
56,04/07/15 03:25:18 AM,55.00,,,
57,04/07/15 03:26:46 AM,56.00,,,
58,04/07/15 03:28:20 AM,57.00,,,
59,04/07/15 03:33:47 AM,58.00,,,
60,04/07/15 03:42:15 AM,59.00,,,
61,04/07/15 03:44:00 AM,60.00,,,
62,04/07/15 03:46:39 AM,61.00,,,
63,04/07/15 03:50:10 AM,62.00,,,
64,04/07/15 03:53:06 AM,63.00,,,
65,04/07/15 03:54:58 AM,64.00,,,
66,04/07/15 03:58:51 AM,65.00,,,
67,04/07/15 04:00:58 AM,66.00,,,
68,04/07/15 04:02:26 AM,67.00,,,
69,04/07/15 04:03:36 AM,68.00,,,
70,04/07/15 04:04:27 AM,69.00,,,
71,04/07/15 04:04:56 AM,70.00,,,
72,04/07/15 04:05:18 AM,71.00,,,
73,04/07/15 04:05:45 AM,72.00,,,
74,04/07/15 04:06:11 AM,73.00,,,
75,04/07/15 04:06:40 AM,74.00,,,
76,04/07/15 04:07:25 AM,75.00,,,
77,04/07/15 04:08:02 AM,76.00,,,
78,04/07/15 04:08:43 AM,77.00,,,
79,04/07/15 04:09:31 AM,78.00,,,
80,04/07/15 04:10:54 AM,79.00,,,
81,04/07/15 04:12:29 AM,80.00,,,
82,04/07/15 04:13:54 AM,81.00,,,
83,04/07/15 04:15:18 AM,82.00,,,
84,04/07/15 04:17:27 AM,83.00,,,
85,04/07/15 04:20:21 AM,84.00,,,
86,04/07/15 04:23:12 AM,85.00,,,
87,04/07/15 04:25:54 AM,86.00,,,
88,04/07/15 04:28:33 AM,87.00,,,
89,04/07/15 04:31:08 AM,88.00,,,
90,04/07/15 04:33:07 AM,89.00,,,
91,04/07/15 04:34:54 AM,90.00,,,
92,04/07/15 04:36:17 AM,91.00,,,
93,04/07/15 04:37:22 AM,92.00,,,
94,04/07/15 04:38:08 AM,93.00,,,
95,04/07/15 04:38:48 AM,94.00,,,
96,04/07/15 04:40:10 AM,95.00,,,
97,04/07/15 04:42:18 AM,96.00,,,
98,04/07/15 04:44:53 AM,97.00,,,
99,04/07/15 04:47:20 AM,98.00,,,
100,04/07/15 05:02:28 AM,99.00,,,
101,04/07/15 06:45:01 AM,100.00,,,
102,04/07/15 07:09:16 AM,101.00,,,
103,04/08/15 02:38:45 AM,102.00,,,
104,04/08/15 04:39:09 AM,103.00,,,
105,04/08/15 05:06:38 AM,104.00,,,
106,04/20/15 05:54:00 AM,105.00,,,
107,04/21/15 08:21:59 AM,106.00,,,
108,04/21/15 11:23:46 PM,107.00,,,
109,04/21/15 11:59:02 PM,108.00,,,
110,04/22/15 12:29:40 AM,109.00,,,
111,04/22/15 02:23:12 AM,110.00,,,
112,04/22/15 06:46:23 AM,111.00,,,
113,04/24/15 10:20:51 PM,112.00,,,
114,04/24/15 10:23:46 PM,113.00,,,
