"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,01/22/18 12:04:55 PM,56.057,0.00,,,,
2,01/22/18 12:05:04 PM,,,Logged,,,
3,01/22/18 01:04:55 PM,58.993,,,,,
4,01/22/18 02:04:55 PM,53.798,,,,,
5,01/22/18 03:04:55 PM,54.147,,,,,
6,01/22/18 04:04:55 PM,53.449,,,,,
7,01/22/18 05:04:55 PM,49.404,,,,,
8,01/22/18 06:04:55 PM,46.369,,,,,
9,01/22/18 07:04:55 PM,44.922,,,,,
10,01/22/18 08:04:55 PM,44.195,,,,,
11,01/22/18 09:04:55 PM,43.648,,,,,
12,01/22/18 10:04:55 PM,43.648,,,,,
13,01/22/18 11:04:55 PM,43.282,,,,,
14,01/23/18 12:04:55 AM,42.732,,,,,
15,01/23/18 01:04:55 AM,42.548,,,,,
16,01/23/18 02:04:55 AM,42.548,,,,,
17,01/23/18 03:04:55 AM,42.548,,,,,
18,01/23/18 04:04:55 AM,42.732,,,,,
19,01/23/18 05:04:55 AM,42.732,,,,,
20,01/23/18 06:04:55 AM,42.548,,,,,
21,01/23/18 07:04:55 AM,42.732,,,,,
22,01/23/18 08:04:55 AM,42.915,,,,,
23,01/23/18 09:04:55 AM,44.195,,,,,
24,01/23/18 10:04:55 AM,47.446,,,,,
25,01/23/18 11:04:55 AM,49.937,,,,,
26,01/23/18 12:04:55 PM,55.189,,,,,
27,01/23/18 01:04:55 PM,60.883,,,,,
28,01/23/18 02:04:55 PM,57.958,,,,,
29,01/23/18 03:04:55 PM,55.711,,,,,
30,01/23/18 04:04:55 PM,53.449,,,,,
31,01/23/18 05:04:55 PM,50.819,,,,,
32,01/23/18 06:04:55 PM,48.160,,,,,
33,01/23/18 07:04:55 PM,47.088,,,,,
34,01/23/18 08:04:55 PM,46.548,,,,,
35,01/23/18 09:04:55 PM,45.828,,,,,
36,01/23/18 10:04:55 PM,45.466,,,,,
37,01/23/18 11:04:55 PM,44.742,,,,,
38,01/24/18 12:04:55 AM,44.560,,,,,
39,01/24/18 01:04:55 AM,44.560,,,,,
40,01/24/18 02:04:55 AM,44.379,,,,,
41,01/24/18 03:04:55 AM,44.195,,,,,
42,01/24/18 04:04:55 AM,44.013,,,,,
43,01/24/18 05:04:55 AM,44.379,,,,,
44,01/24/18 06:04:55 AM,44.195,,,,,
45,01/24/18 07:04:55 AM,44.195,,,,,
46,01/24/18 08:04:55 AM,44.742,,,,,
47,01/24/18 09:04:55 AM,47.802,,,,,
48,01/24/18 10:04:55 AM,50.466,,,,,
49,01/24/18 11:04:55 AM,53.623,,,,,
50,01/24/18 12:04:55 PM,57.268,,,,,
51,01/24/18 01:04:55 PM,58.303,,,,,
52,01/24/18 02:04:55 PM,54.322,,,,,
53,01/24/18 02:58:18 PM,,0.01,,,,
54,01/24/18 03:04:55 PM,52.750,,,,,
55,01/24/18 03:12:33 PM,,0.02,,,,
56,01/24/18 03:16:32 PM,,0.03,,,,
57,01/24/18 03:19:50 PM,,0.04,,,,
58,01/24/18 03:20:55 PM,,0.05,,,,
59,01/24/18 03:21:40 PM,,0.06,,,,
60,01/24/18 03:22:05 PM,,0.07,,,,
61,01/24/18 03:22:49 PM,,0.08,,,,
62,01/24/18 03:23:29 PM,,0.09,,,,
63,01/24/18 03:24:27 PM,,0.10,,,,
64,01/24/18 03:25:08 PM,,0.11,,,,
65,01/24/18 03:26:15 PM,,0.12,,,,
66,01/24/18 03:27:27 PM,,0.13,,,,
67,01/24/18 03:31:29 PM,,0.14,,,,
68,01/24/18 03:36:50 PM,,0.15,,,,
69,01/24/18 03:46:03 PM,,0.16,,,,
70,01/24/18 03:50:16 PM,,0.17,,,,
71,01/24/18 03:57:10 PM,,0.18,,,,
72,01/24/18 04:04:01 PM,,0.19,,,,
73,01/24/18 04:04:55 PM,49.937,,,,,
74,01/24/18 04:10:47 PM,,0.20,,,,
75,01/24/18 04:15:10 PM,,0.21,,,,
76,01/24/18 04:22:04 PM,,0.22,,,,
77,01/24/18 04:34:38 PM,,0.23,,,,
78,01/24/18 05:04:55 PM,48.339,,,,,
79,01/24/18 05:47:45 PM,,0.24,,,,
80,01/24/18 06:00:42 PM,,0.25,,,,
81,01/24/18 06:04:55 PM,47.446,,,,,
82,01/24/18 06:14:35 PM,,0.26,,,,
83,01/24/18 06:23:52 PM,,0.27,,,,
84,01/24/18 06:32:17 PM,,0.28,,,,
85,01/24/18 06:37:39 PM,,0.29,,,,
86,01/24/18 06:44:29 PM,,0.30,,,,
87,01/24/18 06:48:32 PM,,0.31,,,,
88,01/24/18 06:53:45 PM,,0.32,,,,
89,01/24/18 06:58:16 PM,,0.33,,,,
90,01/24/18 07:02:41 PM,,0.34,,,,
91,01/24/18 07:04:55 PM,47.088,,,,,
92,01/24/18 07:05:34 PM,,0.35,,,,
93,01/24/18 07:09:28 PM,,0.36,,,,
94,01/24/18 07:13:33 PM,,0.37,,,,
95,01/24/18 07:19:10 PM,,0.38,,,,
96,01/24/18 07:23:21 PM,,0.39,,,,
97,01/24/18 07:31:50 PM,,0.40,,,,
98,01/24/18 07:41:45 PM,,0.41,,,,
99,01/24/18 08:04:55 PM,47.266,,,,,
100,01/24/18 08:34:23 PM,,0.42,,,,
101,01/24/18 09:04:55 PM,47.624,,,,,
102,01/24/18 09:37:27 PM,,0.43,,,,
103,01/24/18 09:58:26 PM,,0.44,,,,
104,01/24/18 10:04:55 PM,47.802,,,,,
105,01/24/18 10:10:41 PM,,0.45,,,,
106,01/24/18 10:22:06 PM,,0.46,,,,
107,01/24/18 10:24:40 PM,,0.47,,,,
108,01/24/18 10:38:07 PM,,0.48,,,,
109,01/24/18 10:51:57 PM,,0.49,,,,
110,01/24/18 10:54:42 PM,,0.50,,,,
111,01/24/18 10:55:23 PM,,0.51,,,,
112,01/24/18 10:55:54 PM,,0.52,,,,
113,01/24/18 10:56:37 PM,,0.53,,,,
114,01/24/18 11:04:55 PM,48.339,,,,,
115,01/24/18 11:07:00 PM,,0.54,,,,
116,01/25/18 12:04:55 AM,47.446,,,,,
117,01/25/18 01:04:55 AM,44.742,,,,,
118,01/25/18 02:04:55 AM,43.648,,,,,
119,01/25/18 03:04:55 AM,43.466,,,,,
120,01/25/18 04:04:55 AM,41.994,,,,,
121,01/25/18 05:04:55 AM,41.439,,,,,
122,01/25/18 06:04:55 AM,41.625,,,,,
123,01/25/18 07:04:55 AM,41.810,,,,,
124,01/25/18 07:29:58 AM,,0.55,,,,
125,01/25/18 08:04:55 AM,42.548,,,,,
126,01/25/18 09:04:55 AM,43.466,,,,,
127,01/25/18 09:52:53 AM,,0.56,,,,
128,01/25/18 10:04:55 AM,46.369,,,,,
129,01/25/18 11:04:55 AM,49.228,,,,,
130,01/25/18 12:04:55 PM,52.050,,,,,
131,01/25/18 01:04:55 PM,54.842,,,,,
132,01/25/18 01:47:51 PM,,0.57,,,,
133,01/25/18 02:04:55 PM,52.401,,,,,
134,01/25/18 03:04:55 PM,50.643,,,,,
135,01/25/18 04:04:55 PM,49.050,,,,,
136,01/25/18 05:04:55 PM,46.908,,,,,
137,01/25/18 05:52:18 PM,,0.58,,,,
138,01/25/18 05:54:16 PM,,0.59,,,,
139,01/25/18 05:55:57 PM,,0.60,,,,
140,01/25/18 05:58:05 PM,,0.61,,,,
141,01/25/18 05:59:01 PM,,0.62,,,,
142,01/25/18 06:00:17 PM,,0.63,,,,
143,01/25/18 06:04:55 PM,45.648,,,,,
144,01/25/18 07:04:55 PM,43.648,,,,,
145,01/25/18 08:04:55 PM,42.915,,,,,
146,01/25/18 09:04:55 PM,42.732,,,,,
147,01/25/18 10:04:55 PM,41.994,,,,,
148,01/25/18 11:04:55 PM,42.548,,,,,
149,01/26/18 12:04:55 AM,42.548,,,,,
150,01/26/18 01:04:55 AM,43.099,,,,,
151,01/26/18 02:04:55 AM,42.732,,,,,
152,01/26/18 03:04:55 AM,42.179,,,,,
153,01/26/18 04:04:55 AM,41.439,,,,,
154,01/26/18 05:04:55 AM,40.881,,,,,
155,01/26/18 06:00:11 AM,,0.64,,,,
156,01/26/18 06:04:55 AM,40.509,,,,,
157,01/26/18 07:04:55 AM,40.134,,,,,
