"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Bad Battery (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,11/19/13 02:18:44 PM,0.00,,,,,
2,11/19/13 02:18:45 PM,,Logged,,,,
3,11/19/13 02:18:54 PM,,,Logged,,,
4,11/19/13 04:45:29 PM,0.01,,,,,
5,11/19/13 05:04:09 PM,0.02,,,,,
6,11/19/13 05:04:10 PM,0.03,,,,,
7,11/19/13 05:34:17 PM,0.04,,,,,
8,11/19/13 05:42:55 PM,0.05,,,,,
9,11/19/13 05:42:56 PM,0.06,,,,,
10,11/19/13 05:53:45 PM,0.07,,,,,
11,11/19/13 05:53:46 PM,0.08,,,,,
12,11/19/13 05:59:22 PM,0.09,,,,,
13,11/19/13 06:03:32 PM,0.10,,,,,
14,11/19/13 06:06:37 PM,0.11,,,,,
15,11/19/13 06:14:41 PM,0.12,,,,,
16,11/19/13 06:24:45 PM,0.13,,,,,
17,11/19/13 06:37:56 PM,0.14,,,,,
18,11/19/13 07:03:30 PM,0.15,,,,,
19,11/19/13 07:16:20 PM,0.16,,,,,
20,11/19/13 07:16:21 PM,0.17,,,,,
21,11/19/13 07:28:24 PM,0.18,,,,,
22,11/19/13 07:28:25 PM,0.19,,,,,
23,11/19/13 07:45:09 PM,0.20,,,,,
24,11/19/13 07:45:10 PM,0.21,,,,,
25,11/19/13 08:10:15 PM,0.22,,,,,
26,11/19/13 08:21:05 PM,0.23,,,,,
27,11/19/13 08:26:10 PM,0.24,,,,,
28,11/19/13 08:36:59 PM,0.25,,,,,
29,11/19/13 08:37:00 PM,0.26,,,,,
30,11/19/13 08:49:10 PM,0.27,,,,,
31,11/19/13 08:50:41 PM,0.28,,,,,
32,11/19/13 08:50:42 PM,0.29,,,,,
33,11/19/13 08:53:21 PM,0.30,,,,,
34,11/19/13 08:53:22 PM,0.31,,,,,
35,11/19/13 08:57:00 PM,0.32,,,,,
36,11/19/13 09:01:30 PM,0.33,,,,,
37,11/19/13 09:06:00 PM,0.34,,,,,
38,11/19/13 09:08:54 PM,0.35,,,,,
39,11/19/13 09:11:00 PM,0.36,,,,,
40,11/19/13 09:15:17 PM,0.37,,,,,
41,11/19/13 09:22:12 PM,0.38,,,,,
42,11/19/13 09:29:39 PM,0.39,,,,,
43,11/19/13 09:37:54 PM,0.40,,,,,
44,11/19/13 09:45:32 PM,0.41,,,,,
45,11/19/13 09:52:29 PM,0.42,,,,,
46,11/19/13 09:58:40 PM,0.43,,,,,
47,11/19/13 10:02:56 PM,0.44,,,,,
48,11/19/13 10:10:22 PM,0.45,,,,,
49,11/19/13 10:23:05 PM,0.46,,,,,
50,11/19/13 10:41:17 PM,0.47,,,,,
51,11/19/13 10:51:30 PM,0.48,,,,,
52,11/19/13 11:03:47 PM,0.49,,,,,
53,11/19/13 11:08:19 PM,0.50,,,,,
54,11/19/13 11:13:44 PM,0.51,,,,,
55,11/19/13 11:17:16 PM,0.52,,,,,
56,11/19/13 11:18:44 PM,0.53,,,,,
57,11/19/13 11:19:24 PM,0.54,,,,,
58,11/19/13 11:20:27 PM,0.55,,,,,
59,11/19/13 11:21:35 PM,0.56,,,,,
60,11/19/13 11:23:35 PM,0.57,,,,,
61,11/19/13 11:26:01 PM,0.58,,,,,
62,11/19/13 11:26:02 PM,0.59,,,,,
63,11/19/13 11:27:20 PM,0.60,,,,,
64,11/19/13 11:28:43 PM,0.61,,,,,
65,11/19/13 11:30:28 PM,0.62,,,,,
66,11/19/13 11:31:34 PM,0.63,,,,,
67,11/19/13 11:33:26 PM,0.64,,,,,
68,11/19/13 11:33:27 PM,0.65,,,,,
69,11/19/13 11:35:35 PM,0.66,,,,,
70,11/19/13 11:38:03 PM,0.67,,,,,
71,11/19/13 11:41:14 PM,0.68,,,,,
72,11/19/13 11:46:50 PM,0.69,,,,,
73,11/19/13 11:52:40 PM,0.70,,,,,
74,11/20/13 12:05:56 AM,0.71,,,,,
75,11/20/13 12:17:32 AM,0.72,,,,,
76,11/20/13 12:19:21 AM,0.73,,,,,
77,11/20/13 12:19:22 AM,0.74,,,,,
78,11/20/13 12:20:37 AM,0.75,,,,,
79,11/20/13 12:21:46 AM,0.76,,,,,
80,11/20/13 12:22:55 AM,0.77,,,,,
81,11/20/13 12:23:54 AM,0.78,,,,,
82,11/20/13 12:24:43 AM,0.79,,,,,
83,11/20/13 12:25:37 AM,0.80,,,,,
84,11/20/13 12:27:41 AM,0.81,,,,,
85,11/20/13 12:30:47 AM,0.82,,,,,
86,11/20/13 12:35:05 AM,0.83,,,,,
87,11/20/13 12:39:13 AM,0.84,,,,,
88,11/20/13 12:41:59 AM,0.85,,,,,
89,11/20/13 12:43:55 AM,0.86,,,,,
90,11/20/13 12:45:17 AM,0.87,,,,,
91,11/20/13 12:48:11 AM,0.88,,,,,
92,11/20/13 12:48:12 AM,0.89,,,,,
93,11/20/13 12:50:32 AM,0.90,,,,,
94,11/20/13 12:52:33 AM,0.91,,,,,
95,11/20/13 12:54:42 AM,0.92,,,,,
96,11/20/13 12:57:04 AM,0.93,,,,,
97,11/20/13 01:00:57 AM,0.94,,,,,
98,11/20/13 01:00:58 AM,0.95,,,,,
99,11/20/13 01:04:22 AM,0.96,,,,,
100,11/20/13 01:09:04 AM,0.97,,,,,
101,11/20/13 01:10:54 AM,0.98,,,,,
102,11/20/13 01:11:46 AM,0.99,,,,,
103,11/20/13 01:14:12 AM,1.00,,,,,
104,11/20/13 01:20:09 AM,1.01,,,,,
105,11/20/13 01:26:11 AM,1.02,,,,,
106,11/20/13 01:26:12 AM,1.03,,,,,
107,11/20/13 01:32:32 AM,1.04,,,,,
108,11/20/13 01:51:01 AM,1.05,,,,,
109,11/20/13 02:05:01 AM,1.06,,,,,
110,11/20/13 03:05:51 AM,1.07,,,,,
111,11/20/13 03:49:07 AM,1.08,,,,,
112,11/20/13 04:14:12 AM,1.09,,,,,
113,11/20/13 05:12:15 AM,1.10,,,,,
114,11/20/13 06:00:45 AM,1.11,,,,,
115,11/20/13 06:09:41 AM,1.12,,,,,
116,11/20/13 06:09:42 AM,1.13,,,,,
117,11/20/13 06:21:10 AM,1.14,,,,,
118,11/20/13 06:32:52 AM,1.15,,,,,
119,11/20/13 06:59:04 AM,1.16,,,,,
120,11/20/13 07:31:52 AM,1.17,,,,,
121,11/20/13 09:00:08 AM,1.18,,,,,
