"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","Host Connected (LGR S/N: 10592076, SEN S/N: 10592076)","Stopped (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
1,01/12/19 10:00:00 AM,69.449,0.00,,,,
2,01/12/19 11:00:00 AM,72.372,,,,,
3,01/12/19 12:00:00 PM,75.659,,,,,
4,01/12/19 01:00:00 PM,71.683,,,,,
5,01/12/19 02:00:00 PM,59.508,,,,,
6,01/12/19 03:00:00 PM,56.404,,,,,
7,01/12/19 04:00:00 PM,60.195,,,,,
8,01/12/19 05:00:00 PM,56.750,,,,,
9,01/12/19 06:00:00 PM,52.050,,,,,
10,01/12/19 07:00:00 PM,51.346,,,,,
11,01/12/19 08:00:00 PM,49.050,,,,,
12,01/12/19 09:00:00 PM,49.759,,,,,
13,01/12/19 10:00:00 PM,46.548,,,,,
14,01/12/19 11:00:00 PM,46.008,,,,,
15,01/13/19 12:00:00 AM,47.446,,,,,
16,01/13/19 01:00:00 AM,48.871,,,,,
17,01/13/19 02:00:00 AM,49.050,,,,,
18,01/13/19 02:43:32 AM,,0.01,,,,
19,01/13/19 03:00:00 AM,49.228,,,,,
20,01/13/19 04:00:00 AM,46.188,,,,,
21,01/13/19 05:00:00 AM,45.466,,,,,
22,01/13/19 06:00:00 AM,46.188,,,,,
23,01/13/19 07:00:00 AM,47.088,,,,,
24,01/13/19 08:00:00 AM,49.404,,,,,
25,01/13/19 09:00:00 AM,52.401,,,,,
26,01/13/19 10:00:00 AM,60.539,,,,,
27,01/13/19 11:00:00 AM,62.769,,,,,
28,01/13/19 12:00:00 PM,62.769,,,,,
29,01/13/19 01:00:00 PM,63.282,,,,,
30,01/13/19 02:00:00 PM,66.708,,,,,
31,01/13/19 03:00:00 PM,66.879,,,,,
32,01/13/19 04:00:00 PM,56.230,,,,,
33,01/13/19 05:00:00 PM,52.050,,,,,
34,01/13/19 06:00:00 PM,50.995,,,,,
35,01/13/19 07:00:00 PM,50.643,,,,,
36,01/13/19 08:00:00 PM,51.346,,,,,
37,01/13/19 09:00:00 PM,53.449,,,,,
38,01/13/19 10:00:00 PM,53.274,,,,,
39,01/13/19 11:00:00 PM,53.449,,,,,
40,01/14/19 12:00:00 AM,53.623,,,,,
41,01/14/19 01:00:00 AM,53.274,,,,,
42,01/14/19 02:00:00 AM,53.798,,,,,
43,01/14/19 03:00:00 AM,54.322,,,,,
44,01/14/19 04:00:00 AM,54.147,,,,,
45,01/14/19 05:00:00 AM,54.322,,,,,
46,01/14/19 05:52:39 AM,,0.02,,,,
47,01/14/19 06:00:00 AM,50.819,,,,,
48,01/14/19 07:00:00 AM,49.759,,,,,
49,01/14/19 07:47:40 AM,,0.03,,,,
50,01/14/19 08:00:00 AM,49.582,,,,,
51,01/14/19 08:17:27 AM,,0.04,,,,
52,01/14/19 08:35:12 AM,,0.05,,,,
53,01/14/19 08:46:13 AM,,0.06,,,,
54,01/14/19 08:57:55 AM,,0.07,,,,
55,01/14/19 09:00:00 AM,49.050,,,,,
56,01/14/19 09:02:46 AM,,0.08,,,,
57,01/14/19 09:02:47 AM,,0.09,,,,
58,01/14/19 10:00:00 AM,50.466,,,,,
59,01/14/19 11:00:00 AM,53.100,,,,,
60,01/14/19 12:00:00 PM,55.189,,,,,
61,01/14/19 01:00:00 PM,56.230,,,,,
62,01/14/19 02:00:00 PM,53.274,,,,,
63,01/14/19 02:15:06 PM,,0.10,,,,
64,01/14/19 02:29:28 PM,,0.11,,,,
65,01/14/19 02:31:42 PM,,0.12,,,,
66,01/14/19 02:34:10 PM,,0.13,,,,
67,01/14/19 02:36:44 PM,,0.14,,,,
68,01/14/19 02:38:42 PM,,0.15,,,,
69,01/14/19 02:41:09 PM,,0.16,,,,
70,01/14/19 02:44:15 PM,,0.17,,,,
71,01/14/19 02:47:48 PM,,0.18,,,,
72,01/14/19 02:50:36 PM,,0.19,,,,
73,01/14/19 02:52:39 PM,,0.20,,,,
74,01/14/19 02:55:08 PM,,0.21,,,,
75,01/14/19 02:58:45 PM,,0.22,,,,
76,01/14/19 03:00:00 PM,49.937,,,,,
77,01/14/19 03:02:43 PM,,0.23,,,,
78,01/14/19 03:02:44 PM,,0.24,,,,
79,01/14/19 03:05:15 PM,,0.25,,,,
80,01/14/19 03:07:08 PM,,0.26,,,,
81,01/14/19 03:08:46 PM,,0.27,,,,
82,01/14/19 03:12:55 PM,,0.28,,,,
83,01/14/19 03:20:05 PM,,0.29,,,,
84,01/14/19 03:23:11 PM,,0.30,,,,
85,01/14/19 03:23:12 PM,,0.31,,,,
86,01/14/19 04:00:00 PM,52.225,,,,,
87,01/14/19 04:54:27 PM,,0.32,,,,
88,01/14/19 04:55:42 PM,,0.33,,,,
89,01/14/19 05:00:00 PM,49.759,,,,,
90,01/14/19 06:00:00 PM,47.982,,,,,
91,01/14/19 07:00:00 PM,47.446,,,,,
92,01/14/19 08:00:00 PM,46.548,,,,,
93,01/14/19 09:00:00 PM,46.728,,,,,
94,01/14/19 10:00:00 PM,46.548,,,,,
95,01/14/19 11:00:00 PM,48.160,,,,,
96,01/15/19 12:00:00 AM,48.517,,,,,
97,01/15/19 12:00:01 AM,,0.34,,,,
98,01/15/19 12:12:59 AM,,0.35,,,,
99,01/15/19 12:22:40 AM,,0.36,,,,
100,01/15/19 12:28:28 AM,,0.37,,,,
101,01/15/19 12:31:25 AM,,0.38,,,,
102,01/15/19 12:33:44 AM,,0.39,,,,
103,01/15/19 12:36:04 AM,,0.40,,,,
104,01/15/19 12:38:24 AM,,0.41,,,,
105,01/15/19 12:40:40 AM,,0.42,,,,
106,01/15/19 12:43:23 AM,,0.43,,,,
