"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Detached (LGR S/N: 10592083, SEN S/N: 10592083)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
121,01/05/16 02:02:00 AM,1.19,,,,
122,01/05/16 02:04:55 AM,1.20,,,,
123,01/05/16 02:08:30 AM,1.21,,,,
124,01/05/16 02:10:23 AM,1.22,,,,
125,01/05/16 02:12:40 AM,1.23,,,,
126,01/05/16 02:14:35 AM,1.24,,,,
127,01/05/16 02:15:56 AM,1.25,,,,
128,01/05/16 02:17:28 AM,1.26,,,,
129,01/05/16 02:19:59 AM,1.27,,,,
130,01/05/16 02:21:48 AM,1.28,,,,
131,01/05/16 02:23:24 AM,1.29,,,,
132,01/05/16 02:25:33 AM,1.30,,,,
133,01/05/16 02:28:52 AM,1.31,,,,
134,01/05/16 02:32:16 AM,1.32,,,,
135,01/05/16 02:35:07 AM,1.33,,,,
136,01/05/16 02:37:58 AM,1.34,,,,
137,01/05/16 02:40:10 AM,1.35,,,,
138,01/05/16 02:42:45 AM,1.36,,,,
139,01/05/16 02:45:36 AM,1.37,,,,
140,01/05/16 02:51:45 AM,1.38,,,,
141,01/05/16 03:00:28 AM,1.39,,,,
142,01/05/16 03:04:12 AM,1.40,,,,
143,01/05/16 03:07:01 AM,1.41,,,,
144,01/05/16 03:10:29 AM,1.42,,,,
145,01/05/16 03:12:30 AM,1.43,,,,
146,01/05/16 03:15:04 AM,1.44,,,,
147,01/05/16 03:17:12 AM,1.45,,,,
148,01/05/16 03:19:18 AM,1.46,,,,
149,01/05/16 03:21:09 AM,1.47,,,,
150,01/05/16 03:23:04 AM,1.48,,,,
151,01/05/16 03:24:31 AM,1.49,,,,
152,01/05/16 03:26:13 AM,1.50,,,,
153,01/05/16 03:27:52 AM,1.51,,,,
154,01/05/16 03:29:43 AM,1.52,,,,
155,01/05/16 03:31:28 AM,1.53,,,,
156,01/05/16 03:33:32 AM,1.54,,,,
157,01/05/16 03:35:10 AM,1.55,,,,
158,01/05/16 03:36:39 AM,1.56,,,,
159,01/05/16 03:38:04 AM,1.57,,,,
160,01/05/16 03:40:18 AM,1.58,,,,
161,01/05/16 03:42:36 AM,1.59,,,,
162,01/05/16 03:44:39 AM,1.60,,,,
163,01/05/16 03:45:29 AM,1.61,,,,
164,01/05/16 03:46:47 AM,1.62,,,,
165,01/05/16 03:47:23 AM,1.63,,,,
166,01/05/16 03:47:57 AM,1.64,,,,
167,01/05/16 03:48:40 AM,1.65,,,,
168,01/05/16 03:49:37 AM,1.66,,,,
169,01/05/16 03:50:12 AM,1.67,,,,
170,01/05/16 03:50:45 AM,1.68,,,,
171,01/05/16 03:51:17 AM,1.69,,,,
172,01/05/16 03:52:15 AM,1.70,,,,
173,01/05/16 03:53:09 AM,1.71,,,,
174,01/05/16 03:54:08 AM,1.72,,,,
175,01/05/16 03:54:40 AM,1.73,,,,
176,01/05/16 03:55:03 AM,1.74,,,,
177,01/05/16 03:55:39 AM,1.75,,,,
