"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,03/12/18 02:55:26 PM,64.996,0.00,,,,
2,03/12/18 02:55:43 PM,,,Logged,,,
3,03/12/18 03:27:23 PM,,0.01,,,,
4,03/12/18 03:29:52 PM,,0.02,,,,
5,03/12/18 03:32:49 PM,,0.03,,,,
6,03/12/18 03:42:00 PM,,0.04,,,,
7,03/12/18 03:49:24 PM,,0.05,,,,
8,03/12/18 03:53:14 PM,,0.06,,,,
9,03/12/18 03:54:33 PM,,0.07,,,,
10,03/12/18 03:55:26 PM,57.785,,,,,
11,03/12/18 03:56:36 PM,,0.08,,,,
12,03/12/18 03:58:18 PM,,0.09,,,,
13,03/12/18 04:00:14 PM,,0.10,,,,
14,03/12/18 04:04:28 PM,,0.11,,,,
15,03/12/18 04:09:24 PM,,0.12,,,,
16,03/12/18 04:11:14 PM,,0.13,,,,
17,03/12/18 04:12:53 PM,,0.14,,,,
18,03/12/18 04:13:50 PM,,0.15,,,,
19,03/12/18 04:15:20 PM,,0.16,,,,
20,03/12/18 04:16:37 PM,,0.17,,,,
21,03/12/18 04:17:29 PM,,0.18,,,,
22,03/12/18 04:18:41 PM,,0.19,,,,
23,03/12/18 04:20:07 PM,,0.20,,,,
24,03/12/18 04:21:04 PM,,0.21,,,,
25,03/12/18 04:22:18 PM,,0.22,,,,
26,03/12/18 04:23:10 PM,,0.23,,,,
27,03/12/18 04:24:05 PM,,0.24,,,,
28,03/12/18 04:24:35 PM,,0.25,,,,
29,03/12/18 04:25:23 PM,,0.26,,,,
30,03/12/18 04:26:24 PM,,0.27,,,,
31,03/12/18 04:28:24 PM,,0.28,,,,
32,03/12/18 04:29:36 PM,,0.29,,,,
33,03/12/18 04:30:56 PM,,0.30,,,,
34,03/12/18 04:32:02 PM,,0.31,,,,
35,03/12/18 04:33:45 PM,,0.32,,,,
36,03/12/18 04:37:45 PM,,0.33,,,,
37,03/12/18 04:40:04 PM,,0.34,,,,
38,03/12/18 04:40:55 PM,,0.35,,,,
39,03/12/18 04:43:06 PM,,0.36,,,,
40,03/12/18 04:45:26 PM,,0.37,,,,
41,03/12/18 04:48:38 PM,,0.38,,,,
42,03/12/18 04:49:29 PM,,0.39,,,,
43,03/12/18 04:50:27 PM,,0.40,,,,
44,03/12/18 04:50:58 PM,,0.41,,,,
45,03/12/18 04:51:45 PM,,0.42,,,,
46,03/12/18 04:52:56 PM,,0.43,,,,
47,03/12/18 04:54:05 PM,,0.44,,,,
48,03/12/18 04:54:40 PM,,0.45,,,,
49,03/12/18 04:55:16 PM,,0.46,,,,
50,03/12/18 04:55:26 PM,55.884,,,,,
51,03/12/18 04:56:09 PM,,0.47,,,,
52,03/12/18 04:57:35 PM,,0.48,,,,
53,03/12/18 04:58:20 PM,,0.49,,,,
54,03/12/18 04:59:55 PM,,0.50,,,,
55,03/12/18 05:01:19 PM,,0.51,,,,
56,03/12/18 05:02:57 PM,,0.52,,,,
57,03/12/18 05:03:55 PM,,0.53,,,,
58,03/12/18 05:05:24 PM,,0.54,,,,
59,03/12/18 05:06:13 PM,,0.55,,,,
60,03/12/18 05:07:52 PM,,0.56,,,,
61,03/12/18 05:09:34 PM,,0.57,,,,
62,03/12/18 05:11:20 PM,,0.58,,,,
