"Plot Title: RLNF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Detached (LGR S/N: 10592085, SEN S/N: 10592085)","Stopped (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,11/18/14 01:06:31 PM,0.00,,,,
2,11/19/14 06:05:57 AM,0.01,,,,
3,11/19/14 06:12:08 AM,0.02,,,,
4,11/19/14 06:27:56 AM,0.03,,,,
5,11/19/14 06:35:15 AM,0.04,,,,
6,11/19/14 06:50:30 AM,0.05,,,,
7,11/19/14 06:50:31 AM,0.06,,,,
8,11/19/14 06:54:17 AM,0.07,,,,
9,11/19/14 07:13:20 AM,0.08,,,,
10,11/19/14 07:13:21 AM,0.09,,,,
11,11/19/14 07:32:20 AM,0.10,,,,
12,11/19/14 08:40:45 AM,0.11,,,,
13,11/19/14 08:40:46 AM,0.12,,,,
14,11/19/14 10:16:04 AM,0.13,,,,
15,11/19/14 10:18:08 AM,0.14,,,,
16,11/19/14 10:19:22 AM,0.15,,,,
17,11/19/14 10:20:44 AM,0.16,,,,
18,11/19/14 10:24:53 AM,0.17,,,,
19,11/19/14 10:37:49 AM,0.18,,,,
20,11/19/14 10:44:15 AM,0.19,,,,
21,11/19/14 10:50:40 AM,0.20,,,,
22,11/19/14 10:56:52 AM,0.21,,,,
23,11/19/14 11:00:04 AM,0.22,,,,
24,11/19/14 11:03:36 AM,0.23,,,,
25,11/19/14 11:03:37 AM,0.24,,,,
26,11/19/14 11:09:55 AM,0.25,,,,
27,11/19/14 11:11:55 AM,0.26,,,,
28,11/19/14 11:14:36 AM,0.27,,,,
29,11/19/14 11:14:37 AM,0.28,,,,
30,11/19/14 11:16:22 AM,0.29,,,,
31,11/19/14 11:16:23 AM,0.30,,,,
32,11/19/14 11:19:05 AM,0.31,,,,
33,11/19/14 11:20:16 AM,0.32,,,,
