"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,03/01/11 10:32:19 AM,0.00,,,,
2,03/01/11 10:32:32 AM,,Logged,,,
3,03/01/11 10:01:36 PM,0.01,,,,
4,03/01/11 10:25:26 PM,0.02,,,,
5,03/01/11 10:51:50 PM,0.03,,,,
6,03/02/11 12:12:18 AM,0.04,,,,
7,03/02/11 12:19:11 AM,0.05,,,,
8,03/02/11 12:21:39 AM,0.06,,,,
9,03/02/11 12:21:40 AM,0.07,,,,
10,03/02/11 12:25:20 AM,0.08,,,,
11,03/02/11 12:25:21 AM,0.09,,,,
12,03/02/11 12:29:37 AM,0.10,,,,
13,03/02/11 12:34:42 AM,0.11,,,,
14,03/02/11 12:38:43 AM,0.12,,,,
15,03/02/11 12:43:35 AM,0.13,,,,
16,03/02/11 12:46:44 AM,0.14,,,,
17,03/02/11 12:49:06 AM,0.15,,,,
18,03/02/11 12:52:22 AM,0.16,,,,
19,03/02/11 12:56:36 AM,0.17,,,,
20,03/02/11 01:01:56 AM,0.18,,,,
21,03/02/11 01:06:02 AM,0.19,,,,
22,03/02/11 01:08:11 AM,0.20,,,,
23,03/02/11 01:10:30 AM,0.21,,,,
24,03/02/11 01:12:08 AM,0.22,,,,
25,03/02/11 01:14:53 AM,0.23,,,,
26,03/02/11 01:16:55 AM,0.24,,,,
27,03/02/11 01:16:56 AM,0.25,,,,
28,03/02/11 01:18:53 AM,0.26,,,,
29,03/02/11 01:20:17 AM,0.27,,,,
30,03/02/11 01:22:14 AM,0.28,,,,
31,03/02/11 01:24:28 AM,0.29,,,,
32,03/02/11 01:24:29 AM,0.30,,,,
33,03/02/11 01:28:14 AM,0.31,,,,
34,03/02/11 01:29:40 AM,0.32,,,,
35,03/02/11 01:32:04 AM,0.33,,,,
36,03/02/11 01:33:38 AM,0.34,,,,
37,03/02/11 01:37:24 AM,0.35,,,,
38,03/02/11 01:41:04 AM,0.36,,,,
39,03/02/11 01:41:05 AM,0.37,,,,
40,03/02/11 01:44:21 AM,0.38,,,,
41,03/02/11 01:47:15 AM,0.39,,,,
42,03/02/11 01:50:47 AM,0.40,,,,
43,03/02/11 01:53:36 AM,0.41,,,,
44,03/02/11 01:56:33 AM,0.42,,,,
45,03/02/11 01:58:55 AM,0.43,,,,
46,03/02/11 02:01:46 AM,0.44,,,,
47,03/02/11 02:05:57 AM,0.45,,,,
48,03/02/11 02:10:16 AM,0.46,,,,
49,03/02/11 02:13:24 AM,0.47,,,,
50,03/02/11 02:15:50 AM,0.48,,,,
51,03/02/11 02:18:12 AM,0.49,,,,
52,03/02/11 02:21:12 AM,0.50,,,,
53,03/02/11 02:24:06 AM,0.51,,,,
54,03/02/11 02:27:32 AM,0.52,,,,
55,03/02/11 02:30:54 AM,0.53,,,,
56,03/02/11 02:35:09 AM,0.54,,,,
57,03/02/11 02:38:34 AM,0.55,,,,
58,03/02/11 02:42:32 AM,0.56,,,,
59,03/02/11 02:46:02 AM,0.57,,,,
60,03/02/11 02:49:14 AM,0.58,,,,
61,03/02/11 02:50:44 AM,0.59,,,,
62,03/02/11 02:52:58 AM,0.60,,,,
63,03/02/11 02:56:05 AM,0.61,,,,
64,03/02/11 02:59:07 AM,0.62,,,,
65,03/02/11 03:02:30 AM,0.63,,,,
66,03/02/11 03:05:52 AM,0.64,,,,
67,03/02/11 03:07:56 AM,0.65,,,,
68,03/02/11 03:11:07 AM,0.66,,,,
69,03/02/11 03:13:37 AM,0.67,,,,
70,03/02/11 03:20:08 AM,0.68,,,,
71,03/02/11 03:27:48 AM,0.69,,,,
72,03/02/11 03:41:33 AM,0.70,,,,
73,03/02/11 03:47:38 AM,0.71,,,,
74,03/02/11 03:59:03 AM,0.72,,,,
75,03/02/11 04:11:08 AM,0.73,,,,
76,03/02/11 04:13:05 AM,0.74,,,,
77,03/02/11 04:14:41 AM,0.75,,,,
78,03/02/11 04:18:44 AM,0.76,,,,
79,03/02/11 04:24:37 AM,0.77,,,,
80,03/02/11 04:30:51 AM,0.78,,,,
81,03/02/11 04:34:23 AM,0.79,,,,
82,03/02/11 04:37:48 AM,0.80,,,,
83,03/02/11 04:45:13 AM,0.81,,,,
84,03/02/11 04:54:15 AM,0.82,,,,
85,03/02/11 05:01:39 AM,0.83,,,,
86,03/02/11 05:09:06 AM,0.84,,,,
87,03/02/11 05:12:37 AM,0.85,,,,
88,03/02/11 05:15:57 AM,0.86,,,,
89,03/02/11 05:22:58 AM,0.87,,,,
90,03/02/11 05:29:19 AM,0.88,,,,
91,03/02/11 05:34:59 AM,0.89,,,,
92,03/02/11 05:39:58 AM,0.90,,,,
93,03/02/11 05:43:43 AM,0.91,,,,
94,03/02/11 05:46:27 AM,0.92,,,,
95,03/02/11 05:49:29 AM,0.93,,,,
96,03/02/11 05:51:47 AM,0.94,,,,
97,03/02/11 05:53:22 AM,0.95,,,,
98,03/02/11 05:57:02 AM,0.96,,,,
99,03/02/11 06:00:14 AM,0.97,,,,
100,03/02/11 06:02:54 AM,0.98,,,,
101,03/02/11 06:05:57 AM,0.99,,,,
102,03/02/11 06:08:19 AM,1.00,,,,
103,03/02/11 06:11:38 AM,1.01,,,,
104,03/02/11 06:14:45 AM,1.02,,,,
105,03/02/11 06:16:54 AM,1.03,,,,
106,03/02/11 06:20:58 AM,1.04,,,,
107,03/02/11 06:25:14 AM,1.05,,,,
108,03/02/11 06:28:50 AM,1.06,,,,
109,03/02/11 06:31:56 AM,1.07,,,,
110,03/02/11 06:36:11 AM,1.08,,,,
111,03/02/11 06:41:15 AM,1.09,,,,
112,03/02/11 06:44:44 AM,1.10,,,,
113,03/02/11 06:47:23 AM,1.11,,,,
114,03/02/11 06:52:46 AM,1.12,,,,
