"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,02/11/15 12:48:39 PM,0.00,,,
2,02/28/15 05:20:52 AM,1.00,,,
3,02/28/15 07:02:28 AM,2.00,,,
4,02/28/15 07:10:42 AM,3.00,,,
5,02/28/15 07:12:58 AM,4.00,,,
6,02/28/15 07:37:37 AM,5.00,,,
7,02/28/15 07:43:30 AM,6.00,,,
8,02/28/15 07:53:49 AM,7.00,,,
9,02/28/15 08:02:31 AM,8.00,,,
10,02/28/15 10:50:48 AM,9.00,,,
11,02/28/15 11:35:14 AM,10.00,,,
12,02/28/15 11:36:43 AM,11.00,,,
13,02/28/15 01:29:23 PM,12.00,,,
14,02/28/15 01:35:36 PM,13.00,,,
15,02/28/15 01:39:17 PM,14.00,,,
16,02/28/15 01:50:42 PM,15.00,,,
17,02/28/15 01:57:29 PM,16.00,,,
18,02/28/15 02:06:37 PM,17.00,,,
19,02/28/15 02:09:36 PM,18.00,,,
20,02/28/15 02:16:49 PM,19.00,,,
21,02/28/15 02:51:20 PM,20.00,,,
22,02/28/15 05:27:08 PM,21.00,,,
23,02/28/15 05:35:20 PM,22.00,,,
24,03/01/15 03:35:01 AM,23.00,,,
25,03/11/15 01:47:18 AM,24.00,,,
26,03/11/15 03:34:54 AM,25.00,,,
27,03/11/15 04:28:51 AM,26.00,,,
28,03/11/15 05:27:14 AM,27.00,,,
29,03/11/15 05:43:29 AM,28.00,,,
30,03/11/15 05:55:04 AM,29.00,,,
31,03/11/15 06:06:30 AM,30.00,,,
32,03/11/15 06:18:33 AM,31.00,,,
33,03/11/15 06:40:53 AM,32.00,,,
34,03/22/15 07:06:44 AM,33.00,,,
35,03/22/15 07:14:02 AM,34.00,,,
36,03/22/15 07:30:29 AM,35.00,,,
37,03/22/15 07:33:27 AM,36.00,,,
38,03/22/15 07:44:59 AM,37.00,,,
39,03/22/15 08:10:09 AM,38.00,,,
40,03/22/15 08:20:21 AM,39.00,,,
41,03/22/15 09:39:11 AM,40.00,,,
42,03/22/15 09:53:46 PM,41.00,,,
43,03/22/15 09:55:42 PM,42.00,,,
44,03/22/15 09:58:05 PM,43.00,,,
45,03/22/15 10:00:35 PM,44.00,,,
46,03/22/15 10:07:55 PM,45.00,,,
47,03/22/15 10:26:47 PM,46.00,,,
48,03/22/15 10:31:02 PM,47.00,,,
49,03/22/15 10:35:15 PM,48.00,,,
50,03/22/15 10:35:58 PM,49.00,,,
51,03/22/15 10:36:57 PM,50.00,,,
52,03/22/15 10:39:45 PM,51.00,,,
53,03/22/15 10:42:46 PM,52.00,,,
54,03/22/15 10:49:02 PM,53.00,,,
55,03/22/15 10:55:12 PM,54.00,,,
56,03/22/15 11:05:42 PM,55.00,,,
57,03/22/15 11:16:24 PM,56.00,,,
58,03/22/15 11:25:03 PM,57.00,,,
59,03/22/15 11:34:20 PM,58.00,,,
60,03/23/15 04:14:34 AM,59.00,,,
61,03/25/15 10:25:12 AM,60.00,,,
62,03/25/15 10:25:25 AM,,Logged,,
63,03/25/15 10:25:29 AM,60.00,,Logged,Logged
