"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
121,11/01/14 05:32:34 AM,1.19,,,,
122,11/01/14 05:33:04 AM,1.20,,,,
123,11/01/14 05:34:51 AM,1.21,,,,
124,11/01/14 05:36:48 AM,1.22,,,,
125,11/01/14 05:36:49 AM,1.23,,,,
126,11/01/14 05:40:49 AM,1.24,,,,
127,11/01/14 05:40:50 AM,1.25,,,,
128,11/01/14 05:44:05 AM,1.26,,,,
129,11/01/14 05:49:02 AM,1.27,,,,
130,11/01/14 05:50:54 AM,1.28,,,,
131,11/01/14 05:53:20 AM,1.29,,,,
132,11/01/14 05:55:20 AM,1.30,,,,
133,11/01/14 05:58:12 AM,1.31,,,,
134,11/01/14 05:58:13 AM,1.32,,,,
135,11/01/14 06:00:22 AM,1.33,,,,
136,11/01/14 06:06:03 AM,1.34,,,,
137,11/01/14 06:14:38 AM,1.35,,,,
138,11/01/14 06:14:39 AM,1.36,,,,
139,11/01/14 07:19:36 AM,1.37,,,,
140,11/01/14 07:23:42 AM,1.38,,,,
141,11/01/14 07:25:59 AM,1.39,,,,
142,11/01/14 07:27:13 AM,1.40,,,,
143,11/01/14 07:29:08 AM,1.41,,,,
144,11/01/14 07:30:12 AM,1.42,,,,
145,11/01/14 07:31:17 AM,1.43,,,,
146,11/01/14 07:32:21 AM,1.44,,,,
147,11/01/14 07:33:16 AM,1.45,,,,
148,11/01/14 07:33:17 AM,1.46,,,,
149,11/01/14 07:35:09 AM,1.47,,,,
150,11/01/14 07:37:40 AM,1.48,,,,
151,11/01/14 07:39:05 AM,1.49,,,,
152,11/01/14 07:41:30 AM,1.50,,,,
153,11/01/14 07:42:44 AM,1.51,,,,
154,11/01/14 07:46:03 AM,1.52,,,,
155,11/01/14 07:53:50 AM,1.53,,,,
156,11/01/14 08:05:02 AM,1.54,,,,
157,11/01/14 08:28:03 AM,1.55,,,,
158,11/01/14 08:35:00 AM,1.56,,,,
159,11/01/14 08:35:01 AM,1.57,,,,
160,11/01/14 08:38:56 AM,1.58,,,,
161,11/01/14 08:44:48 AM,1.59,,,,
162,11/01/14 08:47:43 AM,1.60,,,,
163,11/01/14 08:50:37 AM,1.61,,,,
164,11/01/14 08:50:38 AM,1.62,,,,
165,11/01/14 08:52:43 AM,1.63,,,,
166,11/01/14 08:56:28 AM,1.64,,,,
167,11/01/14 08:59:47 AM,1.65,,,,
168,11/01/14 09:10:53 AM,1.66,,,,
169,11/01/14 09:56:48 AM,1.67,,,,
170,11/01/14 10:04:50 AM,1.68,,,,
171,11/01/14 10:04:51 AM,1.69,,,,
172,11/01/14 10:08:22 AM,1.70,,,,
173,11/01/14 10:13:07 AM,1.71,,,,
174,11/01/14 10:13:08 AM,1.72,,,,
175,11/01/14 10:18:17 AM,1.73,,,,
176,11/01/14 10:29:51 AM,1.74,,,,
177,11/01/14 10:45:59 AM,1.75,,,,
178,11/01/14 10:58:08 AM,1.76,,,,
179,11/01/14 11:03:35 AM,1.77,,,,
180,11/01/14 11:23:19 AM,1.78,,,,
181,11/01/14 04:06:34 PM,1.79,,,,
182,11/01/14 04:06:35 PM,1.80,,,,
183,11/05/14 01:45:05 PM,,,Logged,,
184,11/05/14 01:45:08 PM,1.80,,,Logged,Logged
