"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,12/23/14 10:13:16 AM,0.00,,
2,12/24/14 10:11:53 AM,0.01,,
3,12/24/14 03:49:56 PM,0.02,,
4,12/24/14 03:50:33 PM,0.03,,
5,12/24/14 03:51:05 PM,0.04,,
6,12/24/14 03:51:06 PM,0.05,,
7,12/24/14 03:53:02 PM,0.06,,
8,12/24/14 04:15:59 PM,0.07,,
9,12/24/14 04:30:34 PM,0.08,,
10,01/05/15 09:51:36 AM,0.09,,
11,01/22/15 02:37:57 PM,0.09,Logged,Logged
