"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,05/20/13 10:02:50 AM,0.00,,,
2,05/20/13 10:03:43 AM,,Logged,,
3,05/26/13 06:37:16 AM,0.01,,,
4,05/27/13 10:51:21 PM,0.02,,,
5,05/27/13 11:05:05 PM,0.03,,,
6,05/27/13 11:12:00 PM,0.04,,,
7,05/27/13 11:12:01 PM,0.05,,,
8,05/27/13 11:26:14 PM,0.06,,,
9,05/27/13 11:26:15 PM,0.07,,,
10,05/28/13 12:21:49 AM,0.08,,,
11,05/28/13 01:07:15 AM,0.09,,,
12,05/28/13 01:43:05 AM,0.10,,,
13,05/28/13 02:45:49 AM,0.11,,,
14,05/28/13 04:35:52 AM,0.12,,,
15,05/28/13 02:07:19 PM,,,Logged,
16,05/28/13 02:08:02 PM,,Logged,,
17,05/28/13 02:08:04 PM,,,Logged,
18,05/28/13 02:08:16 PM,,Logged,,
19,05/28/13 02:08:20 PM,,,Logged,
20,05/28/13 02:08:21 PM,,Logged,,
21,05/28/13 02:08:24 PM,0.12,,Logged,Logged
