"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Bad Battery (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,06/10/13 11:23:01 AM,0.00,,,,
2,06/10/13 11:23:12 AM,,Logged,,,
3,06/13/13 11:41:36 AM,,,Logged,,
4,06/17/13 10:31:57 AM,0.00,,,Logged,Logged
