"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
128,11/22/14 11:53:15 AM,1.27,,,
129,11/22/14 11:56:08 AM,1.28,,,
130,11/22/14 11:59:48 AM,1.29,,,
131,11/22/14 12:02:19 PM,1.30,,,
132,11/22/14 12:02:20 PM,1.31,,,
133,11/22/14 12:05:14 PM,1.32,,,
134,11/22/14 12:09:03 PM,1.33,,,
135,11/22/14 12:09:04 PM,1.34,,,
136,11/22/14 12:13:26 PM,1.35,,,
137,11/22/14 12:17:29 PM,1.36,,,
138,11/22/14 12:23:12 PM,1.37,,,
139,11/22/14 12:29:26 PM,1.38,,,
140,11/22/14 12:34:17 PM,1.39,,,
141,11/22/14 12:42:30 PM,1.40,,,
142,11/22/14 12:42:31 PM,1.41,,,
143,11/22/14 12:49:13 PM,1.42,,,
144,11/22/14 12:56:09 PM,1.43,,,
145,11/22/14 01:14:06 PM,1.44,,,
146,11/26/14 01:02:13 PM,,Logged,,
147,11/26/14 01:02:23 PM,1.44,,Logged,Logged
