"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309218, SEN S/N: 20309218)","Event, units (LGR S/N: 20309218, SEN S/N: 20309218)","Coupler Attached (LGR S/N: 20309218, SEN S/N: 20309218)","Host Connected (LGR S/N: 20309218, SEN S/N: 20309218)","Coupler Detached (LGR S/N: 20309218, SEN S/N: 20309218)","Stopped (LGR S/N: 20309218, SEN S/N: 20309218)","End Of File (LGR S/N: 20309218, SEN S/N: 20309218)"
1,01/13/19 11:00:00 AM,63.282,0.00,,,,,
2,01/13/19 12:00:00 PM,61.741,,,,,,
3,01/13/19 01:00:00 PM,58.476,,,,,,
4,01/13/19 02:00:00 PM,58.647,,,,,,
5,01/13/19 03:00:00 PM,59.164,,,,,,
6,01/13/19 04:00:00 PM,52.750,,,,,,
7,01/13/19 05:00:00 PM,49.582,,,,,,
8,01/13/19 06:00:00 PM,48.695,,,,,,
9,01/13/19 07:00:00 PM,49.228,,,,,,
10,01/13/19 08:00:00 PM,49.759,,,,,,
11,01/13/19 09:00:00 PM,49.759,,,,,,
12,01/13/19 10:00:00 PM,50.290,,,,,,
13,01/13/19 11:00:00 PM,49.937,,,,,,
14,01/14/19 12:00:00 AM,50.113,,,,,,
15,01/14/19 01:00:00 AM,50.113,,,,,,
16,01/14/19 02:00:00 AM,50.466,,,,,,
17,01/14/19 03:00:00 AM,50.466,,,,,,
18,01/14/19 04:00:00 AM,50.113,,,,,,
19,01/14/19 05:00:00 AM,50.466,,,,,,
20,01/14/19 06:00:00 AM,48.695,,,,,,
21,01/14/19 07:00:00 AM,47.446,,,,,,
22,01/14/19 07:56:14 AM,,0.01,,,,,
23,01/14/19 08:00:00 AM,46.728,,,,,,
24,01/14/19 08:34:16 AM,,0.02,,,,,
25,01/14/19 08:49:14 AM,,0.03,,,,,
26,01/14/19 09:00:00 AM,46.008,,,,,,
27,01/14/19 09:04:43 AM,,0.04,,,,,
28,01/14/19 10:00:00 AM,47.446,,,,,,
29,01/14/19 11:00:00 AM,48.339,,,,,,
30,01/14/19 12:00:00 PM,49.228,,,,,,
31,01/14/19 01:00:00 PM,50.290,,,,,,
32,01/14/19 02:00:00 PM,48.695,,,,,,
33,01/14/19 02:20:36 PM,,0.05,,,,,
34,01/14/19 02:32:30 PM,,0.06,,,,,
35,01/14/19 02:36:28 PM,,0.07,,,,,
36,01/14/19 02:40:28 PM,,0.08,,,,,
37,01/14/19 02:42:59 PM,,0.09,,,,,
38,01/14/19 02:45:11 PM,,0.10,,,,,
39,01/14/19 02:47:19 PM,,0.11,,,,,
40,01/14/19 02:50:23 PM,,0.12,,,,,
41,01/14/19 02:53:20 PM,,0.13,,,,,
42,01/14/19 02:54:35 PM,,0.14,,,,,
43,01/14/19 02:57:14 PM,,0.15,,,,,
44,01/14/19 03:00:00 PM,46.188,,,,,,
45,01/14/19 03:00:18 PM,,0.16,,,,,
46,01/14/19 03:03:16 PM,,0.17,,,,,
47,01/14/19 03:05:28 PM,,0.18,,,,,
48,01/14/19 03:09:30 PM,,0.19,,,,,
49,01/14/19 03:12:35 PM,,0.20,,,,,
50,01/14/19 03:14:53 PM,,0.21,,,,,
51,01/14/19 03:15:35 PM,,0.22,,,,,
52,01/14/19 03:21:29 PM,,0.23,,,,,
53,01/14/19 03:32:31 PM,,0.24,,,,,
54,01/14/19 04:00:00 PM,46.908,,,,,,
55,01/14/19 05:00:00 PM,46.548,,,,,,
56,01/14/19 05:00:34 PM,,0.25,,,,,
57,01/14/19 06:00:00 PM,45.828,,,,,,
58,01/14/19 07:00:00 PM,45.648,,,,,,
59,01/14/19 08:00:00 PM,45.286,,,,,,
60,01/14/19 09:00:00 PM,45.104,,,,,,
61,01/14/19 10:00:00 PM,44.379,,,,,,
62,01/14/19 11:00:00 PM,45.104,,,,,,
63,01/15/19 12:00:00 AM,45.104,,,,,,
64,01/15/19 12:05:27 AM,,0.26,,,,,
65,01/15/19 12:16:57 AM,,0.27,,,,,
66,01/15/19 12:30:13 AM,,0.28,,,,,
67,01/15/19 12:35:18 AM,,0.29,,,,,
68,01/15/19 12:38:40 AM,,0.30,,,,,
69,01/15/19 12:42:06 AM,,0.31,,,,,
70,01/15/19 12:44:43 AM,,0.32,,,,,
71,01/15/19 12:49:11 AM,,0.33,,,,,
72,01/15/19 12:52:11 AM,,0.34,,,,,
73,01/15/19 01:00:00 AM,44.922,,,,,,
74,01/15/19 01:17:49 AM,,0.35,,,,,
75,01/15/19 02:00:00 AM,44.922,,,,,,
76,01/15/19 02:43:45 AM,,0.36,,,,,
77,01/15/19 03:00:00 AM,44.922,,,,,,
78,01/15/19 03:07:03 AM,,0.37,,,,,
79,01/15/19 04:00:00 AM,44.922,,,,,,
80,01/15/19 04:27:49 AM,,0.38,,,,,
81,01/15/19 05:00:00 AM,45.104,,,,,,
82,01/15/19 05:06:04 AM,,0.39,,,,,
83,01/15/19 05:15:33 AM,,0.40,,,,,
84,01/15/19 05:47:10 AM,,0.41,,,,,
85,01/15/19 06:00:00 AM,45.286,,,,,,
86,01/15/19 06:11:53 AM,,0.42,,,,,
87,01/15/19 06:23:15 AM,,0.43,,,,,
88,01/15/19 06:28:34 AM,,0.44,,,,,
89,01/15/19 06:39:26 AM,,0.45,,,,,
90,01/15/19 06:56:52 AM,,0.46,,,,,
91,01/15/19 07:00:00 AM,45.286,,,,,,
92,01/15/19 07:23:42 AM,,0.47,,,,,
93,01/15/19 07:36:50 AM,,0.48,,,,,
94,01/15/19 07:45:13 AM,,0.49,,,,,
95,01/15/19 07:50:20 AM,,0.50,,,,,
96,01/15/19 07:57:03 AM,,0.51,,,,,
97,01/15/19 08:00:00 AM,45.286,,,,,,
98,01/15/19 08:01:26 AM,,0.52,,,,,
99,01/15/19 08:09:23 AM,,0.53,,,,,
100,01/15/19 08:21:32 AM,,0.54,,,,,
101,01/15/19 08:42:32 AM,,0.55,,,,,
102,01/15/19 08:57:22 AM,,0.56,,,,,
103,01/15/19 09:00:00 AM,45.648,,,,,,
104,01/15/19 09:09:17 AM,,0.57,,,,,
105,01/15/19 09:26:50 AM,,0.58,,,,,
106,01/15/19 09:47:08 AM,,0.59,,,,,
107,01/15/19 10:00:00 AM,46.548,,,,,,
108,01/15/19 10:04:29 AM,,0.60,,,,,
109,01/15/19 10:15:01 AM,,0.61,,,,,
110,01/15/19 10:26:49 AM,,0.62,,,,,
111,01/15/19 10:41:53 AM,,0.63,,,,,
112,01/15/19 10:53:52 AM,,0.64,,,,,
113,01/15/19 11:00:00 AM,46.728,,,,,,
114,01/15/19 11:03:43 AM,,0.65,,,,,
115,01/15/19 11:16:46 AM,,0.66,,,,,
116,01/15/19 11:26:30 AM,,0.67,,,,,
117,01/15/19 11:33:41 AM,,0.68,,,,,
118,01/15/19 11:47:14 AM,,0.69,,,,,
119,01/15/19 11:57:08 AM,,0.70,,,,,
120,01/15/19 12:00:00 PM,47.266,,,,,,
121,01/15/19 12:07:55 PM,,0.71,,,,,
122,01/15/19 12:16:23 PM,,0.72,,,,,
