"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,08/12/10 12:00:00 PM,0.00000000,,
2,08/14/10 07:06:53 AM,0.00877193,,
3,08/16/10 11:52:24 AM,0.00877193,Logged,Logged
